"cluster_id","cluster_text","cluster_third_slot","cluster_exact_three","companion_id","cisi","same_row","region","site","area_section","material","shape","type","sides","dir","class","text_length","text","signs","pattern_110","pattern_700_034","pattern_700_033","pattern_700_032","starts_520_220"
"41.1","+520-220-002[","002","False","41.1","B-23","True","Eastern Headwaters","Banawali","--","-","-","TAG","1","T/B","UC","3+?","+520-220-002[","3","False","False","False","False","True"
"4069.1","+520-220-415+","415","True","4069.2","H-1284","False","Inter-Riverine","Harappa","--","-","rectangular","TAB:I","2","L/R","VN","2","+700-034+","2","False","True","False","False","False"
"4069.1","+520-220-415+","415","True","4069.1","H-1284","True","Inter-Riverine","Harappa","--","-","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","3","False","False","False","False","True"
"221.1","+520-220-415+","415","True","221.1","H-1326","True","Inter-Riverine","Harappa","FTrench VI","Steatite","rectangular-round","TAB:I","1","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"479.1","+520-220-415-060-920+","415","False","479.1","H-1669","True","Inter-Riverine","Harappa","ETrench 11","Steatite","square","SEAL:S","1","R/L","SP","5","+520-220-415-060-920+","5","False","False","False","False","True"
"517.1","+520-220-415-000[","415","False","517.2","H-1722","False","Inter-Riverine","Harappa","E-","-","-","TAG","2","R/L","??","2+?","]000-220[","1","False","False","False","False","False"
"517.1","+520-220-415-000[","415","False","517.1","H-1722","True","Inter-Riverine","Harappa","E-","-","-","TAG","2","R/L","??","4+?","+520-220-415-000[","3","False","False","False","False","True"
"485.2","+520-220-415-240-803+","415","False","485.1","H-1953","False","Inter-Riverine","Harappa","ETrench 11","Clay","rectangular","TAB:B","2","R/L","VX","3","+700-032-220+","3","False","False","False","True","False"
"485.2","+520-220-415-240-803+","415","False","485.2","H-1953","True","Inter-Riverine","Harappa","ETrench 11","Clay","rectangular","TAB:B","2","R/L","MT","5","+520-220-415-240-803+","5","False","False","False","False","True"
"913.1","+520-220-415+","415","True","913.2","H-1992","False","Inter-Riverine","Harappa","ETrench 11","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"913.1","+520-220-415+","415","True","913.1","H-1992","True","Inter-Riverine","Harappa","ETrench 11","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"913.2","+520-220-415+","415","True","913.1","H-1992","False","Inter-Riverine","Harappa","ETrench 11","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"913.2","+520-220-415+","415","True","913.2","H-1992","True","Inter-Riverine","Harappa","ETrench 11","Faience","cylindrical","TAB:B","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"841.1","+520-220-415+","415","True","841.2","H-2146","False","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","VN","2","+700-032+","2","False","False","False","True","False"
"841.1","+520-220-415+","415","True","841.1","H-2146","True","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"481.1","+520-220-415+","415","True","481.2","H-2148","False","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","NR","TS","1","+110+","1","True","False","False","False","False"
"481.1","+520-220-415+","415","True","481.1","H-2148","True","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"848.1","+520-220-415+","415","True","848.2","H-2149","False","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","SC","4","+590-032-645-003+","4","False","False","False","False","False"
"848.1","+520-220-415+","415","True","848.1","H-2149","True","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"816.1","+520-220-415+","415","True","816.2","H-2240","False","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","SC","2","+869-575+","2","False","False","False","False","False"
"816.1","+520-220-415+","415","True","816.1","H-2240","True","Inter-Riverine","Harappa","ETrench 11","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"1258.1","+520-220-240-002-820+","240","False","1258.2","H-231","False","Inter-Riverine","Harappa","FTrench VI","Faience","elliptical","TAB:B","2","R/L","VN","2","+700-033+","2","False","False","True","False","False"
"1258.1","+520-220-240-002-820+","240","False","1258.1","H-231","True","Inter-Riverine","Harappa","FTrench VI","Faience","elliptical","TAB:B","2","R/L","SP","5","+520-220-240-002-820+","5","False","False","False","False","True"
"1341.1","+520-220-415+","415","True","1341.2","H-319","False","Inter-Riverine","Harappa","FTrench IV+V","Steatite","oval","TAB:I","2","R/L","VN","2","+700-034+","2","False","True","False","False","False"
"1341.1","+520-220-415+","415","True","1341.1","H-319","True","Inter-Riverine","Harappa","FTrench IV+V","Steatite","oval","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"1366.1","+520-220-415+","415","True","1366.2","H-346","False","Inter-Riverine","Harappa","FTrench IV+V","Steatite","circular","TAB:I","2","R/L","SC","2","+700-090+","2","False","False","False","False","False"
"1366.1","+520-220-415+","415","True","1366.1","H-346","True","Inter-Riverine","Harappa","FTrench IV+V","Steatite","circular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"1383.1","+520-220-415+","415","True","1383.1","H-364","True","Inter-Riverine","Harappa","FTrench I","Steatite","cuboid","TAB:I","1","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"199.1","+520-220-240-798-060-692+","240","False","199.1","H-423","True","Inter-Riverine","Harappa","--","Steatite","square","SEAL:S","1","R/L","LP","6","+520-220-240-798-060-692+","6","False","False","False","False","True"
"1677.2","+520-220-415+","415","True","1677.1","H-786","False","Inter-Riverine","Harappa","--","-","rectangular","TAB:B","2","R/L","SC","3","+824-892-413+","3","False","False","False","False","False"
"1677.2","+520-220-415+","415","True","1677.2","H-786","True","Inter-Riverine","Harappa","--","-","rectangular","TAB:B","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
"1818.1","+520-220-415+","415","True","1818.2","H-938","False","Inter-Riverine","Harappa","F-","Steatite","rectangular","TAB:I","2","R/L","NV","2","+034-700+","2","False","True","False","False","False"
"1818.1","+520-220-415+","415","True","1818.1","H-938","True","Inter-Riverine","Harappa","F-","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","3","False","False","False","False","True"
"1819.2","+520-220-415+","415","True","1819.1","H-939","False","Inter-Riverine","Harappa","D-","Steatite","rectangular","TAB:I","2","L/R","VN","2","+700-034+","2","False","True","False","False","False"
"1819.2","+520-220-415+","415","True","1819.2","H-939","True","Inter-Riverine","Harappa","D-","Steatite","rectangular","TAB:I","2","L/R","MT","3","+520-220-415+","3","False","False","False","False","True"
"1820.1","+520-220-415+","415","True","1820.2","H-940","False","Inter-Riverine","Harappa","FGranery","Steatite","rectangular","TAB:I","2","NR","TS","1","+110+","1","True","False","False","False","False"
"1820.1","+520-220-415+","415","True","1820.1","H-940","True","Inter-Riverine","Harappa","FGranery","Steatite","rectangular","TAB:I","2","R/L","MT","3","+520-220-415+","3","False","False","False","False","True"
