"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","length","position_0","position_1","at_start","at_end","prev","next","next2","prev2","frame","damaged_or_open"
"83.1","C-62","Chanhu-daro","Lower Indus","--","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","5+?","]176-220-415-060-920+","176-220-415-060-920","5","1","2","False","False","176","415","060","<START>","176-220-415","True"
"221.1","H-1326","Harappa","Inter-Riverine","FTrench VI","Steatite","rectangular-round","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"291.1","-","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"479.1","H-1669","Harappa","Inter-Riverine","ETrench 11","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-920+","520-220-415-060-920","5","1","2","False","False","520","415","060","<START>","520-220-415","False"
"481.1","H-2148","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"485.2","H-1953","Harappa","Inter-Riverine","ETrench 11","Clay","rectangular","TAB:B","2","Fair","Y","R/L","MT","5","+520-220-415-240-803+","520-220-415-240-803","5","1","2","False","False","520","415","240","<START>","520-220-415","False"
"517.1","H-1722","Harappa","Inter-Riverine","E-","-","-","TAG","2","Poor","N","R/L","??","4+?","+520-220-415-000[","520-220-415-000","4","1","2","False","False","520","415","000","<START>","520-220-415","True"
"673.2","H-2147","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","rectangular","TAB:I","2","Poor","?","-","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"770.2","H-2150","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"816.1","H-2240","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"827.2","H-2145","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","-","MT","3","+074-220-415+","074-220-415","3","1","2","False","False","074","415","<END>","<START>","074-220-415","False"
"841.1","H-2146","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"848.1","H-2149","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
