"checked_date","lipi_sign","source_row_id","cisi","cisi_prefix","in_mayig_overlap_by_cisi","overlap_count_match","overlap_comparison_status","site","type","material","shape","preservation","direction","class","sign_count","frame700_relation","text","overlap_lipi_text","overlap_mayig_graphemes","research_use","accepted_decipherment_claim"
"2026-05-25","032","2532.1","M-3","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","SC","3","not_adjacent_to_700","+717-032-521+","+717-032-521+","P320 P145 P094","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2539.1","M-10","M","1","False","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","partly damaged","R/L","LP","11","not_adjacent_to_700","+405-061-070-032-033-706-235-806-002-267-455+","+405-061-070-032-033-706-235-806-002-267-455+","P086 P204 P114 P151 P316 P060 P364 P122 P067 P221","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2549.1","M-21","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","8","not_adjacent_to_700","+350-001-740-362-692-032-002-861+","+350-001-740-362-692-032-002-861+","P091 P121 P324 P272 P256 P145 P122 P385","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2550.1","M-22","M","1","False","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","fragment","R/L","??","6","not_adjacent_to_700","+740-904-176-220-032-798-000[","+740-904-176-220-032-798-000[","P324 P172 P194 P050 P145 P230 P000","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2561.1","M-33","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","7","not_adjacent_to_700","+740-032-923-382-233-002-112+","+740-032-923-382-233-002-112+","P324 P145 P175 P111 P058 P122 P041","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2564.1","M-36","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","9","not_adjacent_to_700","+740-794-630-220-032-002-368-906-329+","+740-794-630-220-032-002-368-906-329+","P324 P358 P270 P050 P145 P122 P202 P174 P307","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2566.1","M-38","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","13","not_adjacent_to_700","+740-690-435-255-220-032-240-235-002-390-125-632-032+","+740-690-435-255-220-032-240-235-002-390-125-632-032+","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2573.1","M-45","M","1","False","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LC","6","not_adjacent_to_700","+617-831-013-302-840-032+","+617-831-013-302-840-032+","P268 P268 P372 P139 P205 P349 P145","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2577.1","M-49","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","slightly chipped","R/L","LP","10","not_adjacent_to_700","+527-550-240-220-032-002-300-350-032-190+","+527-550-240-220-032-002-300-350-032-190+","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
"2026-05-25","032","2580.1","M-52","M","1","True","sign_system_unmapped","Mohenjo-daro","SEAL:S","Steatite","square","complete","R/L","LP","10","not_adjacent_to_700","+740-904-032-220-415-235-803-002-504-717+","+740-904-032-220-415-235-803-002-504-717+","P324 P172 P145 P050 P092 P060 P364 P122 P211 P320","frame700_control_or_comparator_row_not_a_crosswalk_mapping","0"
