checked_date,template_4,count,sites,types,governed_heads,prev_before_002,template_class,examples
2026-05-31,297-350-125-413,2,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,297:2,003:1;798:1,repeated_297_350_125_413_title_template,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,390-125-632-032,2,Mohenjo-daro:2,SEAL:S:2,390:2,235:1;484:1,title_tail_390_125_632_032,M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+
2026-05-31,610-125-032-<END>,2,Harappa:1;Mohenjo-daro:1,SEAL:S:2,610:2,<START>:1;240:1,repeated_610_125_032_title_template,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+
2026-05-31,190-125-632-032,1,Mohenjo-daro:1,SEAL:S:1,190:1,617:1,title_tail_190_125_632_032,M-1692:+390-600-617-002-190-125-632-032+
2026-05-31,320-705-125-<END>,1,Mohenjo-daro:1,SEAL:S:1,320:1,803:1,governed_125_template_singleton,M-1668:+740-773-233-803-002-320-705-125+
2026-05-31,390-125-195-<END>,1,Mohenjo-daro:1,SEAL:S:1,390:1,235:1,governed_125_template_singleton,M-735:+740-760-235-002-390-125-195+
2026-05-31,390-125-820-<END>,1,Surkotada:1,SEAL:S:1,390:1,004:1,p086_125_820_title_template,Sktd-1:+390-004-002-390-125-820+
2026-05-31,392-590-125-<END>,1,Lohumjo-daro:1,SEAL:S:1,392:1,235:1,governed_125_template_singleton,Lh-1:+740-760-615-104-717-235-002-392-590-125+
2026-05-31,405-125-820-<END>,1,Mohenjo-daro:1,SEAL:S:1,405:1,235:1,p086_125_820_title_template,M-41:+740-636-240-233-235-002-405-125-820+
2026-05-31,407-125-590-831,1,Mohenjo-daro:1,TAB:C:1,407:1,<START>:1,governed_125_template_singleton,M-2055:+002-407-125-590-831+
2026-05-31,595-812-125-717,1,Harappa:1,SEAL:R:1,595:1,806:1,governed_125_template_singleton,H-130:+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,741-455-125-<END>,1,Mohenjo-daro:1,SEAL:S:1,741:1,<START>:1,governed_125_template_singleton,M-761:]002-741-455-125+
2026-05-31,861-125-<END>-<END>,1,Harappa:1,SEAL:S:1,861:1,004:1,governed_125_template_singleton,H-55:+390-004-002-861-125+
2026-05-31,906-125-<END>-<END>,1,Mohenjo-daro:1,SEAL:R:1,906:1,236:1,governed_125_template_singleton,M-354:+740-729-407-845-236-002-906-125+
