"date","reviewer","panel","blind_source_order","broad_pattern_class","fine_form_adjudication","review_bucket","notes"
"2026-05-25","Hypatia","H786_A_panel.png","triangular/pennant-on-stem -> split-leaf/fork -> rake/vertical-bundle with crossbar","visible_T-L-R","Terminal rake is close to the M-37 fine form: comb/rake with top bar and vertical tines.","visible_target_pattern","Strong visual comparator, but local/source side mapping must be resolved separately."
"2026-05-25","Hypatia","H938_A_bis_panel.png","rake/vertical-bundle -> split-leaf/fork -> triangular/pennant-on-stem","visible_R-L-T","Terminal triangle is broad-class same, not fine-form proof; abrasion/dark field weaken identity.","visible_target_pattern","Duplicate photo of same side; collapse with H938_A."
"2026-05-25","Hypatia","H938_A_panel.png","rake/vertical-bundle -> split-leaf/fork -> triangular/pennant-on-stem","visible_R-L-T","Terminal triangle/pennant is same broad class and likely same fine family, but line loss softens it.","visible_target_pattern","Strong target-side candidate."
"2026-05-25","Hypatia","H940_A_panel.png","triangular/pennant-on-stem -> split-leaf/fork -> rake/vertical-bundle with crossbar","visible_T-L-R","Terminal rake is same fine family as M-37: crossbar plus vertical tines.","visible_target_pattern","Strong visual comparator."
"2026-05-25","Hypatia","H941_A_panel.png","triangular/pennant-on-stem -> split-leaf/fork -> rake/vertical-bundle","visible_T-L-R","Terminal rake/bundle is same broad class and probably same fine family; right edge is dark/partly swallowed.","visible_target_pattern","Moderate visual comparator, but conflicts with naive local .2 -> B side expectation."
"2026-05-25","Hypatia","H346_A_panel.png","triangular/pennant-on-stem -> split-leaf/fork-ish -> small rake/bundle","partial_T-L-R","Terminal looks rake-like, but round-seal scale and blur prevent fine-form identity.","partial_ambiguous","Weak comparator only."
"2026-05-25","Hypatia","H346_B_panel.png","vertical strokes/bundle -> split-leaf/fork-ish -> unclear/abraded sign","partial_ambiguous","Terminal class is not secure.","partial_ambiguous","Do not use as three-sign comparator."
"2026-05-25","Hypatia","H939_A_panel.png","possible rake/bundle -> split/fork mass -> possible triangular/pennant","partial_R-L-T","Target pattern may be present, but occlusion and heavy abrasion make terminal identity unsafe.","partial_ambiguous","Weak only; no upgrade."
"2026-05-25","Hypatia","H941_A_bis_panel.png","possible triangular/pennant -> split/fork -> possible vertical bundle","partial_T-L-R","Same broad pattern may be present, but crop is too washed/abraded for terminal fine-form use.","partial_ambiguous","Duplicate/related A-bis support only, not independent."
"2026-05-25","Hypatia","H786_B_panel.png","circular/oval sign -> split/fork-like sign -> dense vertical/stacked element","not_target","Not the R/L/T three-sign sequence.","not_target","Local/source side mapping conflict if B is assumed to be local exact side."
"2026-05-25","Hypatia","H938_B_panel.png","long vertical-stroke field -> fork/split form at edge","not_target","Missing clear triangular/pennant member.","not_target","Companion side."
"2026-05-25","Hypatia","H939_A_bis_panel.png","dark abraded traces","not_classifiable","Too occluded for target classification.","not_target","No fine-form support."
"2026-05-25","Hypatia","H939_B_bis_panel.png","mostly dark/abraded rectangular field","not_classifiable","Not classifiable as target.","not_target","No fine-form support."
"2026-05-25","Hypatia","H939_B_panel.png","vertical bundles and oval/looped form","not_target","Not the target three-part sequence.","not_target","No fine-form support."
"2026-05-25","Hypatia","H940_B_panel.png","partial vertical/fork/curved forms","not_target","Likely different side/sequence.","not_target","Companion side."
"2026-05-25","Hypatia","H941_B_bis_panel.png","vertical/grid-like signs and partial fork/triangle traces","not_target","Not a clean target three-sign sequence.","not_target","Side conflict with local exact-row expectation."
"2026-05-25","Hypatia","H941_B_panel.png","dark verticals and fork-like forms","not_classifiable","Not classifiable as target under strict standard.","not_target","Side conflict with local exact-row expectation."
