checked_date,head_next,head,next,frame_count,terminal_count,continuing_count,exact_text_count,cisi_examples,register_counts,previous_sign_counts,text_examples,accepted_decipherment_claim
2026-05-31,390->072,390,072,1,1,0,1,H-68,Harappa|SEAL:S|square|Bull1:I|RAN:1,003:1,+090-740-220-003-002-390-072+,0
2026-05-31,390->095,390,095,2,2,0,2,H-1993;M-71,Harappa|TAB:B|rectangular|None|None:1;Mohenjo-daro|SEAL:S|square|Bull1:J|SAN:1,142:1;004:1,+740-000-220-004-002-390-095+ || +151-279-142-002-390-095+,0
2026-05-31,390->125,390,125,4,0,4,4,M-38;M-119;M-735;Sktd-1,Mohenjo-daro|SEAL:S|square|Bull1:J|SAN:1;Mohenjo-daro|SEAL:S|square|Bull1:S|SAN:1;Mohenjo-daro|SEAL:S|square|Bull1:U|HAF:1;Surkotada|SEAL:S|square|Bull1|RAN:1,235:2;484:1;004:1,+740-690-435-255-220-032-240-235-002-390-125-632-032+ || +151-337-484-002-390-125-632-032-900-563+ || +740-760-235-002-390-125-195+ || +390-004-002-390-125-820+,0
2026-05-31,390->140,390,140,1,1,0,1,M-708,Mohenjo-daro|SEAL:S|square|Bull1:W|S:1,061:1,+740-061-002-390-140+,0
2026-05-31,390->346,390,346,1,1,0,1,M-213,Mohenjo-daro|SEAL:S|square|Bull1:J|RAF:1,384:1,+740-384-002-390-346+,0
2026-05-31,390->530,390,530,1,0,1,1,H-773,Harappa|TAB:B|plano-convex|None|None:1,803:1,+740-798-803-002-390-530-741+,0
2026-05-31,390->590,390,590,1,0,1,1,-,Unknown|SEAL:S|square|Bull1:J|RAF:1,032:1,+740-205-032-002-390-590-032+,0
2026-05-31,390->692,390,692,1,1,0,1,M-70,Mohenjo-daro|SEAL:S|square|Bull1:T|SAF:1,032:1,+226-032-002-390-692+,0
2026-05-31,390->705,390,705,2,2,0,2,M-1825;-,Dholavira|SEAL:S|square|Bull1:I|RB:1;Mohenjo-daro|SEAL:S|square|Bull1|S:1,388:1;031:1,+157-031-002-390-705+ || +151-032-388-002-390-705+,0
2026-05-31,390->707,390,707,1,1,0,1,M-232,Mohenjo-daro|SEAL:S|square|Bull2|SAF:1,236:1,+236-002-390-707+,0
2026-05-31,405->125,405,125,1,0,1,1,M-41,Mohenjo-daro|SEAL:S|square|Bull1:W|SAN:1,235:1,+740-636-240-233-235-002-405-125-820+,0
2026-05-31,405->321,405,321,1,1,0,1,H-22,Harappa|SEAL:S|square|Bull1:W|SAN:1,806:1,+740-920-320-233-806-002-405-321+,0
2026-05-31,405->372,405,372,1,0,1,1,M-34,Mohenjo-daro|SEAL:S|square|Bull1:W|SAN:1,176:1,+740-336-176-002-405-372-374+,0
2026-05-31,405->501,405,501,29,29,0,1,H-252;H-253;H-254;H-255;H-256;H-257;H-258;H-259;H-260;H-261;H-262;H-263,Harappa|TAB:B|cylindrical|Bull1:I|None:24;Harappa|TAB:B|cylindrical|Bull1:U|None:2;Harappa|TAB:B|cylindrical|Bull1|None:3,240:29,+520-240-002-405-501+,0
