checked_date,object,branch,lane,source_status,site_scope,parser_effect,visual_basis
2026-05-31,M-119,002-390-125-632-032,125_linker,strict_source_visible_token_box_ready_high,Mohenjo-daro,supports_125_linker_and_632032_complement_but_same_site_formula_risk,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,M-735,002-390-125-195,125_linker,strict_source_visible_token_box_ready_high,Mohenjo-daro,supports_125_linker_but_195_is_singleton_complement,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,Sktd-1,002-390-125-820,125_linker,panel_bound_token_box_ready_medium_downweighted,Surkotada,cross_site_pressure_for_125_820_but_not_strict,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,M-38,002-390-125-632-032,125_linker,not_ready_weak_context_not_token_boxable,Mohenjo-daro,do_not_count_for_strict_125_or_632032,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,M-71,002-390-095,095_terminal_classifier,strict_source_visible_token_box_ready_high,Mohenjo-daro,single_strict_source_visible_095_terminal_classifier_witness,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,H-1993,002-390-095,095_terminal_classifier,public_transcription_route_no_image_binding,Harappa,route_pressure_only_not_strict_source_visible,Singh_ESM2_public_transcription_route; no image in inspected local packet
2026-05-31,M-70,002-390-692,692_global_edge_close,strict_source_visible_token_box_ready_high,Mohenjo-daro,strict non-125 terminal comparator but not 095_705_classifier support,tmp/002390x_source_normalization/campaign_032_002_861_002390x_source_normalized_contrast_contact_sheet.jpg;tmp/002390x_token_boundary_readiness/campaign_032_002_861_002390x_token_boundary_readiness_contact_sheet.jpg
2026-05-31,M-1825,002-390-705,705_terminal_classifier,no_signband_no_strict_source_visible,Mohenjo-daro,structural_705_only_no_strict_classifier_support,local/source packet search no signband binding
2026-05-31,4237.1,002-390-705,705_terminal_classifier,source_image_candidate_unbound_metadata_cluster_found,Dholavira,705_acquisition_hot_but_not_strict,Dholavira page/item and ZA-12:2 route unbound to metadata row
2026-05-31,M-1668,002-320-705-125,705_nonterminal_exception,no_new_strict_classifier_chain_support,Mohenjo-daro,705125_chain_killed_as_general_rule_singleton_exception,structural singleton; no classifier-chain promotion
