checked_date,priority,target,object,row_id,site,type,text,head,x,tail_after_x,predicted_class,gloss_skeleton,current_prediction_pass,adjudicates_bet,source_state_from_existing,exact_source_success_implication,variant_tail_implication,source_rejection_implication,destructive_test
2026-05-31,1,H-1993,H-1993,744.2,Harappa,TAB:B,+740-000-220-004-002-390-095+,390,095,<END>,terminal_identity_or_class_label,FRAME(002) HEAD(390) IDENTITY_CLASS(095),true,SEM_095_RIGHT_EDGE_IDENTITY_LABEL; EXPAND_390_RIGHT_EDGE_HOST_BY_X_SUBTYPE,CISI 3.1 supplement route and contact request exist; no artifact image/data row yet.,"Promotes 095 identity/class label from route-pressure to source-strict repeated 390-095 ecology, especially with M-71 as comparator.","If source shows 002-390-095-Y, terminal 095 dies first; 390 host may survive as an open operator context.",Demotes H-1993 to unusable route bait and leaves 095 dependent on L-1/M-71 only.,"Ask source to decide whether 095 is terminal on the inscribed side, not merely whether H-1993 exists."
2026-05-31,2,M-71,M-71,2599.1,Mohenjo-daro,SEAL:S,+151-279-142-002-390-095+,390,095,<END>,terminal_identity_or_class_label,FRAME(002) HEAD(390) IDENTITY_CLASS(095),true,SEM_095_RIGHT_EDGE_IDENTITY_LABEL,Earlier source-visible comparator in the 095 lane; use as same-head control for H-1993.,Keeps 095 terminal under 390 even if H-1993 is still pending; strengthens the terminal identity/class label class.,A hidden tail after 095 would demote 095 from terminal class to open operator.,Removes the strongest 095 strict comparator and makes H-1993 acquisition much less interpretable.,"Check sign boundary after 095 and whether the preceding 390 is real, damaged, or copied from a formula lane."
2026-05-31,3,L-1,L-1,1984.1,Lothal,SEAL:S,+527-550-233-002-812-095+,812,095,<END>,terminal_identity_or_class_label,FRAME(002) HEAD(812) IDENTITY_CLASS(095),true,SEM_095_RIGHT_EDGE_IDENTITY_LABEL,Local row gives non-390 head 812 with terminal 095; strictness needs separate source confidence.,Shows 095 terminality is not only a 390 artifact; class-label reading becomes less head-specific.,"If L-1 opens after 095 while 390-095 closes, 095 becomes head-conditioned rather than a general identity/class label.",Keeps 095 as a possible 390-only endpoint rather than a reusable X-class.,Use L-1 as the non-390 holdout: 095 must close outside 390 to survive as a broader X role.
2026-05-31,1,H-773,H-773,1665.1,Harappa,TAB:B,+740-798-803-002-390-530-741+,390,530,741,one_complement_associative_linker,FRAME(002) HEAD(390) LINKER(530) COMPLEMENT(741),true,SEM_530_GENITIVE_OR_ASSOCIATIVE_LINKER,"Panel/box-compatible route exists, but token strictness remains weaker than parser needs.",Promotes 530 as one-complement linker: 002-390-530-741 reads as head plus linker plus a single governed complement.,"If 530 takes multiple payload tails, associative-linker survives only as an open chaining operator, not one-complement grammar.",Demotes the 530 linker bet because H-773 is the clean 390-headed example.,Force source to decide whether 741 is a complement governed by 530 or an independent following formula segment.
2026-05-31,1,M-1825,M-1825,3992.1,Mohenjo-daro,SEAL:S,+157-031-002-390-705+,390,705,<END>,terminal_default_group_or_class_label,FRAME(002) HEAD(390) DEFAULT_CLASS(705),true,SEM_705_GROUP_OR_DEFAULT_CLASS_LABEL; EXPAND_705_ROLE_SWITCH_EXCEPTION,CISI 3.1/source-contact route exists; public OCR gives no sign-band binding.,Promotes 705 as terminal default/group class under 390 if paired with any other strict 390-705 row.,A visible tail after 705 demotes 705 from terminal class to head-conditioned operator or copied template.,Leaves Dholavira 4237.1 as the only repeated 390-705 route-pressure row; no promotion.,Require exact terminal sign count after 705; secondary icon-only matches do not count.
2026-05-31,1,4237.1,-:4237.1,4237.1,Dholavira,SEAL:S,+151-032-388-002-390-705+,390,705,<END>,terminal_default_group_or_class_label,FRAME(002) HEAD(390) DEFAULT_CLASS(705),true,SEM_705_GROUP_OR_DEFAULT_CLASS_LABEL; EXPAND_705_ROLE_SWITCH_EXCEPTION,Dholavira 8758/ZA-12:2 route is live but unbound; source reply did not have the needed page/object data.,"With M-1825, promotes 390-705 terminal default/group class across sites; without M-1825 it is strong pressure only.","If 705 continues or page-18 item 10 is a wrong-object bridge, 705 terminal class stays unpromoted.",Kills the Dholavira branch as a strict 705 witness and turns the page-18 route into visual-register bait.,"Bind accession/locus/dimensions to the exact six-sign sequence, or treat it as no evidence."
2026-05-31,2,M-1668,M-1668,2270.1,Mohenjo-daro,SEAL:S,+740-773-233-803-002-320-705-125+,320,705,125,head320_705_125_cap_exception,FRAME(002) HEAD(320) DEFAULT_CLASS(705) CAP(125),true,EXPAND_705_HEAD320_CAP_LICENSE,Local row gives 320-705-125; source-image status not settled in the parser layer.,Keeps 705 terminal-by-default but allows a head-320 cap exception where 125 closes the phrase.,"If extra tail follows 125, the cap exception becomes an open formula and weakens role grammar.",Demotes the only clean 320-705-125 cap and makes 705 simpler but less explanatory.,Check whether 125 is visually a cap after 705 or belongs to a separate copied formula segment.
2026-05-31,2,H-74,H-74,1132.1,Harappa,SEAL:S,+002-610-125-032+,610,125,032,head610_032_tail_router,FRAME(002) HEAD(610) TITLE_CHAIN(125) ROUTE(032),true,EXPAND_125_HEAD_CLASS_TAIL_ROUTER; EXPAND_125_ROLE_SWITCH_SURVIVES_SEAL_CONTROL,Local Harappa seal row gives 610-125-032; use with M-1665 as repeated router pair.,Promotes 610-125-032 as a title-chain route rule and supports positional role-switching for 125.,"If 032 is absent or further payload continues, 125-router class weakens sharply.",Leaves M-1665 as singleton and blocks promotion of the 610 router.,Verify 032 is actually after 125 and not a preposed or line-break artifact.
2026-05-31,2,M-1665,M-1665,2473.1,Mohenjo-daro,SEAL:S,+520-033-705-233-240-002-610-125-032+,610,125,032,head610_032_tail_router,FRAME(002) HEAD(610) TITLE_CHAIN(125) ROUTE(032),true,EXPAND_125_HEAD_CLASS_TAIL_ROUTER; EXPAND_125_ROLE_SWITCH_SURVIVES_SEAL_CONTROL,Local Mohenjo-daro seal row gives 610-125-032; source status must support repeated-pair promotion.,Cross-site repeat of 610-125-032 promotes the router rule from coincidence to candidate grammar.,A different tail after 125 under head 610 kills the clean router rule and turns 125 back into formula residue.,H-74 remains singleton and the 125 role-switch claim loses its most compact subrule.,Check whether the long left prefix is independent of the 002-610-125-032 phrase or contaminates the segmentation.
2026-05-31,1,3335.1,-:3335.1,3335.1,Unknown,SEAL:S,+740-205-032-002-390-590-032+,390,590,032,head_routed_extender_bait,FRAME(002) HEAD(390) EXTENDER(590) ROUTE(032),true,EXPAND_590_HEAD_ROUTED_EXTENDER; EXPAND_390_RIGHT_EDGE_HOST_BY_X_SUBTYPE,"Highest single-object matched-gate unlock, but private/unknown source and no independent bridge yet.",Promotes 390-590-032 as a routed-extender exception paired against strict M-70 style 390-X terminal behavior.,"If source order, object id, or tail differs, 590 extender is likely copied formula residue rather than grammar.",Kills the best non-125 continuing exception and simplifies 390-X toward terminal classes plus known 125/530 operators.,Demand object/source binding and exact 590-032 order; a dataset-only row is not enough for this bet.
