"checked_date","triad_rank","target_bucket","target_cisi","target_short_text","target_source_state","control_033_cisi","control_033_short_text","control_033_source_state","control_032_cisi","control_032_short_text","control_032_source_state","clean_calibration_objects_in_triad","blocked_source_objects_in_triad","missing_source_objects_in_triad","triad_source_graph_status","admissible_for_032_033_034_substitution_test","reason","accepted_decipherment_claim"
"2026-05-25","1","A_034_002_861_416_companion","H-910","+700-034+","visual_locator_not_close_read","H-916","+700-033+","no_source_panel_in_current_graph","H-1294","+700-032+","no_source_panel_in_current_graph","0","0","2","not_admissible_visual_locator_not_close_read","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","2","A_034_002_861_416_companion","H-2094","+700-034+","no_source_panel_in_current_graph","H-900","+700-033+","no_source_panel_in_current_graph","H-2173","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","3","A_034_002_861_416_companion","H-2097","+034-700+","no_source_panel_in_current_graph","H-925","+700-033+","blocked_source_panel_mapping","H-930","+700-032+","clean_two_panel_calibration_control","1","1","1","not_admissible_blocked_panel_mapping_or_variant_status","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","4","A_034_002_861_416_companion","H-2096","+700-034+","no_source_panel_in_current_graph","H-924","+700-033+","no_source_panel_in_current_graph","H-930","+700-032+","clean_two_panel_calibration_control","1","0","2","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","5","A_034_002_861_416_companion","H-2095","+700-034+","no_source_panel_in_current_graph","H-2125","+700-033+","no_source_panel_in_current_graph","H-1309","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","6","A_034_no_longer_small_object","H-307","+700-034+","no_source_panel_in_current_graph","H-928","+700-033+","no_source_panel_in_current_graph","H-1156","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","7","A_034_no_longer_small_object","H-788","+700-034+","no_source_panel_in_current_graph","H-798","+700-033+","no_source_panel_in_current_graph","H-1836","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","8","A_034_no_longer_small_object","H-2105","+700-034+","no_source_panel_in_current_graph","H-929","+700-033+","no_source_panel_in_current_graph","H-2129","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","9","A_034_no_longer_small_object","H-952","+700-034+","no_source_panel_in_current_graph","H-929","+700-033+","no_source_panel_in_current_graph","H-930","+700-032+","clean_two_panel_calibration_control","1","0","2","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","10","A_034_no_longer_small_object","H-947","+700-034+","no_source_panel_in_current_graph","H-928","+700-033+","no_source_panel_in_current_graph","H-2146","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","11","A_034_no_longer_small_object","H-1828","+700-034+","no_source_panel_in_current_graph","H-1859","+033-700+","no_source_panel_in_current_graph","H-1836","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
"2026-05-25","12","A_034_no_longer_small_object","H-1829","+700-034+","no_source_panel_in_current_graph","H-1859","+033-700+","no_source_panel_in_current_graph","H-1836","+700-032+","no_source_panel_in_current_graph","0","0","3","not_admissible_missing_source_panel_nodes","0","A source-normalized substitution test requires all three objects to have mapped source panels plus secure visual subtype and direction; current graph does not meet that gate.","0"
