date,gate,target,field,value,source_or_route,status,consequence
2026-05-31,h1993_acquisition_packet,H-1993,local_row,744.2,data/open_prototype/lipi/metadata_filtered.csv,local_metadata_only,"Use as request identity, not proof."
2026-05-31,h1993_acquisition_packet,H-1993,local_text,+740-000-220-004-002-390-095+,data/open_prototype/lipi/metadata_filtered.csv,local_metadata_only,"Target frame is 004->002-390->095 terminal."
2026-05-31,h1993_acquisition_packet,H-1993,excavation_hook,"H96-2769 Figure 17.07",data/open_prototype/lipi/metadata_filtered.csv,route_hook,"Must bind object/image/caption, not just figure number."
2026-05-31,h1993_acquisition_packet,H-1993,public_supplement_route,"ICIT 744 (H-1993)",https://www.harappa.com/sites/default/files/pdf/43539_2023_102_MOESM2_ESM.pdf,transcription_route_only,"Useful ID route; not source-image evidence."
2026-05-31,h1993_acquisition_packet,H-1993,cisi_3_1_photo_lane,"HARP H-1521 to H-2583 black-and-white photos, pages 207-360",https://www.harappa.com/sites/default/files/pdf/Kenoyer-Meadow-2010-HARP.pdf,full_volume_needed,"Public PDF excerpt does not include the plate range."
2026-05-31,h1993_acquisition_packet,H-1993,cisi_3_1_data_lane,"Harappa basic data pages 423-441",https://www.harappa.com/sites/default/files/pdf/Kenoyer-Meadow-2010-HARP.pdf,full_volume_needed,"Need source data row or equivalent archive/database row."
2026-05-31,h1993_acquisition_packet,H-1993,false_bridge_guard,"Figure 17.07 is not unique by itself; local H-1803 rows also carry Figure 17.07.",docs/campaign_032_002_861_002390x_h1993_image_binding_recheck_20260531.md,false_bridge_risk,"Request must name H-1993/H96-2769/ICIT 744 together."
2026-05-31,h1993_acquisition_packet,H-1993,web_refresh,"Targeted web search again returned ESM2 and unrelated hits, no artifact image/caption.",web_search_2026_05_31,no_public_image_found,"Next route is full CISI 3.1, HARP/ICIT/Harappa database, or Andreas/Fuls source notes."
2026-05-31,h1993_acquisition_packet,contact_route,existing_thread,"Omar connected Cuper to Andreas Fuls on 2026-05-25; multiple follow-up source asks already sent on 2026-05-26.",gmail_thread_19e6211289c772f3,contact_route_exists,"Do not scatter more asks; batch H-1993 into one concise next request."
2026-05-31,h1993_acquisition_packet,decision,status,request_ready_not_sent,docs/campaign_032_002_861_002390x_h1993_acquisition_packet_20260531.md,h1993_acquisition_packet_ready_no_image_binding,"H-1993 remains route-only until an image/data row is acquired."
