"record_type","cisi","source_url","image_url","downloaded_at","bytes","width_px","height_px","sha256","evidence_status","manual_observation","admissible_use","non_admissible_use"
"published_direction_note","H-1302","https://www.nature.com/articles/s41599-021-00713-0","","2026-05-24","","","","","published_direction_or_corpus_correction_lead","The Nature 2021 allograph article names H-1302, H-1303, and H-1822 in a mirrored-writing / ICIT-correction discussion after a CISI comparison. The article text extraction preserves artifact IDs but not the inline sign images as numeric sign IDs, so this is a source lead to reconcile against CISI/HARP images, not a resolved local sign correction.","source targeting; direction-note reconciliation; citation pointer for CISI/HARP request","plate validation; local sign correction; sign segmentation; side order; physical side function; numerical value; metrological reading; sign meaning; phonetic value; language identity; translation"
"published_direction_note","H-1303","https://www.nature.com/articles/s41599-021-00713-0","","2026-05-24","","","","","published_direction_or_corpus_correction_lead","The Nature 2021 allograph article names H-1302, H-1303, and H-1822 in a mirrored-writing / ICIT-correction discussion after a CISI comparison. The article text extraction preserves artifact IDs but not the inline sign images as numeric sign IDs, so this is a source lead to reconcile against CISI/HARP images, not a resolved local sign correction.","source targeting; direction-note reconciliation; citation pointer for CISI/HARP request","plate validation; local sign correction; sign segmentation; side order; physical side function; numerical value; metrological reading; sign meaning; phonetic value; language identity; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTEKWF-5OXWESsiYpTzKdru9nfQt_xhxt9g1GuIX4AUtJ6QkflNetXhBB9QgwdtD7PtBgIX1Fh5A1sRNaDQeyJnXiT31RmOHJ2yVC8__38Itp1tW-rrNJgSXTFX0g40PYAc29IKV76WdZH/s1600/squirrel1+-+Copy.JPG","2026-05-24","2550","43","78","c71678135d4e6379b2f53db23d272f936192414fbdc005e69a038a2c21a6fccf","tiny_unlabeled_crop","Tiny grayscale crop with no visible object label. It may come from the mirrored-writing discussion page, but it cannot be assigned to H-1302 or H-1303 from the image alone.","page-level visual context only","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhEX1yJEDLJczeDulmdLCz1DaBCe9gPpOutnd2M5r-XB2SVuVB3iPHv-NN6O4RfwQZdJNTmChHG18HB8VPHyi25sZ6y4BSBjH-LhZ3Gr0capkDrqJo7ImMxzeCV77f9fSx-usF5trphfNw1/s44/sign256.png","2026-05-24","2029","26","44","60d211fc9956329a2bf09ac04ea8bc4644cd4ccd10c08eb589a63aac5405f34f","standalone_sign_icon","Small sign icon labeled 256, not an object image.","sign-icon context only","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlcNCbTh7BvZ8gNHFQ8MNEdQt_JkzuSIfltwbB0QnhTaPa_SIvVUbusra2InvLWlDgMRl1gKIJM9ZXpEi-ISWNIq4d_SCe7bu2uksycdHMmhZ4nhfc7UvVbieu9DIRpT4aR8noRr-r-mSS/s1600/squirrel1.JPG","2026-05-24","2534","43","78","be4f138ce10dde4bf89ef265f60f95f08721cd5052b0b0b2e8c599b294ff1287","tiny_unlabeled_crop","Tiny grayscale crop with no visible object label. It cannot be assigned to H-1302 or H-1303 from the image alone.","page-level visual context only","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEioZUSSrKiGLoL4a7_lTgLagJBzAKfikjxp4iknvzfSKcKKj91LHM6uB0Gw8EOx5Yc418EUIc-grUL5t5zM1DzrFbz8mRAacYnvSBjVUNOCfbxiqzfpMw1KUCDAR8lTcVfElNLBjU0icHBH/s840/stand20.png","2026-05-24","228116","840","507","8e3a78bebfee233cffa97a211c326a44d4a970736fe1258f440270987cb28c71","directionality_context_excerpt","Text excerpt about bidirectional writing and direction criteria. It is context for the source question, not H-1302/H-1303 object evidence.","directionality background context","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTvv5R1DFJRa6V6h1G7UlXdYihjjrxclSXt2dFAGnveJb9Ywev9qtR6lqLta_a2fhKVeLIq7Ob9fBNCKyZip9VvXlqPfmUmREg7_OJpiCfFvZOCWPzQZE5XXXAv0VE6nICPVm4uJUQVHdb/","2026-05-24","85638","263","253","4b9de1daa3bde5006ad70c5e6156fad5ce1b65d047b6292450c88858ee1d4a93","unlabeled_object_panel_candidate","Grayscale artifact image with no visible object label in the image. It may be relevant to the H-1302/H-1303 mirrored-writing page context, but exact assignment to H-1302 or H-1303 is unresolved.","visual acquisition pointer; candidate object panel requiring source caption","accepted H-1302/H-1303 object identity; plate validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwwdpqPjAnZna0Zi4D_ktuguij4Se5ehb4l5EWpHCJfYC-mKhiAej7Rd6Hi2s8mUJ8mr1zmV2AdQX6N-kdaZG7ac_yveNVHzRip0uLqwgNzTV-UcGnZMD2-mx8Ke8QJItcNzawOSF9/","2026-05-24","49017","200","194","e43befdb14ecaa24b67bf7137e19bd9df0af419e3932e42aebb96bb710d9b27d","unlabeled_object_panel_candidate","Grayscale artifact image with no visible object label in the image. It may be relevant to the H-1302/H-1303 mirrored-writing page context, but exact assignment to H-1302 or H-1303 is unresolved.","visual acquisition pointer; candidate object panel requiring source caption","accepted H-1302/H-1303 object identity; plate validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjPUmiIsgF6JkBK6khcV_7WvPhV0gVwPXEIPd3mwwWzBhq02WkReCZsAj740kMRtZ_OrjFjd3Xwc_p1WCKbxixoLJ6KE4ipnhyphenhyphenKjwMgk94QfG81FLmwsbnBcH4hUKg-sekB43lGaFFDxTvV/s43/sign266.png","2026-05-24","2425","24","43","fe9b08cf93605a9bda6b42be249f79127cfcff8ccce5ec1c35ebd7d214a32fe1","standalone_sign_icon","Small sign icon labeled 266, not an object image.","sign-icon context only","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
"public_image","H-1302;H-1303","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjuTWFJiq_q8B9-B758_ULE4VUEec4cCeYqzGpvcKdK-gkEOO5PteXCv9134EOBclh0T_kedzz-aCztJeX56pE9CNEXGlfZoC22_0eqfvjiy9s_hL60DJbM7VgqHUfH8YVB-XpwFK47n-h2/s476/setta2.png","2026-05-24","42934","476","316","2e6711bc79b653965dbbf92f8cf226b50ad7dbbf0e9f33c6e3af7a46d24c8247","lexical_context_excerpt","Dictionary or lexical excerpt, not an H-1302/H-1303 object image.","page-level context only","object-level H-1302/H-1303 validation; sign segmentation; side order; direction acceptance; translation"
