"cisi","object_ids","category","site","type","symbol","material","condition","text","y_after_002","y_terminal","route_status","source_visible","same_physical_line","side_mapping_status","source_page","source_crop","packet_status","admissibility","token_box_tier","token_box_status","token_box_confidence","token_box_labels","token_box_overlay","route_next_action","note","token_box_note"
"C-10","98.1","non240_a_220_032","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Poor","+740-231-220-032-002-817+","817","True","chanhu_daro_plate_route","yes","yes","Plate LI item 29 binds CH 2297 to C-10; local row has one side","Mackay 1943 Plate LI:29 / CH 2297","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_context.png","row-level source-visible low-res; 032-002-817 packet visible enough for branch evidence, not token-level sign mapping","source_visible_lowres_token_box_candidate","lowres_candidate_token_box","candidate_pass_lowres:3","low","002/P122;032/P145;817/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C10_token_boxes.png","acquire/check Chanhu-daro plate reference and crop exact panel","Upgrades non-240 A-220 817 branch at Chanhu-daro; supports 817 outside target/240 frame.","Mackay plate is low contrast but the final adjacent cluster is boxable; use as source-realness pressure, not final token identity."
"H-444","1434.1","non240_a_220_032","Harappa","SEAL:S","Bull1:W","-","Good","+241-220-032-002-861+","861","True","source_volume_ocr_hit","yes","yes","source label H-444 A; local row has one side","Pakistan pdf page 310 / Pakistan_0309.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_page310_full_panel_context.png","row-level source-visible; five-sign top signband visible; detailed token boxes still needed","source_visible_medium_token_box_candidate","medium_candidate_token_box","candidate_pass:3","medium","002/P122;032/P145;861/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H444_token_boxes.png","locate source-volume page image, crop panel, record label and side","Non-240 A-220 core control. Strong row-level source witness for same-line 032-002-Y packet.","Public crop gives clear same-line cluster; tail boxes follow P385/P122/P145 shape sequence in physical order."
"K-145","5273.1","non240_a_220_032","Kalibangan","SEAL:S","Bull1:J","-","Good","+740-585-231-220-032-002-820+","820","True","source_route_needed","not_checked","not_checked","","","","","source_route_needed","none","none","","","","direct CISI/HARP/archive request","",""
"M-375","2871.1","non240_a_220_032","Mohenjo-daro","SEAL:R","None","Steatite","Good","+740-100-233-220-032-002-820+","820","True","source_volume_ocr_hit","yes","yes","source labels M-375 A/a; local row has one side","India page n128 / India_0128.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit2_india_0128_label_context.png","non-240 002-820 control source-visible at row level; detailed boxes still needed","source_visible_medium_low_token_box_candidate","medium_low_candidate_token_box","candidate_pass:3","medium_low","002/P122;032/P145;820/P378","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M375_token_boxes.png","locate source-volume page image, crop panel, record label and side","Good source-visible non-240 A-220 control outside the square seal surface: SEAL:R cuboid-convex.","Right-edge branch cluster is visible but Y wheel/820 is partly cut by crop edge; source panel should be recut wider before final acceptance."
"M-1044","3421.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull","Steatite","Poor","+520-220-032-002-861+","861","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-174","2699.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1:T","Steatite","Poor","+740-923-220-032-002-820+","820","True","source_volume_ocr_hit","no","not_checked","OCR hits are data/register rows, not inscription panels","India pages n402/n403 / India_0402/0403","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M174_non240_820_hit1_india_0402_label_context.png","not usable as source-function witness yet","source_volume_ocr_hit","none","none","","","","locate source-volume page image, crop panel, record label and side","Do not count as source-visible. Needs plate/archive route for the actual seal panel.",""
"M-1763","2313.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1:W","Faience","Fair","+416-001-565-740-220-032-002-861+","861","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-1788","3989.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1:I","-","Fair","+000-220-032-002-817+","817","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-221","2745.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1:I","-","Poor","+740-760-335-220-032-002-820+","820","True","source_volume_ocr_hit","no","not_checked","OCR hit is prose/context mention, not inscription panel","India page n26 / India_0026.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M221_non240_820_india_0026_label_context.png","not usable as source-function witness yet","source_volume_ocr_hit","none","none","","","","locate source-volume page image, crop panel, record label and side","Do not count as source-visible. Needs source panel acquisition.",""
"M-720","3144.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1","Steatite","Poor","+000-740-923-220-032-002-817+","817","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-723","3147.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1","Steatite","Fair","+740-460-510-235-220-032-002-861+","861","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-91","2618.1","non240_a_220_032","Mohenjo-daro","SEAL:S","Bull1:S","Steatite","Good","+740-100-798-220-032-002-861-255-416+","861","False","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"C-60","69.1","outside_a_220_x_032","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Good","+740-176-032-002-861+","861","True","chanhu_daro_plate_route","yes","yes","Plate LII item 24 binds CH 2605 to C-60; local row has one side","Mackay 1943 Plate LII:24 / CH 2605","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_context.png","row-level source-visible low-res; 032-002-861 packet visible enough for branch evidence, not token-level sign mapping","source_visible_weak_token_box_candidate","weak_token_box","candidate_weak:3","low","002/P122;032/P145;861/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C60_token_boxes.png","acquire/check Chanhu-daro plate reference and crop exact panel","Adds Chanhu-daro outside-control 861; strengthens portable 002-861 branch across sites.","Same-line signband is present, but the public crop is too degraded for confident token identity. Count row-level source visibility, not token-level acceptance."
"H-140","1181.1","outside_a_220_x_032","Harappa","SEAL:R","None","Steatite","Fine","+740-384-032-002-817+","817","True","source_route_needed","not_checked","not_checked","","","","","source_route_needed","none","none","","","","direct CISI/HARP/archive request","",""
"H-597","1540.1;1540.2","outside_a_220_x_032","Harappa","SEAL:S","Bull1:J","Steatite","Fair","+740-390-590-070-032-002-861+","861","True","source_volume_ocr_hit","yes","yes","source labels H-597 C/c; local has two identical text rows, side bridge acceptable at row level but needs side note","Pakistan pdf page 332 / Pakistan_0331.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_pakistan_0331_label_context.png","outside 002-861 control source-visible at row level; detailed boxes still needed","source_visible_medium_low_token_box_candidate","medium_low_candidate_token_box","candidate_pass:3","medium_low","002/P122;032/P145;861/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H597_token_boxes.png","locate source-volume page image, crop panel, record label and side","Useful Harappa outside control; local duplicate sides have same text, reducing side-mapping risk.","Dark-background signband shows adjacent right-side tail cluster; P122/P145 separation needs stronger crop before final acceptance."
"M-1045","3422.1","outside_a_220_x_032","Mohenjo-daro","SEAL:S","-","Steatite","Poor","+740-100-415-070-032-002-820-000+","820","False","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-1677","2236.1","outside_a_220_x_032","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Fair","+520-382-032-002-820-001-440-012+","820","False","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-1737","2229.1","outside_a_220_x_032","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Good","+740-760-072-921-032-002-820+","820","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-21","2549.1","outside_a_220_x_032","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Good","+350-001-740-362-692-032-002-861+","861","True","source_volume_ocr_hit","yes","yes","source labels M-21 A/a; local row has one side","India page n48 / India_0048.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png","outside 002-861 control source-visible at row level; detailed boxes still needed","source_visible_medium_token_box_candidate","medium_candidate_token_box","candidate_pass:3","medium","002/P122;032/P145;861/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M21_token_boxes.png","locate source-volume page image, crop panel, record label and side","High-value outside control for whether 032-002-861 is a general tail packet or A-220-linked.","Mayig row has local tail as P145-P122-P385; full panel shows adjacent left-side P385/P122/P145 physical cluster."
"M-1385","3681.1;3681.3","outside_a_220_x_032","Mohenjo-daro","TAG:P","Bull1","Clay","Poor","+740-760-032-002-817+","817","True","source_volume_ocr_hit","partial","unclear","multiple source faces A1-4/B/D/E; local side mapping unresolved","Pakistan pdf page 218 / Pakistan_0217.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M1385_outside_817_hit5_page218_label_context.png","object source-visible but target local row not yet mapped to a source face","partial_source_object_visible_side_unresolved","none","none","","","","locate source-volume page image, crop panel, record label and side","Outside control remains useful but cannot yet classify the 032-002-817 packet until face/side mapping is resolved.",""
"C-65","62.1","target_240_220_032","Chanhu-daro","SEAL:S","Bull1:W","Steatite","Good","+000-100-240-220-032-002-861+","861","True","chanhu_daro_plate_route","no","not_usable","Plate LII item 19 binds CH 2428 to C-65, but public scan face is too dark for row evidence","Mackay 1943 Plate LII:19 / CH 2428","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C65_target_861_plateLII_no19_public_dark.png","source object/provenance found; public plate not row-usable for target 002-861 reading","chanhu_daro_plate_route","none","none","","","","acquire/check Chanhu-daro plate reference and crop exact panel","Do not count as source-visible target 861. Need better scan/photo of CH 2428.",""
"M-1728","2417.1","target_240_220_032","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Good","+161-055-240-220-032-002-820+","820","True","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-240","2763.1","target_240_220_032","Mohenjo-daro","SEAL:S","Gaur","Steatite","Good","+520-240-220-032-002-861-603+","861","False","local_source_reference_route","not_checked","not_checked","","","","","local_source_reference_route","none","none","","","","resolve local excavation/source reference to plate or archive image","",""
"M-49","2577.1","target_240_220_032","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Poor","+527-550-240-220-032-002-300-350-032-190+","300","False","source_volume_ocr_hit","yes","yes","source labels M-49 A/a; local row has one side","India page n58 / India_0058.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png","target non-core source-visible; 032-002-300 and later 032-190 extension need token boxes","source_visible_medium_token_box_candidate","medium_candidate_token_box","candidate_pass:3","medium","002/P122;032/P145;300/P205","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M49_token_boxes.png","locate source-volume page image, crop panel, record label and side","Important target contrast: same 240-220-032-002 lane but non-core Y=300 and extended tail.","Target non-core branch: 032/P145, 002/P122, and 300/P205 form a visible adjacent central cluster; downstream 350-032-190 continues leftward in physical order."
"M-722","3146.1","target_240_220_032","Mohenjo-daro","SEAL:S","Bull1","Steatite","Poor","+740-585-240-220-032-002-817+","817","True","source_volume_ocr_hit","yes","yes","source label M-722 a matches object face, local side mapping still corpus-policy","Pakistan pdf page 83 / Pakistan_0082.djvu","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_page083_label_context.png","row-level source-visible; 032-002-817 packet visually on same signband, detailed sign boxes still needed","source_visible_medium_token_box_candidate","medium_candidate_token_box","candidate_pass:3","medium","002/P122;032/P145;817/P385","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M722_token_boxes.png","locate source-volume page image, crop panel, record label and side","Target 002-817 witness. Crop shows one continuous signband and label M-722 a; object is fragment/poor but source-visible.","Tail group visually adjacent on one signband; 817/P385 leaf at right edge; needs independent token adjudication."
