tail,tail_class,verdict,rows,strict_identity_family_cells,exact_prefixes,registers,source_ready_rows,dominant_prefix,dominant_prefix_share,dominant_register,dominant_register_share,prefix_last2_distribution,examples
<END>,closure,background_closure_not_tail_identity,113,110,101,58,7,740 482 240,0.062,Mohenjo-daro|SEAL:S|Bull1:W|square,0.150,482 240:7;220 032:5;390 590:3;390 003:3;740 176:3;220 003:2;407 004:2;555 235:2;236:2;415 798:2;255 705:2;240 798:2;100 415:2;032 840:1;176 032:1;125:1;740 416:1;390 016:1;382 031:1;320 798:1;740 103:1;405 035:1;752 175:1;817 920:1;806 470:1;233 049:1;892 031:1;643 240:1;231 806:1;840 830:1;070 032:1;405 004:1;226:1;520 033:1;000 460:1;832:1;220 415:1;151 176:1;760 605:1;519 240:1;495 240:1;240 220:1;924 132:1;233 220:1;000 235:1;637 240:1;390 004:1;390 015:1;923 240:1;692 032:1;840 416:1;760 235:1;140 003:1;390 803:1;233 803:1;136 140:1;740 772:1;240 806:1;415 240:1;350 240:1;390 710:1;740 519:1;840 220:1;740 235:1;142 061:1;721 790:1;033 706:1;151 061:1;804 231:1;233 798:1;590 900:1;090 125:1;390 869:1;240 031:1;335 233:1;520 220:1;840 235:1;136 031:1;233 031:1;435 255:1;720 175:1;590 235:1;000 016:1;001 233:1;233 550:1;740 904:1;405 016:1;000 705:1;136:1,- +405-844-032-840-002-861+;C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;C-74 +125-002-861+;- +740-416-002-861+;- +390-016-002-861+;Dlv-1 +151-382-031-002-861+;H-1051 +400-740-575-017-920-320-798-002-861+;H-1030 +090-740-103-002-861+;H-1043 +151-760-220-003-002-861+
603,simple_single,post861_simple_tail_class_survives_no_value,3,3,3,3,3,520 240 220 032,0.333,Mohenjo-daro|SEAL:S|Gaur|square,0.333,220 032:1;798 803:1;740 055:1,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
533 717,fixed_pair,fixed_final_unit_survives_narrow_register_no_function,2,2,2,1,2,740 100 176,0.500,Mohenjo-daro|SEAL:R|None|cuboid-convex,1.000,100 176:1;233 805:1,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
255 416,fixed_pair,singleton_watch_not_interpretable,1,1,1,1,1,740 100 798 220 032,1.000,Mohenjo-daro|SEAL:S|Bull1:S|square,1.000,220 032:1,M-91 +740-100-798-220-032-002-861-255-416+
360 520 919 140,long_continuation,singleton_watch_not_interpretable,1,1,1,1,1,740 877 032 033 705 231 235,1.000,Mohenjo-daro|SEAL:R|None|cuboid-convex,1.000,231 235:1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
416,simple_single,copy_register_template_demoted,6,1,1,1,0,<START>,1.000,Harappa|TAB:I|None|rectangular,1.000,<START>:6,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
698,simple_single,copy_register_template_demoted,2,1,1,1,0,<START>,1.000,Mohenjo-daro|SEAL:S|None|square,1.000,<START>:2,M-329 +002-861-698+;M-330 +002-861-698+
000,simple_single,singleton_watch_not_interpretable,1,1,1,1,0,740 440 503,1.000,Allahdino|MISC|Elep|square,1.000,440 503:1,Ad-8 +740-440-503-002-861-000+
125,simple_single,singleton_watch_not_interpretable,1,1,1,1,0,390 004,1.000,Harappa|SEAL:S|Bull1:X|square,1.000,390 004:1,H-55 +390-004-002-861-125+
244 165,fixed_pair,singleton_watch_not_interpretable,1,1,1,1,0,409 061 740 235 220 031,1.000,Harappa|SEAL:R|None|cuboid-convex,1.000,220 031:1,H-129 +409-061-740-235-220-031-002-861-244-165+
