"checked_date","object","crop_path","overlay_path","box_id","bbox_x","bbox_y","bbox_w","bbox_h","blind_visual_unit","posthoc_local_component","confidence","adjudication_status","accepted_mapping","accepted_decipherment_claim"
"2026-05-25","M-2104","tmp/cisi_m2104_packet/crops/m2104_parpola_fig1_text12_crop.png","tmp/cisi_m2104_packet/overlays/m2104_parpola_fig1_text12_segmentation_overlay.png","S1","585","98","64","75","complex tied/star-like sign at left of target row","candidate local 151 / Parpola sign 1; standardized drawing only","medium","target for raw-image confirmation","0","0"
"2026-05-25","M-2104","tmp/cisi_m2104_packet/crops/m2104_parpola_fig1_text12_crop.png","tmp/cisi_m2104_packet/overlays/m2104_parpola_fig1_text12_segmentation_overlay.png","S2","650","92","66","84","central human/fork-like sign","candidate local 097 / Parpola sign 15; standardized drawing only","medium","target for raw-image confirmation","0","0"
"2026-05-25","M-2104","tmp/cisi_m2104_packet/crops/m2104_parpola_fig1_text12_crop.png","tmp/cisi_m2104_packet/overlays/m2104_parpola_fig1_text12_segmentation_overlay.png","S3","720","88","52","88","U-shaped/pot-like unit","candidate local 700; standardized drawing only","medium","target for raw-image confirmation","0","0"
"2026-05-25","M-2104","tmp/cisi_m2104_packet/crops/m2104_parpola_fig1_text12_crop.png","tmp/cisi_m2104_packet/overlays/m2104_parpola_fig1_text12_segmentation_overlay.png","S4","772","88","70","88","three vertical count strokes","candidate local 034 as UIII count component; standardized drawing only","medium","target for raw-image confirmation","0","0"
"2026-05-25","M-478","tmp/cisi_m2104_packet/crops/m478_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m478_a_segmentation_overlay.png","S1","430","45","110","175","adjacent non-count sign region before count cluster","candidate local 097/sign-15 slot, but assignment is not accepted","low","blind segmentation target","0","0"
"2026-05-25","M-478","tmp/cisi_m2104_packet/crops/m478_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m478_a_segmentation_overlay.png","S2","535","58","110","155","U-shaped/pot-like region","candidate local 700 in 700-004 cluster","medium","blind segmentation target","0","0"
"2026-05-25","M-478","tmp/cisi_m2104_packet/crops/m478_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m478_a_segmentation_overlay.png","S3","640","63","120","145","four vertical count strokes","candidate local 004 as UIIII count component","high","blind segmentation target","0","0"
"2026-05-25","M-478","tmp/cisi_m2104_packet/crops/m478_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m478_a_segmentation_overlay.png","S4","760","55","135","160","adjacent comb/ribbed sign region after count cluster","candidate local 400/sign-107 slot, but assignment is not accepted","low","blind segmentation target","0","0"
"2026-05-25","M-1425","tmp/cisi_m2104_packet/crops/m1425_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m1425_a_segmentation_overlay.png","S1","500","70","115","190","adjacent non-count sign region before count cluster","candidate local 097/sign-15 slot, but assignment is not accepted","low","blind segmentation target","0","0"
"2026-05-25","M-1425","tmp/cisi_m2104_packet/crops/m1425_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m1425_a_segmentation_overlay.png","S2","620","80","115","170","U-shaped/pot-like region or cluster boundary","candidate local 700 in 700-004 cluster","medium","blind segmentation target","0","0"
"2026-05-25","M-1425","tmp/cisi_m2104_packet/crops/m1425_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m1425_a_segmentation_overlay.png","S3","725","82","140","165","four vertical count strokes, partly blended with adjacent stroke","candidate local 004 as UIIII count component","medium","blind segmentation target","0","0"
"2026-05-25","M-1425","tmp/cisi_m2104_packet/crops/m1425_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m1425_a_segmentation_overlay.png","S4","870","75","130","180","adjacent comb/ribbed sign region after count cluster","candidate local 400/sign-107 slot, but assignment is not accepted","low","blind segmentation target","0","0"
"2026-05-25","M-480","tmp/cisi_m2104_packet/crops/m480_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m480_a_segmentation_overlay.png","S1","280","195","115","150","weak U/pot-like region or cluster boundary","candidate local 700 in 700-004 cluster; weak crop","low","needs tighter crop before adjudication","0","0"
"2026-05-25","M-480","tmp/cisi_m2104_packet/crops/m480_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m480_a_segmentation_overlay.png","S2","380","205","140","140","weak four-stroke count region","candidate local 004 as UIIII count component; weak crop","low","needs tighter crop before adjudication","0","0"
"2026-05-25","M-480","tmp/cisi_m2104_packet/crops/m480_a_inscription_crop.png","tmp/cisi_m2104_packet/overlays/m480_a_segmentation_overlay.png","S3","520","190","120","150","adjacent non-count sign region","candidate adjacent sign slot; assignment not accepted","low","needs tighter crop before adjudication","0","0"
