"id","cisi","site","type","material","dir","formula","first","second","third","has_520","has_220","has_220_415","text"
"131.1","-","Dholavira","SEAL:S","Steatite","R/L","520-460-495","520","460","495","True","False","False","+520-460-495+"
"166.1","H-1392","Harappa","POT:T:g","-","-","000-220-000","000","220","000","False","True","False","+000-220-000+"
"221.1","H-1326","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"253.1","H-1165","Harappa","TAB:I","Steatite","L/R","520-400-000","520","400","000","True","False","False","+520-400-000+"
"290.2","H-1112","Harappa","TAB:B","Faience","R/L","520-000-255","520","000","255","True","False","False","+520-000-255+"
"297.1","H-874","Harappa","TAB:B","Clay","R/L","520-233-240","520","233","240","True","False","False","+520-233-240+"
"311.2","H-1192","Harappa","TAB:I","Steatite","R/L","700-220-004","700","220","004","False","True","False","+700-220-004+"
"313.1","H-1123","Harappa","TAB:B","Faience","R/L","525-550-220","525","550","220","False","True","False","+525-550-220+"
"467.2","H-1825","Harappa","TAB:B","Faience","L/R","740-176-220","740","176","220","False","True","False","+740-176-220+"
"481.1","H-2148","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"485.1","H-1953","Harappa","TAB:B","Clay","R/L","700-032-220","700","032","220","False","True","False","+700-032-220+"
"526.1","H-1770","Harappa","TAB:B","Faience","R/L","400-520-233","400","520","233","True","False","False","+400-520-233+"
"595.1","H-1892","Harappa","TAB:B","Faience","R/L","220-000-700","220","000","700","False","True","False","+220-000-700+"
"628.2","H-1899","Harappa","TAB:B","Faience","R/L","520-033-033","520","033","033","True","False","False","+520-033-033+"
"632.1","H-2193","Harappa","TAB:I","Steatite","R/L","590-032-220","590","032","220","False","True","False","+590-032-220+"
"715.1","H-1734","Harappa","POT:T:s","Clay","R/L","016-220-382","016","220","382","False","True","False","+016-220-382+"
"751.2","H-1872","Harappa","TAB:B","Faience","R/L","400-236-220","400","236","220","False","True","False","+400-236-220+"
"816.1","H-2240","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"827.2","H-2145","Harappa","TAB:I","Steatite","-","074-220-415","074","220","415","False","True","True","+074-220-415+"
"831.2","H-1880","Harappa","TAB:B","Faience","R/L","520-033-033","520","033","033","True","False","False","+520-033-033+"
"841.1","H-2146","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"848.1","H-2149","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"876.2","H-1879","Harappa","TAB:B","Faience","R/L","520-033-033","520","033","033","True","False","False","+520-033-033+"
"913.1","H-1992","Harappa","TAB:B","Faience","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"913.2","H-1992","Harappa","TAB:B","Faience","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"927.2","H-1941","Harappa","TAB:B","Faience","R/L","400-236-220","400","236","220","False","True","False","+400-236-220+"
"1065.1","H-4","Harappa","SEAL:S","Steatite","R/L","220-063-051","220","063","051","False","True","False","+220-063-051+"
"1112.1","H-53","Harappa","SEAL:S","-","R/L","520-033-706","520","033","706","True","False","False","+520-033-706+"
"1142.1","H-86","Harappa","SEAL:S","Steatite","R/L","520-460-031","520","460","031","True","False","False","+520-460-031+"
"1189.1","H-148","Harappa","SEAL:R","Steatite","R/L","520-240-235","520","240","235","True","False","False","+520-240-235+"
"1257.1","H-230","Harappa","TAB:B","Faience","R/L","520-072-219","520","072","219","True","False","False","+520-072-219+"
"1268.1","H-243","Harappa","TAB:B","Faience","R/L","400-520-233","400","520","233","True","False","False","+400-520-233+"
"1324.1","H-302","Harappa","TAB:I","Steatite","R/L","220-700-004","220","700","004","False","True","False","+220-700-004+"
"1341.1","H-319","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1342.1","H-320","Harappa","TAB:I","Steatite","R/L","520-240-000","520","240","000","True","False","False","+520-240-000+"
"1364.1","H-344","Harappa","TAB:I","Steatite","L/R","526-550-220","526","550","220","False","True","False","+526-550-220+"
"1366.1","H-346","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1378.1","H-359","Harappa","TAB:I","Steatite","L/R","526-550-220","526","550","220","False","True","False","+526-550-220+"
"1383.1","H-364","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1584.1","H-669","Harappa","SEAL:R","Steatite","R/L","740-220-032","740","220","032","False","True","False","+740-220-032+"
"1603.1","H-698","Harappa","TAB:B","Faience","R/L","400-520-233","400","520","233","True","False","False","+400-520-233+"
"1677.2","H-786","Harappa","TAB:B","-","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1704.2","H-815","Harappa","TAB:B","Faience","R/L","520-072-219","520","072","219","True","False","False","+520-072-219+"
"1793.2","H-912","Harappa","TAB:I","Steatite","R/L","220-700-004","220","700","004","False","True","False","+220-700-004+"
"1818.1","H-938","Harappa","TAB:I","Steatite","L/R","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1819.2","H-939","Harappa","TAB:I","Steatite","L/R","520-220-415","520","220","415","True","True","True","+520-220-415+"
"1820.1","H-940","Harappa","TAB:I","Steatite","R/L","520-220-415","520","220","415","True","True","True","+520-220-415+"
