"rank","cisi","type","site","packet_priority","acquisition_bucket","public_lead_status","sides","row_count_in_packet","short_side_texts","short_orders","side_relations","longer_texts","group_signature","raw_ids","excavation_ids","dimensions_mm","public_lead_kinds","public_source_urls","candidate_image_urls","source_tiers_seen","acquisition_action","required_evidence_to_fill_packet","validation_risk","interpretation_status"
"1","H-1302","TAB:I","Harappa","P1_033_after_with_400_740_176","A_direction_note_recheck","candidate_image_plus_published_direction_note","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4073.1;4073.2","2366","14 x 6.4 x 0","artifact_mention_with_candidate_images;published_direction_or_corpus_note","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html;https://www.nature.com/articles/s41599-021-00713-0","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTEKWF-5OXWESsiYpTzKdru9nfQt_xhxt9g1GuIX4AUtJ6QkflNetXhBB9QgwdtD7PtBgIX1Fh5A1sRNaDQeyJnXiT31RmOHJ2yVC8__38Itp1tW-rrNJgSXTFX0g40PYAc29IKV76WdZH/s1600/squirrel1+-+Copy.JPG;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhEX1yJEDLJczeDulmdLCz1DaBCe9gPpOutnd2M5r-XB2SVuVB3iPHv-NN6O4RfwQZdJNTmChHG18HB8VPHyi25sZ6y4BSBjH-LhZ3Gr0capkDrqJo7ImMxzeCV77f9fSx-usF5trphfNw1/s44/sign256.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlcNCbTh7BvZ8gNHFQ8MNEdQt_JkzuSIfltwbB0QnhTaPa_SIvVUbusra2InvLWlDgMRl1gKIJM9ZXpEi-ISWNIq4d_SCe7bu2uksycdHMmhZ4nhfc7UvVbieu9DIRpT4aR8noRr-r-mSS/s1600/squirrel1.JPG;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEioZUSSrKiGLoL4a7_lTgLagJBzAKfikjxp4iknvzfSKcKKj91LHM6uB0Gw8EOx5Yc418EUIc-grUL5t5zM1DzrFbz8mRAacYnvSBjVUNOCfbxiqzfpMw1KUCDAR8lTcVfElNLBjU0icHBH/s840/stand20.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTvv5R1DFJRa6V6h1G7UlXdYihjjrxclSXt2dFAGnveJb9Ywev9qtR6lqLta_a2fhKVeLIq7Ob9fBNCKyZip9VvXlqPfmUmREg7_OJpiCfFvZOCWPzQZE5XXXAv0VE6nICPVm4uJUQVHdb/;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwwdpqPjAnZna0Zi4D_ktuguij4Se5ehb4l5EWpHCJfYC-mKhiAej7Rd6Hi2s8mUJ8mr1zmV2AdQX6N-kdaZG7ac_yveNVHzRip0uLqwgNzTVkTWT-UcGnZMD2-mx8Ke8QJItcNzawOSF9/;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjPUmiIsgF6JkBK6khcV_7WvPhV0gVwPXEIPd3mwwWzBhq02WkReCZsAj740kMRtZ_OrjFjd3Xwc_p1WCKbxixoLJ6KE4ipnhyphenhyphenKjwMgk94QfG81FLmwsbnBcH4hUKg-sekB43lGaFFDxTvV/s43/sign266.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjuTWFJiq_q8B9-B758_ULE4VUEec4cCeYqzGpvcKdK-gkEOO5PteXCv9134EOBclh0T_kedzz-aCztJeX56pE9CNEXGlfZoC22_0eqfvjiy9s_hL60DJbM7VgqHUfH8YVB-XpwFK47n-h2/s476/setta2.png","T2 published allograph/direction lead;T4 public search lead only","Request plate or source image for H-1302 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Cross-check the published direction/corpus-note lead against CISI/HARP image evidence.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check; published direction/corpus-note claim reconciled with source image","public images are claim-heavy or copied and not source-grade; published direction/corpus-note lead may expose catalog direction issue; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"2","H-1303","TAB:I","Harappa","P1_033_after_with_400_740_176","A_direction_note_recheck","candidate_image_plus_published_direction_note","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4077.1;4077.2","2357879","13.2 x 7.6 x 0","artifact_mention_with_candidate_images;published_direction_or_corpus_note","https://bharatkalyan97.blogspot.com/2021/06/boustrophedon-form-of-writing-qoli.html;https://www.nature.com/articles/s41599-021-00713-0","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTEKWF-5OXWESsiYpTzKdru9nfQt_xhxt9g1GuIX4AUtJ6QkflNetXhBB9QgwdtD7PtBgIX1Fh5A1sRNaDQeyJnXiT31RmOHJ2yVC8__38Itp1tW-rrNJgSXTFX0g40PYAc29IKV76WdZH/s1600/squirrel1+-+Copy.JPG;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhEX1yJEDLJczeDulmdLCz1DaBCe9gPpOutnd2M5r-XB2SVuVB3iPHv-NN6O4RfwQZdJNTmChHG18HB8VPHyi25sZ6y4BSBjH-LhZ3Gr0capkDrqJo7ImMxzeCV77f9fSx-usF5trphfNw1/s44/sign256.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlcNCbTh7BvZ8gNHFQ8MNEdQt_JkzuSIfltwbB0QnhTaPa_SIvVUbusra2InvLWlDgMRl1gKIJM9ZXpEi-ISWNIq4d_SCe7bu2uksycdHMmhZ4nhfc7UvVbieu9DIRpT4aR8noRr-r-mSS/s1600/squirrel1.JPG;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEioZUSSrKiGLoL4a7_lTgLagJBzAKfikjxp4iknvzfSKcKKj91LHM6uB0Gw8EOx5Yc418EUIc-grUL5t5zM1DzrFbz8mRAacYnvSBjVUNOCfbxiqzfpMw1KUCDAR8lTcVfElNLBjU0icHBH/s840/stand20.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTvv5R1DFJRa6V6h1G7UlXdYihjjrxclSXt2dFAGnveJb9Ywev9qtR6lqLta_a2fhKVeLIq7Ob9fBNCKyZip9VvXlqPfmUmREg7_OJpiCfFvZOCWPzQZE5XXXAv0VE6nICPVm4uJUQVHdb/;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwwdpqPjAnZna0Zi4D_ktuguij4Se5ehb4l5EWpHCJfYC-mKhiAej7Rd6Hi2s8mUJ8mr1zmV2AdQX6N-kdaZG7ac_yveNVHzRip0uLqwgNzTVkTWT-UcGnZMD2-mx8Ke8QJItcNzawOSF9/;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjPUmiIsgF6JkBK6khcV_7WvPhV0gVwPXEIPd3mwwWzBhq02WkReCZsAj740kMRtZ_OrjFjd3Xwc_p1WCKbxixoLJ6KE4ipnhyphenhyphenKjwMgk94QfG81FLmwsbnBcH4hUKg-sekB43lGaFFDxTvV/s43/sign266.png;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjuTWFJiq_q8B9-B758_ULE4VUEec4cCeYqzGpvcKdK-gkEOO5PteXCv9134EOBclh0T_kedzz-aCztJeX56pE9CNEXGlfZoC22_0eqfvjiy9s_hL60DJbM7VgqHUfH8YVB-XpwFK47n-h2/s476/setta2.png","T2 published allograph/direction lead;T4 public search lead only","Request plate or source image for H-1303 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Cross-check the published direction/corpus-note lead against CISI/HARP image evidence.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check; published direction/corpus-note claim reconciled with source image","public images are claim-heavy or copied and not source-grade; published direction/corpus-note lead may expose catalog direction issue; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"3","H-355","TAB:I","Harappa","P1_033_after_with_400_740_176","A_double_short_side_case","text_only_or_bibliographic_public_lead","3","2","2:+700-033+|3:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+|3:+700-033+","1374.1;1374.2;1374.3","1274","15.5 x 5.8 x 0","text_only_or_bibliographic_lead","https://indusscriptmore.blogspot.com/2012/","","T4 secondary concordance-style mention","Request plate or source image for H-355 showing all 3 catalog side rows; verify 2:+700-033+|3:+700-033+ and +400-740-176+. Confirm whether both short rows are distinct physical sides or duplicate/catalog artifacts.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+|3:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check; both short rows checked separately","public evidence is text-only; duplicate short rows in packet; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"4","H-933","TAB:I","Harappa","P1_034_before_with_400_740_176","A_034_contrast_case","text_only_or_bibliographic_public_lead","2","1","1:+034-700+","034:700_last","short_before_all_longer","+400-740-176+","1:+034-700+|2:+400-740-176+","1813.1;1813.2","G252","14 x 8 x 0","text_only_or_bibliographic_lead","https://indusscriptmore.blogspot.com/2012/","","T4 secondary concordance-style mention","Request plate or source image for H-933 showing all 2 catalog side rows; verify 1:+034-700+ and +400-740-176+. Prioritize the 034-before relation because these are the two packet contrast cases.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 1:+034-700+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","public evidence is text-only; contrast class depends on 034 side relation; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"5","H-960","TAB:I","Harappa","P1_034_before_with_400_740_176","A_034_contrast_case","text_only_or_bibliographic_public_lead","2","1","1:+700-034+","034:700_first","short_before_all_longer","+400-740-176+","1:+700-034+|2:+400-740-176+","1837.1;1837.2","1261543","10.2 x 7.6 x 0","text_only_or_bibliographic_lead","https://indusscriptmore.blogspot.com/2012/","","T4 secondary concordance-style mention","Request plate or source image for H-960 showing all 2 catalog side rows; verify 1:+700-034+ and +400-740-176+. Prioritize the 034-before relation because these are the two packet contrast cases.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 1:+700-034+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","public evidence is text-only; contrast class depends on 034 side relation; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"6","H-233","TAB:B","Harappa","P1_033_after_with_400_740_176","A_tab_b_type_control_with_public_image_lead","candidate_public_image_or_post_lead","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","1260.1;1260.2","12544387","26.7 x 0 x 0","artifact_mention_with_candidate_images;text_only_or_bibliographic_lead","https://bharatkalyan97.blogspot.com/2025/08/shapes-of-tablets-convey-information.html;https://indusscriptmore.blogspot.com/2012/","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh6w3YVjIJUnIBfoz1rEX_p-kM0diOZCO1awKpRmwrM5tJcENTLBsRhDpkYLdThIy37abWSjAdVccTtbzHIge4ajXvnYoI6K0pLXUpEe2azYpjC4OXQiK-VJGv64aRWwPHGX2TmjNP34_k5ZswT8xQfVVKfv9q9-Gpx4VhhA4tLIyHyp6JsjTrhi0QzgcGL/s1280/Slide1.JPG;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjSvrmM3ksZWOapXi3XIEMg9wRwIUcT_bmn02Jzhf6cYa4zWVWHSjrNA8gqzYjkzCWTQuUn4SmfRJ3aMA4La9jBzMbmJ0p0hBz3Ui7m70j1CqMQRuhu7ZzLm5wxl4vv0_IBsXKoV7AbgH1cc6fg_YN-569ytudnj3iSUPnsnIpk1R2V9IMGOH63XYuJ1nt6/s1280/Slide2.JPG","T4 public search lead only;T4 secondary concordance-style mention;T4 secondary image lead only","Request plate or source image for H-233 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Manually inspect the public H-233 slide leads only as acquisition pointers, then verify against a plate-grade source.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","public images are claim-heavy or copied and not source-grade; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"7","H-1304","TAB:I","Harappa","P1_033_after_with_400_740_176","B_source_dark_direct_cisi_or_harp","no_public_lead_in_checked_sources","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","5470.1;5470.2","2480","14.5 x 0 x 0","","","","","Request plate or source image for H-1304 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Skip broad public search for now and go straight to CISI, HARP, Harappa image archives, or library plate access.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","no checked public lead; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"8","H-1344","TAB:I","Harappa","P1_033_after_with_400_740_176","B_source_dark_direct_cisi_or_harp","no_public_lead_in_checked_sources","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4085.1;4085.2","-752","14 x 8 x 0","","","","","Request plate or source image for H-1344 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Skip broad public search for now and go straight to CISI, HARP, Harappa image archives, or library plate access.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","no checked public lead; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"9","H-1345","TAB:I","Harappa","P1_033_after_with_400_740_176","B_source_dark_direct_cisi_or_harp","no_public_lead_in_checked_sources","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4086.1;4086.2","3509902","14.5 x 6.4 x 0","","","","","Request plate or source image for H-1345 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Skip broad public search for now and go straight to CISI, HARP, Harappa image archives, or library plate access.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","no checked public lead; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
"10","H-1346","TAB:I","Harappa","P1_033_after_with_400_740_176","B_source_dark_direct_cisi_or_harp","no_public_lead_in_checked_sources","2","1","2:+700-033+","033:700_first","short_after_all_longer","+400-740-176+","1:+400-740-176+|2:+700-033+","4087.1;4087.2","2894900","10.2 x 6.4 x 0","","","","","Request plate or source image for H-1346 showing all 2 catalog side rows; verify 2:+700-033+ and +400-740-176+. Skip broad public search for now and go straight to CISI, HARP, Harappa image archives, or library plate access.","source citation or image/plate ID; catalog rows are distinct physical sides or source explains side convention; side order basis is physical, photographic, editorial, or arbitrary; short-mark direction basis is inscription, impression, catalog-normalized, or unresolved; short mark visible enough to check 2:+700-033+; longer text visible enough to check +400-740-176+; 033/034 contrast visibility recorded; relation survives or fails after image-side check","no checked public lead; one or more local dimensions recorded as zero","source_acquisition_only_no_reading"
