"reviewer","blind_id","call","truth_class","cisi","control_class","outcome","confidence","rationale"
"heisenberg_review","SBP1_001","no","positive_source_visible_032_002_y","M-49","","false_negative","med","Top sign line lacks a clear adjacent fork/Y-form plus short vertical-stroke packet."
"heisenberg_review","SBP1_002","no","positive_source_visible_032_002_y","H-444","","false_negative","med","Visible line has diamond, verticals, and crossed forms, but no confident same-line 032-002 packet."
"heisenberg_review","SBP1_003","yes","negative_002_y_prev_not_032","C-3","negative_002_y_prev_not_032","false_positive","high","Clear fork/Y-like sign sits directly beside a vertical-stroke group on the same line."
"heisenberg_review","SBP1_004","uncertain","positive_source_visible_032_002_y","C-60","","uncertain_positive","low","Crop is dominated by animal/body area; upper inscription is too cut off to identify confidently."
"heisenberg_review","SBP1_005","no","positive_source_visible_032_002_y","M-722","","false_negative","med","Visible signs include verticals, crossed forms, and a diamond; target adjacent packet is not clear."
"heisenberg_review","SBP1_006","yes","negative_002_y_prev_not_032","M-32","negative_002_y_prev_not_032","false_positive","high","Left fork/Y-like sign is directly adjacent to short vertical strokes in the same sign band."
"heisenberg_review","SBP1_007","no","negative_002_y_prev_not_032","M-1273","negative_002_y_prev_not_032","true_negative","high","Tablet line has leaf, repeated small groups, diamond, and box forms, not the target adjacent pair."
"heisenberg_review","SBP1_008","uncertain","positive_source_visible_032_002_y","M-375","","uncertain_positive","med","There may be a fork-like form near vertical strokes, but the adjacency/identity is not clean enough."
"heisenberg_review","SBP1_009","no","negative_002_y_prev_not_032","M-315","negative_002_y_prev_not_032","true_negative","high","Referenced image shows catalog/table text rather than a visible artifact sign packet."
"heisenberg_review","SBP1_010","uncertain","negative_032_next_not_002","M-683","negative_032_next_not_002","uncertain_negative","med","Full plate contains several sign rows; a possible adjacent packet is visible, but not isolated confidently."
"heisenberg_review","SBP1_011","no","negative_002_y_prev_not_032","M-77","negative_002_y_prev_not_032","true_negative","med","Fork/Y-like sign is present, but it is not directly adjacent to the short vertical-stroke sign."
"heisenberg_review","SBP1_012","uncertain","negative_002_y_prev_not_032","M-376","negative_002_y_prev_not_032","uncertain_negative","low","Only the upper edge of signs is visible; packet cannot be identified confidently."
"heisenberg_review","SBP1_013","no","positive_source_visible_032_002_y","H-597","","false_negative","med","Fork/Y-like sign appears in the row, but adjacent signs are box/arrow-like rather than the target stroke packet."
"heisenberg_review","SBP1_014","no","negative_002_y_prev_not_032","H-910","negative_002_y_prev_not_032","true_negative","med","Fragment shows diamond and vertical strokes, but no clear fork/Y-form adjacent packet."
"heisenberg_review","SBP1_015","no","positive_source_visible_032_002_y","M-21","","false_negative","high","Clean seal line shows diamond, verticals, crossed and box-like forms, with no target adjacent packet."
"heisenberg_review","SBP1_016","uncertain","positive_source_visible_032_002_y","C-10","","uncertain_positive","low","Poor high-contrast crop obscures the sign line; possible forms are not separable enough."
"heisenberg_review","SBP1_017","no","negative_032_next_not_002","H-930","negative_032_next_not_002","true_negative","med","Small tablet has a V/wedge and vertical strokes, but no clear fork/Y-form packet."
"heisenberg_review","SBP1_018","yes","negative_002_y_prev_not_032","C-1","negative_002_y_prev_not_032","false_positive","med","Vertical-stroke group is directly adjacent to a fork/Y-like sign on the same line."
"heisenberg_review","SBP1_019","no","negative_002_y_prev_not_032","M-75","negative_002_y_prev_not_032","true_negative","high","Referenced image is a text page, not a visible sign-bearing artifact."
"heisenberg_review","SBP1_020","yes","negative_002_y_prev_not_032","M-17","negative_002_y_prev_not_032","false_positive","high","Fork/Y-like sign is clearly adjacent to short vertical strokes in the same sign band."
"jason_review","SBP1_001","no","positive_source_visible_032_002_y","M-49","","false_negative","med","No clean same-line lozenge plus two-stroke adjacency visible; right edge damage raises risk"
"jason_review","SBP1_002","no","positive_source_visible_032_002_y","H-444","","false_negative","high","Lozenge is visible but adjacent sign is not a clear two-stroke packet"
"jason_review","SBP1_003","no","negative_002_y_prev_not_032","C-3","negative_002_y_prev_not_032","true_negative","high","Only three simple signs visible; no matching adjacent packet"
"jason_review","SBP1_004","uncertain","positive_source_visible_032_002_y","C-60","","uncertain_positive","med","Inscription is too cropped and noisy to support a positive call"
"jason_review","SBP1_005","no","positive_source_visible_032_002_y","M-722","","false_negative","med","Lozenge-like sign is present but not adjacent to a clean two-stroke sign"
"jason_review","SBP1_006","yes","negative_002_y_prev_not_032","M-32","negative_002_y_prev_not_032","false_positive","high","Clear lozenge adjacent to two short vertical strokes on the same visible line"
"jason_review","SBP1_007","no","negative_002_y_prev_not_032","M-1273","negative_002_y_prev_not_032","true_negative","high","Large lozenge is not adjacent to a two-stroke sign on the same line"
"jason_review","SBP1_008","no","positive_source_visible_032_002_y","M-375","","false_negative","med","Right lozenge is adjacent to a more complex vertical sign not a clean two-stroke packet"
"jason_review","SBP1_009","no","negative_002_y_prev_not_032","M-315","negative_002_y_prev_not_032","true_negative","high","Image shows a reference table rather than an inscription"
"jason_review","SBP1_010","uncertain","negative_032_next_not_002","M-683","negative_032_next_not_002","uncertain_negative","med","Page contains multiple objects and no isolated target object strongly confirms the packet"
"jason_review","SBP1_011","yes","negative_002_y_prev_not_032","M-77","negative_002_y_prev_not_032","false_positive","high","Lower inscription shows lozenge adjacent to two short vertical strokes on the same line"
"jason_review","SBP1_012","no","negative_002_y_prev_not_032","M-376","negative_002_y_prev_not_032","true_negative","high","Only a partial cropped strip is visible; no matching adjacent packet"
"jason_review","SBP1_013","no","positive_source_visible_032_002_y","H-597","","false_negative","med","Lozenge area is present but adjacent strokes are not a clean two-stroke packet"
"jason_review","SBP1_014","uncertain","negative_002_y_prev_not_032","H-910","negative_002_y_prev_not_032","uncertain_negative","med","Fragmentary crop has a lozenge and nearby strokes but adjacency and count are not secure"
"jason_review","SBP1_015","no","positive_source_visible_032_002_y","M-21","","false_negative","high","Clear seal image but lozenge is adjacent to three strokes not a two-stroke packet"
"jason_review","SBP1_016","uncertain","positive_source_visible_032_002_y","C-10","","uncertain_positive","med","High-contrast damage makes the possible packet area unsafe for a positive call"
"jason_review","SBP1_017","no","negative_032_next_not_002","H-930","negative_032_next_not_002","true_negative","med","Blurry fragment lacks a visible lozenge plus two-stroke adjacency"
"jason_review","SBP1_018","no","negative_002_y_prev_not_032","C-1","negative_002_y_prev_not_032","true_negative","high","Visible signs are bars and angular forms without the target adjacent packet"
"jason_review","SBP1_019","no","negative_002_y_prev_not_032","M-75","negative_002_y_prev_not_032","true_negative","high","Image is a text page not an inscription"
"jason_review","SBP1_020","yes","negative_002_y_prev_not_032","M-17","negative_002_y_prev_not_032","false_positive","high","Lozenge at right is visibly adjacent to two short vertical strokes on the same line"
