"checked_date","source_row_id","cisi","cisi_prefix","priority_lane","priority_score","priority_reasons","mayig_current_repo_has_object","mayig_current_repo_commit","site","type","material","shape","preservation","complete","condition","direction","class","sign_count","frame700_relation","source_hook","text","acquisition_question","accepted_decipherment_claim"
"2026-05-25","2527.1","M-2104","M","P0_mohenjo_034_missing_from_current_mayig","218","same_site_as_mayig_overlap_but_absent_from_current_repo;700_before_034;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","ROD","Ivory","-","complete","Y","Fair","R/L","VX","4","700_before_034","VS 875CXIV:532 | -12.0 ft","+151-097-700-034+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","2833.1","M-315","M","P0_mohenjo_034_missing_from_current_mayig","196","same_site_as_mayig_overlap_but_absent_from_current_repo;seal_s_comparable_to_current_mayig_type;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","SEAL:S","Steatite","square","slightly chipped","Y","Good","R/L","LC","6","034_without_adjacent_700","VS 1190395 | -5.5 ft","+390-034-002-374-228-741+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","3556.1","M-1206","M","P0_mohenjo_034_missing_from_current_mayig","196","same_site_as_mayig_overlap_but_absent_from_current_repo;seal_s_comparable_to_current_mayig_type;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","SEAL:S","Steatite","square","complete","Y","Good","R/L","MT","3","034_without_adjacent_700","DK8186229 | Period 3C-4 | Late | III | -8.4 ft","+520-220-034+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","3121.1","M-685","M","P0_mohenjo_034_missing_from_current_mayig","175","same_site_as_mayig_overlap_but_absent_from_current_repo;seal_s_comparable_to_current_mayig_type;has_source_or_context_hook;fragment_or_uncertain_completeness","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","SEAL:S","Steatite","square","fragment","?","Poor","R/L","UC","2","034_without_adjacent_700","HR 4244276 | - -","]034-204+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","3807.1","M-1584","M","P0_mohenjo_034_missing_from_current_mayig","173","same_site_as_mayig_overlap_but_absent_from_current_repo;complete_direction_clean_no_000;has_source_or_context_hook;fragment_or_uncertain_completeness","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Mohenjo-daro","POT:T:g","Clay","-","fragment","Y","Poor","NR","NU","1","034_without_adjacent_700","- -","+034+","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","845.2","H-2222","H","P1_h_series_034_slot_controls","168","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Good","R/L","VN","2","700_before_034","H97-3305Figure 12.03 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","846.2","H-2223","H","P1_h_series_034_slot_controls","168","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Good","R/L","VN","2","700_before_034","H97-3306Figure 12.14 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","832.2","H-2229","H","P1_h_series_034_slot_controls","168","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Good","R/L","VN","2","700_before_034","H97-3290Figure 12.06 | Period 3B | 3 | B | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","769.2","H-2239","H","P1_h_series_034_slot_controls","168","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook;good_condition","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Good","R/L","VN","2","700_before_034","H96-3046Figure 12.16 | Period 3B/C | 3 | B/C | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","858.2","H-2218","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3319Figure 12.11 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","856.2","H-2219","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3317Figure 12.10 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","851.2","H-2220","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","slightly chipped","Y","Poor","R/L","VN","2","700_before_034","H97-3312Figure 12.04 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","844.1","H-2221","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3304Figure 12.02 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","857.2","H-2224","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3318Figure 12.08 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","854.2","H-2225","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3315Figure 12.07 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","852.1","H-2226","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3313Figure 12.13 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","853.1","H-2227","H","P1_h_series_034_slot_controls","165","h2218_h2239_slot_series_control;700_before_034;harappa_heavy_034_branch;tablet_branch;complete_direction_clean_no_000;has_source_or_context_hook","0","ad2f1e218a34b8c33c57de0d6cb8d99272765bbb","Harappa","TAB:I","Steatite","prism","complete","Y","Fair","R/L","VN","2","700_before_034","H97-3314Figure 12.05 | Period 3 | 3 | - -","+700-034+","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
