"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","lipi_text_length","lipi_signs","lipi_text","mayig_side_id","mayig_path","mayig_description","mayig_grapheme_count","mayig_graphemes","count_match","comparison_status"
"M-165","2212.1","Mohenjo-daro","SEAL:S","R/L","9","9","+817-740-194/740-760-001-741-390-032+","M-165A","corpus/m100_m199/m165.json","unicorn IV seal","9","P324 P332 P121 P325 P086 P122 P385 P324 P076","True","sign_system_unmapped"
"M-1","2531.1","Mohenjo-daro","SEAL:S","R/L","5","5","+001-368-861-255-371+","M-1A","corpus/m001_m099/m001.json","unicorn I seal","5","P121 P202 P385 P073 P108","True","sign_system_unmapped"
"M-3","2532.1","Mohenjo-daro","SEAL:S","R/L","3","3","+717-032-521+","M-3A","corpus/m001_m099/m003.json","unicorn I seal","3","P320 P145 P094","True","sign_system_unmapped"
"M-4","2533.1","Mohenjo-daro","SEAL:S","R/L","9","9","+298-465-033-705-231-002-564-617-033+","M-4A","corpus/m001_m099/m004.json","unicorn I seal","10","P205 P186 P147 P316 P056 P122 P237 P268 P268 P147","False","sign_system_unmapped"
"M-5","2534.1","Mohenjo-daro","SEAL:S","R/L","6","6","+740-773-240-235-060-692+","M-5A","corpus/m001_m099/m005.json","unicorn I seal","6","P324 P096 P062 P060 P120 P256","True","sign_system_unmapped"
"M-6","2535.1","Mohenjo-daro","SEAL:S","R/L","4","4","+820-880-065-244+","M-6A","corpus/m001_m099/m006.json","unicorn I seal","4","P378 P384 P201 P065","True","sign_system_unmapped"
"M-7","2536.1","Mohenjo-daro","SEAL:S","R/L","9","9","+407-845-140-740-101-923-240-002-861+","M-7A","corpus/m001_m099/m007.json","unicorn I seal","11","P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385","False","sign_system_unmapped"
"M-8","2537.1","Mohenjo-daro","SEAL:S","R/L","3","3","+706-140-632+","M-8A","corpus/m001_m099/m008.json","unicorn I seal","3","P316 P011 P270","True","sign_system_unmapped"
"M-9","2538.1","Mohenjo-daro","SEAL:S","R/L","3","3","+031-311-745+","M-9A","corpus/m001_m099/m009.json","unicorn I seal","3","P144 P205 P327","True","sign_system_unmapped"
"M-10","2539.1","Mohenjo-daro","SEAL:S","R/L","11","11","+405-061-070-032-033-706-235-806-002-267-455+","M-10A","corpus/m001_m099/m010.json","unicorn I seal","10","P086 P204 P114 P151 P316 P060 P364 P122 P067 P221","False","sign_system_unmapped"
"M-12","2540.1","Mohenjo-daro","SEAL:S","R/L","9","9","+740-390-590-233-002-368-202-892-371+","M-12A","corpus/m001_m099/m012.json","unicorn II seal","9","P324 P086 P276 P058 P122 P202 P386 P182 P108","True","sign_system_unmapped"
"M-13","2541.1","Mohenjo-daro","SEAL:S","R/L","3","3","+368-304-125+","M-13A","corpus/m001_m099/m013.json","unicorn II seal","3","P202 P205 P035","True","sign_system_unmapped"
"M-14","2542.1","Mohenjo-daro","SEAL:S","R/L","5","5","+740-776-503-002-817+","M-14A","corpus/m001_m099/m014.json","unicorn II seal","5","P324 P117 P210 P122 P385","True","sign_system_unmapped"
