"category","after_pair","count","dedup_texts","terminal","example_ids","example_texts"
"non240_a_220_032","<END>","13","11","true","151.1;1480.1;1544.1;1584.1;1830.1;2501.1;2651.1;2987.2;2988.2;3041.1;3950.1;4286.1","+220-032+ || +090-740-220-032+ || +740-717-233-220-032+ || +740-220-032+"
"non240_a_220_032","002-861","5","5","false","1434.1;2313.1;2618.1;3147.1;3421.1","+241-220-032-002-861+ || +416-001-565-740-220-032-002-861+ || +740-100-798-220-032-002-861-255-416+ || +740-460-510-235-220-032-002-861+"
"non240_a_220_032","002-820","4","4","false","2699.1;2745.1;2871.1;5273.1","+740-923-220-032-002-820+ || +740-760-335-220-032-002-820+ || +740-100-233-220-032-002-820+ || +740-585-231-220-032-002-820+"
"non240_a_220_032","002-817","3","3","false","98.1;3144.1;3989.1","+740-231-220-032-002-817+ || +000-740-923-220-032-002-817+ || +000-220-032-002-817+"
"non240_a_220_032","806-001","1","1","false","3427.1","+679-740-220-032-806-001-595-575-001-095+"
"non240_a_220_032","806-<END>","1","1","false","2888.1","+740-405-590-220-032-806+"
"non240_a_220_032","803-060","1","1","false","2063.1","+740-407-590-904-220-032-803-060-920+"
"non240_a_220_032","803-002","1","1","false","3150.1","+031-850-140-236-220-032-803-002-820+"
"non240_a_220_032","798-002","1","1","false","2877.1","+740-055-220-032-798-002-820+"
"non240_a_220_032","798-<END>","1","1","false","3582.1","+740-752-440-220-032-798+"
"non240_a_220_032","741-831","1","1","false","1416.1","+161-233-220-032-741-831+"
"non240_a_220_032","741-390","1","1","false","3169.1","+740-440-220-032-741-390-590-032+"
"non240_a_220_032","741-361","1","1","false","3092.1","+090-740-100-220-032-741-361+"
"non240_a_220_032","240-838","1","1","false","2403.1","+520-070-220-032-240-838-741-958-220-278+"
"non240_a_220_032","240-235","1","1","false","2566.1","+740-690-435-255-220-032-240-235-002-390-125-632-032+"
"non240_a_220_032","220-002","1","1","false","2292.1","+740-803-220-032-220-002-820+"
"non240_a_220_032","806-060","1","1","false","1080.1","+740-176-690-435-255-220-032-806-060-550+"
"non240_a_220_032","060-825","1","1","false","2041.1","+740-032-840-233-220-032-060-825-002+"
"non240_a_220_032","002-717","1","1","false","2490.1","+740-690-435-255-220-032-002-717-820+"
"non240_a_220_032","002-690","1","1","false","1020.1","+740-405-590-032-900-003-806-235-220-032-002-690-921+"
"non240_a_220_032","002-368","1","1","false","2564.1","+740-794-630-220-032-002-368-906-329+"
"non240_a_220_032","002-168","1","1","false","3519.1","+232-220-032-002-168-032+"
"non240_a_220_032","002-144","1","1","false","2657.1","+740-094-220-032-002-144+"
"non240_a_220_032","002-142","1","1","false","2381.1","+740-904-220-032-002-142+"
"non240_a_220_032","002-000","1","1","false","3085.1","+527-555-235-220-032-002-000-216+"
"non240_a_220_032","000-000","1","1","false","2032.5","+000-904-220-032-000-000-000+"
"non240_a_220_032","231-072","1","1","false","3529.1","+520-033-705-220-032/231-072-002-270-633-032+"
"outside_a_220_x_032","<END>","202","64","true","112.1;127.1;135.1;228.1;228.2;229.1;229.2;249.2;255.1;257.2;264.1;270.2","+032-031-740-384-032/000-000-840-634-032+ || +151-892-032+ || +590-407-790-032+ || +740-031-904-001-032+"
"outside_a_220_x_032","700-<END>","20","2","false","409.1;504.1;557.1;570.1;599.1;628.1;876.1;923.1;1049.2;1243.2;1343.2;1378.2","+032-700+ || +032-700+ || +032-700+ || +032-700+"
"outside_a_220_x_032","840-<END>","14","5","false","535.1;535.2;567.2;694.1;1215.1;1215.2;1219.1;1328.1;1625.1;1715.2;2026.1;2511.1","+740-032-840+ || +740-032-840+ || +400-740-032-840+ || +740-032-840+"
"outside_a_220_x_032","000-<END>","10","8","false","226.2;482.1;607.1;877.2;1798.2;1937.1;1965.1;4115.1;4177.1;5473.1","+400-032-000+ || +154-032-000+ || +032-000+ || +740-032-000+"
"outside_a_220_x_032","520-095","10","3","false","2284.2;3019.1;3020.1;3021.1;3061.2;3791.1;3792.1;3793.1;3794.1;5587.1","+407-032-520-095-585-017-220+ || +407-032-520-095-585-017-231+ || +407-032-520-095-585-017-231+ || +407-032-520-095-585-017-231+"
"outside_a_220_x_032","905-<END>","9","4","false","3045.1;3046.1;3581.1;3584.1;3778.1;3780.1;3781.1;3782.2;4028.1","+617-142-597-032-905+ || +617-142-597-032-905+ || +130-032-905+ || +032-905+"
"outside_a_220_x_032","578-415","5","2","false","222.1;407.2;484.2;672.3;1379.1","+824-032-578-415+ || +824-032-578-415+ || +824-032-578-415+ || +876-032-578-415+"
"outside_a_220_x_032","027-<END>","5","1","false","549.2;630.2;659.2;1325.1;1797.2","+400-740-032-027+ || +400-740-032-027+ || +400-740-032-027+ || +400-740-032-027+"
"outside_a_220_x_032","171-<END>","5","3","false","405.2;1323.2;1787.2;1864.2;2844.3","+740-630-240-031-032-171+ || +400-740-636-240-031-032-171+ || +400-740-636-240-031-032-171+ || +400-740-636-240-031-032-171+"
"outside_a_220_x_032","028-<END>","4","2","false","544.2;1124.1;1344.1;1844.1","+400-740-032-028+ || +740-032-028+ || +400-740-032-028+ || +400-740-032-028+"
"outside_a_220_x_032","840-002","4","4","false","18.1;82.1;1786.1;2375.1","+405-844-032-840-002-861+ || +740-032-840-002-296-530-000+ || +740-032-840-002+ || +740-032-840-002-768+"
"outside_a_220_x_032","031-740","4","3","false","71.1;73.1;74.1;112.1","+032-031/740-222-235-002-861+ || +032-031/740-791-713+ || +032-031/740-222-235-002-861+ || +032-031-740-384-032/000-000-840-634-032+"
"outside_a_220_x_032","002-861","4","3","false","69.1;1540.1;1540.2;2549.1","+740-176-032-002-861+ || +740-390-590-070-032-002-861+ || +740-390-590-070-032-002-861+ || +350-001-740-362-692-032-002-861+"
"outside_a_220_x_032","220-<END>","4","3","false","485.1;632.1;902.2;904.2","+700-032-220+ || +590-032-220+ || +690-590-032-220+ || +690-590-032-220+"
"outside_a_220_x_032","025-<END>","3","3","false","638.2;843.1;871.2","+400-740-032-025+ || +690-032-025+ || +740-032-025+"
