"site","type","prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"Allahdino","POT:T:g","<START>","000","<START>-220-000","+220-000+","1","4.1","-","Allahdino","POT:T:g","Clay","no_companion_side","false","false","true"
"Banawali","SEAL:S","<START>","014","<START>-220-014","+220-014+","1","28.1","B-3","Banawali","SEAL:S","-","no_companion_side","false","false","true"
"Banawali","SEAL:S","740","002","740-220-002","+090-740-220-002-368-550-821+","1","27.1","B-1","Banawali","SEAL:S","Steatite","no_companion_side","false","false","true"
"Chandigarh","POT:T:g","<START>","000","<START>-220-000","+220-000-740-550-705+","1","53.1","Ch-1","Chandigarh","POT:T:g","Clay","no_companion_side","false","false","true"
"Chanhu-daro","IMPL","776","016","776-220-016","+390-095-909-005-825-776-220-016+","1","121.1","C-40","Chanhu-daro","IMPL","Copper","longer_other","false","false","false"
"Chanhu-daro","MISC","<START>","000","<START>-220-000","+220-000-740/741-255+","1","115.1","C-33","Chanhu-daro","MISC","Steatite","no_companion_side","false","false","true"
"Chanhu-daro","MISC","<START>","063","<START>-220-063","+220-063-706-000+","1","119.1","C-38","Chanhu-daro","MISC","Copper","no_companion_side","false","false","true"
"Chanhu-daro","SEAL:S","231","032","231-220-032","+740-231-220-032-002-817+","1","98.1","C-10","Chanhu-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"Chanhu-daro","SEAL:S","240","032","240-220-032","+000-100-240-220-032-002-861+","1","62.1","C-65","Chanhu-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"Dholavira","SEAL:R","013","455","013-220-455","+154-806-472-013-220-455-806+","1","4194.1","-","Dholavira","SEAL:R","-","no_companion_side","false","false","true"
"Dholavira","SEAL:S","175","255","175-220-255","+740-760-175-220-255+","1","4236.1","-","Dholavira","SEAL:S","-","no_companion_side","false","false","true"
"Dholavira","SEAL:S","590","463","590-220-463","+740-390-590-220-463-240-001-820-060+","1","4229.1","-","Dholavira","SEAL:S","Steatite","no_companion_side","false","false","true"
"Dholavira","SEAL:S","879","416","879-220-416","+244-165/740-879-220-416-803-002-861+","1","130.1","-","Dholavira","SEAL:S","Steatite","no_companion_side","false","false","true"
"Dholavira","TAB:I","153","032","153-220-032","+153-220-032+","1","4286.1","-","Dholavira","TAB:I","-","no_companion_side","false","true","true"
"Farmana","SEAL:S","<START>","032","<START>-220-032","+220-032+","1","151.1","-","Farmana","SEAL:S","Steatite","no_companion_side","false","true","true"
"Gonur Depe","SEAL:S","125","235","125-220-235","+740-390-590-125-220-235-002-285+","1","4155.1","-","Gonur Depe","SEAL:S","Steatite","no_companion_side","false","false","true"
"Harappa","POT:T:g","000","000","000-220-000","+000-220-000+","1","166.1","H-1392","Harappa","POT:T:g","-","no_companion_side","false","false","true"
"Harappa","POT:T:s","<START>","016","<START>-220-016","+220-016+","1","173.1","H-1086","Harappa","POT:T:s","Clay","no_companion_side","false","false","true"
"Harappa","POT:T:s","<START>","032","<START>-220-032","+220-032+","1","3950.1","H-1084","Harappa","POT:T:s","Clay","no_companion_side","false","true","true"
"Harappa","POT:T:s","<START>","033","<START>-220-033","+220-033+","2","1017.1;1032.1","H-1736;H-1737","Harappa","POT:T:s","Clay","no_companion_side","false","false","true"
"Harappa","POT:T:s","016","382","016-220-382","+016-220-382+","1","715.1","H-1734","Harappa","POT:T:s","Clay","no_companion_side","false","false","true"
"Harappa","SEAL:R","235","031","235-220-031","+409-061-740-235-220-031-002-861-244-165+","1","1170.1","H-129","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:R","554","415","554-220-415","+740-554-220-415-798-060-692+","1","1174.1","H-133","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"Harappa","SEAL:R","590","003","590-220-003","+740-405-590-220-003-002-861+","1","1175.1","H-134","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
