"checked_date","graph_scope","cisi","edge_type","local_text","source_label_or_labels","source_state","edge_grade","blocker","basis","accepted_decipherment_claim"
"2026-05-25","FRAME700_034_source_panel_graph","H-930","companion_panel_mapping","+740-900-004+","H-930 A","clean_two_panel_calibration_control","catalog_compatible_clean_control","not_independent_direction_or_subtype_validation","H-930 A is the longer companion panel. H-930 B is the shorter two-sign panel; a left curved/V-shaped mark and a right vertical-bar/oval-like mark are visible, but the scan does not independently establish the catalog subtype 032.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-930","frame700_short_panel_mapping","+700-032+","H-930 B","clean_two_panel_calibration_control","catalog_compatible_clean_control","not_independent_direction_or_subtype_validation","H-930 A is the longer companion panel. H-930 B is the shorter two-sign panel; a left curved/V-shaped mark and a right vertical-bar/oval-like mark are visible, but the scan does not independently establish the catalog subtype 032.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-789","companion_panel_mapping","+400-520-220-016+","H-789 A","clean_two_panel_calibration_control","catalog_compatible_clean_control","not_independent_direction_or_subtype_validation","H-789 A is the longer companion panel. H-789 B is the shorter panel; the short panel is clear enough to separate it from the longer side, but bas-relief texture and scan contrast leave the 033-versus-neighbor diagnostic strokes unresolved.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-789","frame700_short_panel_mapping","+033-700+","H-789 B","clean_two_panel_calibration_control","catalog_compatible_clean_control","not_independent_direction_or_subtype_validation","H-789 A is the longer companion panel. H-789 B is the shorter panel; the short panel is clear enough to separate it from the longer side, but bas-relief texture and scan contrast leave the 033-versus-neighbor diagnostic strokes unresolved.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","blocked_frame700_short_panel_candidate","+700-034+","H-771 B","blocked_source_panel_mapping","partial_short_candidate_visible_but_failed_clean_two_panel_standard","multiple_A_photographs_plus_B","The printed B panel is a plausible short-side candidate for the local +700-034+ row, but the source page also shows four A-labeled photographs where the local packet has one companion row.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-771","blocked_companion_panel_candidate","+032-257-840+","H-771 A; H-771 A bis; H-771 A ter; H-771 A quater","blocked_source_panel_mapping","blocked_by_four_A_photographs_for_one_local_companion_row","multiple_A_photographs_plus_B","The printed B panel is a plausible short-side candidate for the local +700-034+ row, but the source page also shows four A-labeled photographs where the local packet has one companion row.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","blocked_frame700_short_panel_candidate","+700-034+","H-893 B or H-893 (1) B","blocked_source_panel_mapping","failed_clean_standard_numbered_variant_blocks_strict_local_target","base_AB_plus_numbered_variant_AB","The page visibly separates base H-893 A/B from H-893 (1) A/B. That is enough to confirm object-label visibility, but not enough to choose which B-like panel corresponds to the local +700-034+ row.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-893","blocked_companion_panel_candidate","+400-740-337+","H-893 A; H-893 (1) A","blocked_source_panel_mapping","blocked_by_numbered_variant_for_same_H_number","base_AB_plus_numbered_variant_AB","The page visibly separates base H-893 A/B from H-893 (1) A/B. That is enough to confirm object-label visibility, but not enough to choose which B-like panel corresponds to the local +700-034+ row.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","blocked_frame700_short_panel_candidate","+700-033+","multiple_B_labeled_H-925_candidates","blocked_source_panel_mapping","failed_clean_standard_shared_control_variant_soup","high_copy_variant_pressure_on_shared_control","H-925 is too crowded to inherit H-930 control confidence. The source page shows many A/B variants, so the local +700-033+ control row cannot be attached to one source panel yet.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-925","blocked_companion_panel_candidate","+740-840-013+","H-925 A; H-925 (1) A; H-925 (2) A; H-925 A bis; H-925 A ter","blocked_source_panel_mapping","blocked_by_many_numbered_bis_and_ter_variants","high_copy_variant_pressure_on_shared_control","H-925 is too crowded to inherit H-930 control confidence. The source page shows many A/B variants, so the local +700-033+ control row cannot be attached to one source panel yet.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","blocked_frame700_short_panel_candidate","+700-034+","multiple_B_labeled_H-983_candidates","blocked_source_panel_mapping","failed_clean_standard_extra_C_and_B_variants","extra_C_side_plus_bis_ter_variants","The local packet records two sides, but the source page shows A, B, and C panels with bis/ter variants. The visible C side means the local packet is incomplete at source level.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-983","blocked_companion_panel_candidate","+400-740-637-240+","H-983 A; H-983 A bis; H-983 C; H-983 C bis","blocked_source_panel_mapping","blocked_by_A_B_C_panel_set_and_multiple_B_C_variants","extra_C_side_plus_bis_ter_variants","The local packet records two sides, but the source page shows A, B, and C panels with bis/ter variants. The visible C side means the local packet is incomplete at source level.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-353","blocked_frame700_short_panel_candidate","+700-033+","H-353 B","blocked_source_panel_mapping","failed_clean_standard_source_three_panels","three_source_panels_for_two_local_sides","The printed B panel is a plausible short-side candidate for the local +700-033+ row, and printed A is a plausible longer companion candidate. The printed C panel is not represented in the local two-side packet and blocks clean-control use.","0"
"2026-05-25","FRAME700_034_source_panel_graph","H-353","blocked_companion_panel_candidate","+400-740-176+","H-353 A","blocked_source_panel_mapping","blocked_by_extra_C_panel_not_in_local_two_side_packet","three_source_panels_for_two_local_sides","The printed B panel is a plausible short-side candidate for the local +700-033+ row, and printed A is a plausible longer companion candidate. The printed C panel is not represented in the local two-side packet and blocks clean-control use.","0"
