"checked_date","source_row_id","cisi","cisi_prefix","is_h2218_h2239","pair","pair_scope","site","type","shape","material","preservation","condition","complete","direction","class","sign_count","horizontal_mm","vertical_mm","thickness_mm","text","tokens","suffix_after_003","same_cisi_texts","source_priority","accepted_decipherment_claim"
"2026-05-25","810.1","H-1682","H","0","154_003","external_longer_154_003","Harappa","SEAL:S","square","Steatite","complete","Good","Y","R/L","SC","4","20.4","19.8","6.2 - 10.3","+154-003-617-033+","154 003 617 033","617 033","+154-003-617-033+","P2_external_longer_prefix_frame","0"
"2026-05-25","2629.1","M-102","M","0","154_003","external_longer_154_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Fair","Y","R/L","SS","4","35.6","15.2","0","+154-003-900-545+","154 003 900 545","900 545","+154-003-900-545+","P2_external_longer_prefix_frame","0"
"2026-05-25","1385.1","H-366","H","0","154_003","external_strict_154_003","Harappa","TAB:I","cuboid","Steatite","complete","Fair","Y","R/L","AN","2","10.2","10.2","5.1","+154-003+","154 003","","+154-003+","P1_external_strict_exact_tab_i","0"
"2026-05-25","794.3","H-2237","H","1","154_003","h_series_singleton_variant","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","10","6.5","0","+154-003+","154 003","","+154-003+;+700-034+;+861-003+","P0_h_series_minimal_pair","0"
"2026-05-25","2607.1","M-80","M","0","156_003","external_longer_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Good","Y","R/L","IT","5","24.6","24.6","7.4 - 19.4","+156-003-060-368-817+","156 003 060 368 817","060 368 817","+156-003-060-368-817+","P3_external_156_control_pool","0"
"2026-05-25","2620.1","M-93","M","0","156_003","external_longer_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Good","Y","R/L","SP","5","23.6","23.6","6.4","+156-003-240-741-345+","156 003 240 741 345","240 741 345","+156-003-240-741-345+","P3_external_156_control_pool","0"
"2026-05-25","2659.1","M-132","M","0","156_003","external_longer_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Good","Y","R/L","SS","3","24.9","25.4","7.6","+156-003-545+","156 003 545","545","+156-003-545+","P3_external_156_control_pool","0"
"2026-05-25","2407.1","M-1888","M","0","156_003","external_longer_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Good","Y","R/L","SS","3","21.8","21.8","6.6","+156-003-877+","156 003 877","877","+156-003-877+","P3_external_156_control_pool","0"
"2026-05-25","2357.1","M-1928","M","0","156_003","external_longer_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Fair","Y","R/L","SS","3","33.5","33.5","9.9","+156-003-031+","156 003 031","031","+000-233-220-002-861+;+156-003-031+;+850-031+","P3_external_156_control_pool","0"
"2026-05-25","1138.1","H-81","H","0","156_003","external_strict_156_003","Harappa","SEAL:S","square","-","complete","Good","Y","R/L","SS","2","20","20","0","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","1310.1","H-288","H","0","156_003","external_strict_156_003","Harappa","TAB:I","rectangular","-","slightly chipped","Poor","Y","R/L","SS","2","9","5","0","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","1478.1","H-499","H","0","156_003","external_strict_156_003","Harappa","SEAL:S","square","-","complete","Good","Y","R/L","SS","2","19","19","0","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","2014.1","L-42","L","0","156_003","external_strict_156_003","Lothal","SEAL:S","square","-","complete","Fair","Y","R/L","SS","2","17","17","0","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","2923.1","M-429","M","0","156_003","external_strict_156_003","Mohenjo-daro","TAG:L","circular","Clay","complete","Poor","Y","R/L","SS","2","20.8","0","7.4","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","3250.1","M-838","M","0","156_003","external_strict_156_003","Mohenjo-daro","SEAL:S","square","Steatite","slightly chipped","Good","Y","R/L","SS","2","24.4","0","7.4","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","3316.1","M-919","M","0","156_003","external_strict_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Poor","Y","R/L","SS","2","22.6","22.6","7.6","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","3564.1","M-1232","M","0","156_003","external_strict_156_003","Mohenjo-daro","SEAL:S","square","Steatite","complete","Poor","Y","L/R","SS","2","26.7","22.9","13.2","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","3683.1","M-1388","M","0","156_003","external_strict_156_003","Mohenjo-daro","TAG:L","circular","Clay","complete","Good","Y","R/L","SS","2","22.1","0","6.4","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","2307.1","M-1779","M","0","156_003","external_strict_156_003","Mohenjo-daro","SEAL:S","square","Steatite","chipped","Fair","Y","R/L","SS","2","25.4","25.4","6.9","+156-003+","156 003","","+156-003+","P3_external_156_control_pool","0"
"2026-05-25","858.3","H-2218","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12.5","8","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","856.3","H-2219","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12","7.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","851.3","H-2220","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","slightly chipped","Poor","Y","R/L","SS","2","12","8.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","844.3","H-2221","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12.2","7.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","845.3","H-2222","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Good","Y","R/L","SS","2","12.2","7.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","846.3","H-2223","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Good","Y","R/L","SS","2","11.2","7.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","857.3","H-2224","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12","7","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","854.3","H-2225","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12","7.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","852.3","H-2226","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","11","7","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","853.3","H-2227","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","12.5","7.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","855.3","H-2228","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","11.8","6.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","832.3","H-2229","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Good","Y","R/L","SS","2","10","6","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","850.3","H-2230","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","10","7.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","859.3","H-2231","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","10","7","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","860.3","H-2232","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","9.2","5.8","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","878.3","H-2233","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","10","6.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","861.3","H-2234","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","9","6.5","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","870.3","H-2235","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","11","6","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","847.3","H-2236","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","steatite","complete","Fair","Y","R/L","SS","2","9","5.9","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","693.3","H-2238","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Fair","Y","R/L","SS","2","11","6.9","0","+156-003+","156 003","","+156-003+;+700-033+;+861-003+","P1_h_series_156_control_pool","0"
"2026-05-25","769.3","H-2239","H","1","156_003","h_series_majority_156_003","Harappa","TAB:I","prism","Steatite","complete","Good","Y","R/L","SS","2","9.5","6.2","0","+156-003+","156 003","","+156-003+;+700-034+;+861-003+","P1_h_series_156_control_pool","0"
