x_sign,x240_rows,distinct_after240_subframes,dominant_after240_subframe,dominant_share,migration_class,register_cells,formula_families,source_cells,prefixes,after240_counts,post_002_861_tail_initial_rows,post_002_861_tail_families,post_002_861_register_cells,x240_examples,post861_examples
636,15,5,<END>,8/15,migrates_across_subframes,9,7,10,740:12;690:3,<END>:8;031 032 171:3;060 692:2;066 556:1;233 235 002:1,0,0,0,H-1308 +740-690-636-240+;H-298 +400-740-636-240+;H-301 +400-740-636-240-031-032-171+;H-360 +740-636-240-060-692+;H-823 +740-636-240-060-692+;H-894 +400-740-636-240+;H-905 +400-740-636-240-031-032-171+;H-919 +740-636-240+;H-965 +740-690-636-240+;H-966 +740-690-636-240+,
100,8,5,<END>,4/8,migrates_across_subframes,7,7,7,740:7;000:1,<END>:4;220 032 002:1;235 741 175:1;741 702 900:1;031:1,0,0,0,C-65 +000-100-240-220-032-002-861+;C-51 +151-740-100-240+;H-1895 +400-740-100-240+;H-76 +740-100-240-235-741-175-132+;H-251 +400-740-100-240+;H-323 +740-100-240+;H-450 +740-100-240-741-702-900-003+;M-1982 +740-100-240-031+,
482,8,2,002 861,7/8,migrates_across_subframes,6,2,7,740:8,002 861:7;002 944 920:1,0,0,0,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;M-280 +740-482-240-002-944-920-140+;H-1130 +740-482-240-002-861+;H-1131 +740-482-240-002-861+,
642,7,5,060 692,2/7,migrates_across_subframes,4,5,5,740:5;690:1;000:1,060 692:2;001 692:2;204 705 621:1;<END>:1;031 002 861:1,0,0,0,H-1845 +740-642-240-060-692+;H-206 +740-642-240-204-705-621+;H-237 +740-642-240-060-692+;H-350 +740-690-642-240+;H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+;M-941 +000-642-240-031-002-861+,
904,7,3,002 817,3/7,migrates_across_subframes,4,4,6,740:7,002 817:3;<END>:3;235:1,0,0,0,- +740-904-240-002-817+;- +740-904-240+;H-1897 +400-740-904-240+;H-697 +740-904-240-002-817+;H-781 +740-904-240+;L-111 +740-904-240-235+;H-1100 +740-904-240-002-817+,
176,5,4,<END>,2/5,migrates_across_subframes,4,4,4,740:5,<END>:2;002 702 503:1;002 817:1;798 002 861:1,0,0,0,H-2200 +400-740-176-240+;H-2201 +400-740-176-240+;H-408 +740-176-240-002-702-503+;M-289 +740-176-240-002-817+;M-629 +679-740-176-240-798-002-861+,
233,4,2,<END>,3/4,migrates_across_subframes,4,4,4,740:3;000:1,<END>:3;798 365 263:1,0,0,0,H-246 +400-804-000-233-240+;H-659 +407-845-140-740-233-240-798-365-263+;H-779 +000-000-740-233-240+;M-1720 +679-740-233-240+,
772,4,4,060 415 056,1/4,migrates_across_subframes,4,4,4,740:4,060 415 056:1;<END>:1;803:1;002 900 003:1,0,0,0,H-14 +740-772-240-060-415-056+;M-1988 +740-772-240+;M-705 +740-772-240-803+;M-958 +740-772-240-002-900-003-590+,
055,3,3,415 798 060,1/3,migrates_across_subframes,3,3,3,740:3,415 798 060:1;235 806 002:1;220 032 806:1,0,0,0,H-386 +527-555-740-055-240-415-798-060-201+;M-29 +740-055-240-235-806-002-220-455-503+;M-1265 +740-055-240-220-032-806+,
603,3,1,060 692,3/3,locked_duplicate_family,1,1,2,740:3,060 692:3,3,1,3,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;H-1137 +740-603-240-060-692+,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
