checked_date,count_matched_rank,branch,frames,terminal,continuing,continuing_share,one_complement,one_complement_share,distinct_heads,distinct_sites,heads,sites,first_tails,decision,examples
2026-05-31,1,530,4,0,4,1.000000,4,1.000000,4,4,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,000:1;741:1;820:1;904:1,candidate_portable_one_complement_branch,C-57:+740-032-840-002-296-530-000+ | H-773:+740-798-803-002-390-530-741+ | M-623:+740-760-175-176-220-415-798-002-299-530-820+ | -:4182.1:+740-390-590-231-002-705-530-904+
2026-05-31,2,460,3,0,3,1.000000,3,1.000000,2,1,365:2;298:1,Mohenjo-daro:3,495:2;032:1,baseline,M-577:+617-142-597-032-905/407-004-002-365-460-495+ | M-683:+740-798-231-002-298-460-032+ | M-1532:+407-004-002-365-460-495+
2026-05-31,3,255,2,0,2,1.000000,2,1.000000,2,2,435:1;861:1,Harappa:1;Mohenjo-daro:1,416:1;777:1,baseline,H-598:+740-639-240-002-435-255-777+ | M-91:+740-100-798-220-032-002-861-255-416+
2026-05-31,4,690,2,0,2,1.000000,2,1.000000,2,1,291:1;817:1,Mohenjo-daro:2,544:1;564:1,baseline,M-628:+740-560-233-002-291-690-564+ | M-855:+861-260-832-390-590-002-817-690-544+
2026-05-31,5,060,2,0,2,1.000000,2,1.000000,1,2,741:2,Kalibangan:1;Mohenjo-daro:1,920:2,baseline,K-4:+036-269-140-002-741-060-920+ | M-1114:+740-140-002-741-060-920+
2026-05-31,6,533,2,0,2,1.000000,2,1.000000,1,1,861:2,Mohenjo-daro:2,717:2,baseline,M-376:+740-100-176-002-861-533-717+ | M-391:+405-845-686-740-793-003-233-805-002-861-533-717+
2026-05-31,7,455,8,2,6,0.750000,6,0.750000,4,2,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,<END>:2;000:1;125:1;503:1;520:1;741:1;920:1,baseline,H-1874:+002-220-455-000+ | H-82:+390-017-002-220-455-741+ | H-268:+740-585-017-033-706-803-002-220-455-920+ | M-10:+405-061-070-032-033-706-235-806-002-267-455+ | M-29:+740-055-240-235-806-002-220-455-503+ | M-147:+226-803-002-220-455-520+ | M-761:]002-741-455-125+ | M-1909:+368-005-002-590-455+
2026-05-31,8,906,3,1,2,0.666667,2,0.666667,3,1,368:1;595:1;820:1,Mohenjo-daro:3,<END>:1;000:1;329:1,baseline,M-36:+740-794-630-220-032-002-368-906-329+ | M-809:+520-460-495-002-595-906+ | M-1178:+002-820-906-000[
2026-05-31,9,003,3,1,2,0.666667,2,0.666667,2,2,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,590:2;<END>:1,baseline,C-71:+000-000-000/000-861-002-906-003+ | M-958:+740-772-240-002-900-003-590+ | M-979:+740-773-240/002-900-003-590+
2026-05-31,10,035,3,1,2,0.666667,2,0.666667,1,2,130:3,Mohenjo-daro:2;Lothal:1,171:2;<END>:1,baseline,L-12:+000-798-000-354-002-130-035[ | M-699:+740-100-415-002-130-035-171+ | M-1112:+740-585-220/002-130-035-171+
2026-05-31,11,590,7,3,4,0.571429,4,0.571429,7,5,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,<END>:3;032:2;125:1;900:1,baseline,H-464:+000-176-002-798-590-032+ | H-611:+527-550-002-125-590+ | Lh-1:+740-760-615-104-717-235-002-392-590-125+ | L-112:+740-760-605-002-540-590+ | M-248:+740-100-415-002-705-590+ | -:3335.1:+740-205-032-002-390-590-032+ | ?-3:+002-368-590-900+
2026-05-31,12,550,4,2,2,0.500000,2,0.500000,4,4,207:1;257:1;365:1;368:1,Banawali:1;Baror:1;Dholavira:1;Mohenjo-daro:1,<END>:2;390:1;821:1,baseline,B-1:+090-740-220-002-368-550-821+ | -:216.1:+000-000-002-257-550+ | M-82:+740-222-002-207-550-390+ | -:4196.1:+391-002-365-550+
2026-05-31,13,390,2,1,1,0.500000,1,0.500000,2,2,595:1;861:1,Dholavira:1;Kalibangan:1,<END>:1;000:1,baseline,K-89:+001-350-002-595-390-000+ | -:4348.1:]740-142-000-002-861-390[
2026-05-31,14,920,2,1,1,0.500000,1,0.500000,2,1,156:1;944:1,Mohenjo-daro:2,<END>:1;140:1,baseline,M-1810:+740-100-140-003-002-156-920+ | M-280:+740-482-240-002-944-920-140+
2026-05-31,15,480,2,1,1,0.500000,1,0.500000,1,2,031:2,Harappa:1;Mohenjo-daro:1,<END>:1;625:1,baseline,H-389:+740-405-590-235-002-031-480-625+ | M-1386:]000-000-335-235-002-031-480[
2026-05-31,16,615,3,2,1,0.333333,1,0.333333,3,2,550:1;611:1;900:1,Mohenjo-daro:2;Harappa:1,<END>:2;703:1,baseline,H-3:+740-585-017-002-611-615-703+ | M-849:+151-350-002-550-615+ | M-937:+740-460-503-031-002-900-615+
2026-05-31,17,692,3,2,1,0.333333,1,0.333333,3,2,252:1;390:1;455:1,Mohenjo-daro:2;Lothal:1,<END>:2;416:1,baseline,L-5:+740-760-552/000-002-455-692-416+ | M-1901:+151-061/156-002-252-692+ | M-70:+226-032-002-390-692+
2026-05-31,18,840,3,2,1,0.333333,1,0.333333,3,2,252:1;368:1;374:1,Mohenjo-daro:2;Lothal:1,<END>:2;900:1,baseline,L-213:]220-002-368-840-900+ | M-143:+740-205-032-002-252-840+ | M-1089:+151-390-590-002-374-840+
2026-05-31,19,861,3,1,2,0.666667,1,0.333333,3,2,000:1;003:1;368:1,Harappa:2;Kalibangan:1,<END>:1;031:1;590:1,baseline,-:543.1:+000-480-003-064-002-003-861+ | H-486:]002-000-861-031+ | K-10:+740-690-435-255-002-368-861-590-032-368+
2026-05-31,20,090,3,1,2,0.666667,1,0.333333,2,2,000:2;817:1,Mohenjo-daro:2;Unknown:1,<END>:1;370:1;725:1,baseline,M-644:+740-585-017-740-240-002-817-090-370+ | M-902:+740-798-002-000-090+ | -:5226.1:+002/000-090-725-000+
2026-05-31,21,065,3,0,3,1.000000,1,0.333333,1,2,220:3,Mohenjo-daro:2;Kalibangan:1,132:1;215:1;440:1,baseline,K-25:+520-231-002-220-065-132-082+ | M-46:+740-798-240-235-002-220-065-215+ | M-140:+740-336-002-220-065-440-455+
2026-05-31,22,032,7,4,3,0.428571,2,0.285714,7,2,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,<END>:4;320:1;520:1;904:1,baseline,H-1033:+220-500-520-002-862-032+ | H-272:+740-585-017-240-002-305-032-904+ | H-455:+520-033-705-002-172-032+ | M-1791:+740-760-268-002-840-032+ | M-1661:+520-070-219-002-861-032-520-919-140+ | M-1159:+232-220-032-002-168-032+ | M-1391:+000-000-000-798-002-817-032-320+
2026-05-31,23,705,5,4,1,0.200000,1,0.200000,4,3,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,<END>:4;125:1,baseline,H-468:+740-900-003-002-940-705+ | M-1668:+740-773-233-803-002-320-705-125+ | M-1155:+740-760-335-002-033-705+ | M-1825:+157-031-002-390-705+ | -:4237.1:+151-032-388-002-390-705+
2026-05-31,24,317,5,4,1,0.200000,1,0.200000,3,4,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,<END>:4;688:1,baseline,C-3:+740-016-002-920-317+ | L-190:+000-000-000-002-920-317[ | M-44:+740-760-033-705-803-002-920-317+ | M-308:+520-220-002-727-317+ | -:5468.1:+361-002-000-317-688+
2026-05-31,25,031,8,7,1,0.125000,0,0.000000,7,3,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,<END>:7;319:1,baseline,L-4:+090-740-100-233-002-575-031+ | M-2005:+808-033-002-000-031+ | M-358:+003-001-520-240-806-002-502-031+ | M-706:+740-773-240-002-861-031+ | M-756:+740-100-176-002-812-031+ | M-948:+426-003-002-388-031+ | M-1284:+416-001-520-240-806-002-502-031+ | -:3882.1:+416-150-002-055-031-319-001-924+
