x_sign,rows,register_cells,formula_families,prefixes,after_240_first3_counts,examples
636,15,9,7,740:12;690:3,<END>:8;031 032 171:3;060 692:2;066 556:1;233 235 002:1,H-1308 +740-690-636-240+;H-298 +400-740-636-240+;H-301 +400-740-636-240-031-032-171+;H-360 +740-636-240-060-692+;H-823 +740-636-240-060-692+;H-894 +400-740-636-240+;H-905 +400-740-636-240-031-032-171+;H-919 +740-636-240+
100,8,7,7,740:7;000:1,<END>:4;220 032 002:1;235 741 175:1;741 702 900:1;031:1,C-65 +000-100-240-220-032-002-861+;C-51 +151-740-100-240+;H-1895 +400-740-100-240+;H-76 +740-100-240-235-741-175-132+;H-251 +400-740-100-240+;H-323 +740-100-240+;H-450 +740-100-240-741-702-900-003+;M-1982 +740-100-240-031+
482,8,6,2,740:8,002 861:7;002 944 920:1,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;M-280 +740-482-240-002-944-920-140+;H-1130 +740-482-240-002-861+;H-1131 +740-482-240-002-861+
642,7,4,5,740:5;690:1;000:1,060 692:2;001 692:2;204 705 621:1;<END>:1;031 002 861:1,H-1845 +740-642-240-060-692+;H-206 +740-642-240-204-705-621+;H-237 +740-642-240-060-692+;H-350 +740-690-642-240+;H-821 +740-642-240-001-692+;H-822 +740-642-240-001-692+;M-941 +000-642-240-031-002-861+
904,7,4,4,740:7,002 817:3;<END>:3;235:1,- +740-904-240-002-817+;- +740-904-240+;H-1897 +400-740-904-240+;H-697 +740-904-240-002-817+;H-781 +740-904-240+;L-111 +740-904-240-235+;H-1100 +740-904-240-002-817+
176,5,4,4,740:5,<END>:2;002 702 503:1;002 817:1;798 002 861:1,H-2200 +400-740-176-240+;H-2201 +400-740-176-240+;H-408 +740-176-240-002-702-503+;M-289 +740-176-240-002-817+;M-629 +679-740-176-240-798-002-861+
233,4,4,4,740:3;000:1,<END>:3;798 365 263:1,H-246 +400-804-000-233-240+;H-659 +407-845-140-740-233-240-798-365-263+;H-779 +000-000-740-233-240+;M-1720 +679-740-233-240+
772,4,4,4,740:4,060 415 056:1;<END>:1;803:1;002 900 003:1,H-14 +740-772-240-060-415-056+;M-1988 +740-772-240+;M-705 +740-772-240-803+;M-958 +740-772-240-002-900-003-590+
055,3,3,3,740:3,415 798 060:1;235 806 002:1;220 032 806:1,H-386 +527-555-740-055-240-415-798-060-201+;M-29 +740-055-240-235-806-002-220-455-503+;M-1265 +740-055-240-220-032-806+
603,3,1,1,740:3,060 692:3,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;H-1137 +740-603-240-060-692+
630,3,3,3,740:2;690:1,031 032 171:1;741 861:1;<END>:1,H-2192 +740-630-240-031-032-171+;H-102 +740-630-240-741-861+;H-321 +740-690-630-240+
643,3,3,3,740:2;000:1,<END>:2;002 861:1,H-51 +740-643-240-002-861+;- +000-643-240+;M-1719 +740-643-240+
760,3,1,1,740:3,<END>:3,H-2076 +740-760-240+;H-2077 +740-760-240+;H-903 +740-760-240+
923,3,3,3,740:3,235 060 820:1;235 806:1;002 817:1,M-1760 +740-923-240-235-060-820+;M-405 +740-923-240-235-806+;M-1166 +740-923-240-002-817+
000,2,2,2,000:1;740:1,<END>:2,M-477 +840-000-000-240+;M-1231 +740-000-240+
455,2,2,2,740:2,235 060 820:1;235:1,M-808 +740-455-240-235-060-820+;M-1096 +740-455-240-235+
637,2,2,2,740:2,<END>:1;002 861:1,H-983 +400-740-637-240+;- +740-637-240-002-861+
773,2,1,2,740:2,235 060 692:1;002 861 031:1,M-5 +740-773-240-235-060-692+;M-706 +740-773-240-002-861-031+
798,2,2,2,740:2,060 111 166:1;235 002 220:1,L-26 +740-798-240-060-111-166+;M-46 +740-798-240-235-002-220-065-215+
152,1,1,1,740:1,<END>:1,H-2189 +400-740-152-240+
235,1,1,1,740:1,<END>:1,H-954 +090-740-235-240+
440,1,1,1,740:1,001 820:1,H-411 +740-440-240-001-820+
585,1,1,1,740:1,220 032 002:1,M-722 +740-585-240-220-032-002-817+
639,1,1,1,740:1,002 435 255:1,H-598 +740-639-240-002-435-255-777+
765,1,1,1,740:1,001 368 920:1,M-84 +740-765-240-001-368-920+
806,1,1,1,740:1,002 820:1,L-83 +740-806-240-002-820+
835,1,1,1,000:1,235 031 900:1,C-40 +740-000-835-240-235-031-900-066+
927,1,1,1,740:1,031:1,M-951 +740-927-240-031+
