"control","iteration","source_rows","source_tokens","unique_sequences","exact_duplicate_groups","exact_duplicate_rows","exact_duplicate_row_share","top_sequence_count","collapsed_rows","collapsed_tokens","unique_signs","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed","frequency_top1_accuracy","frequency_top5_accuracy","position_top1_accuracy","position_top5_accuracy","length_position_top1_accuracy","length_position_top5_accuracy","bidirectional_top1_accuracy","bidirectional_top5_accuracy"
"observed_lipi_numeric_clean_candidate","observed","2883","11645","1798","266","1351","0.468609","117","1798","8212","571","1798","1705","84","9","0.948276","9.403535","9.200559","0.107769","0.239284","0.15112","0.321603","0.154652","0.357404","0.325865","0.567828"
"length_frequency_shuffle","1","2883","11645","2779","68","172","0.05966","10","2779","11436","571","2779","1379","1359","41","0.496222","0.03027","0","0.101434","0.243267","0.101259","0.233561","0.097761","0.231287","0.098024","0.229276"
"length_frequency_shuffle","2","2883","11645","2753","88","218","0.075616","5","2753","11383","571","2753","1326","1391","36","0.481656","0.001965","-0.013569","0.101643","0.24273","0.101643","0.244663","0.097777","0.234297","0.09769","0.231046"
"length_frequency_shuffle","3","2883","11645","2770","74","187","0.064863","14","2770","11415","571","2770","1364","1359","47","0.492419","0.007241","0","0.101445","0.243189","0.101183","0.237057","0.096452","0.221989","0.097503","0.225843"
"length_frequency_shuffle","4","2883","11645","2762","79","200","0.069372","9","2762","11398","571","2762","1328","1399","35","0.480811","-0.037379","-0.021442","0.101158","0.242323","0.101158","0.238463","0.097473","0.217933","0.096245","0.223197"
"length_frequency_shuffle","5","2883","11645","2769","70","184","0.063822","11","2769","11415","571","2769","1379","1355","35","0.498014","-0.015765","0","0.101445","0.243101","0.101183","0.235042","0.093649","0.221901","0.095401","0.226106"
"length_frequency_shuffle","6","2883","11645","2764","77","196","0.067985","13","2764","11405","571","2764","1401","1329","34","0.506874","0.020371","0.014193","0.10171","0.24349","0.101008","0.235949","0.098027","0.221482","0.097501","0.227269"
"length_frequency_shuffle","7","2883","11645","2777","68","174","0.060354","7","2777","11430","571","2777","1368","1370","39","0.492618","0.001644","0","0.101837","0.243657","0.101575","0.244182","0.0972","0.225372","0.0979","0.231671"
"length_frequency_shuffle","8","2883","11645","2779","67","171","0.059313","12","2779","11434","571","2779","1328","1416","35","0.47787","-0.042497","-0.024047","0.101627","0.243747","0.101015","0.237275","0.096904","0.218384","0.096729","0.225643"
"length_frequency_shuffle","9","2883","11645","2769","75","189","0.065557","6","2769","11413","571","2769","1359","1365","45","0.490791","0.003543","0","0.101551","0.243845","0.101376","0.246298","0.096995","0.230614","0.097871","0.220801"
"length_frequency_shuffle","10","2883","11645","2771","77","189","0.065557","9","2771","11419","571","2771","1354","1375","42","0.488632","-0.000737","0","0.101935","0.244154","0.101673","0.238462","0.096944","0.226465","0.098082","0.229004"
"length_frequency_shuffle","11","2883","11645","2775","67","175","0.060701","11","2775","11428","571","2775","1368","1354","53","0.492973","0.015664","0","0.10168","0.243612","0.101418","0.241425","0.097655","0.226199","0.096692","0.231887"
"length_frequency_shuffle","12","2883","11645","2771","80","192","0.066597","7","2771","11417","571","2771","1364","1356","51","0.492241","0.021316","0","0.102566","0.24411","0.102654","0.23465","0.096698","0.232986","0.099063","0.229833"
"length_frequency_shuffle","13","2883","11645","2773","73","183","0.063476","9","2773","11425","571","2773","1410","1317","46","0.508475","0.026614","0.022473","0.101969","0.242626","0.101444","0.241838","0.098643","0.225033","0.098293","0.224858"
"length_frequency_shuffle","14","2883","11645","2788","68","163","0.056538","8","2788","11455","571","2788","1419","1333","36","0.508967","0.028717","0.014911","0.103099","0.245046","0.103274","0.242601","0.096901","0.221912","0.097687","0.229245"
"length_frequency_shuffle","15","2883","11645","2772","74","185","0.064169","9","2772","11421","571","2772","1390","1345","37","0.501443","0.044358","0.007236","0.101655","0.243411","0.100867","0.240522","0.096226","0.233079","0.096839","0.228789"
"length_frequency_shuffle","16","2883","11645","2764","71","190","0.065904","13","2764","11404","571","2764","1370","1357","37","0.495658","-0.030888","0","0.100403","0.241933","0.09865","0.242634","0.095054","0.229832","0.095493","0.227113"
"length_frequency_shuffle","17","2883","11645","2779","69","173","0.060007","7","2779","11434","571","2779","1353","1390","36","0.486866","0.010189","-0.000179","0.101889","0.244446","0.101802","0.246283","0.099528","0.223544","0.098303","0.227654"
"length_frequency_shuffle","18","2883","11645","2782","70","171","0.059313","9","2782","11442","571","2782","1381","1364","37","0.496405","0.002537","0","0.10208","0.244538","0.102255","0.236235","0.098147","0.224961","0.099283","0.230991"
"length_frequency_shuffle","19","2883","11645","2770","69","182","0.063129","14","2770","11418","571","2770","1348","1383","39","0.486643","-0.000753","0","0.101331","0.2433","0.101331","0.240497","0.096952","0.223945","0.096865","0.227798"
"length_frequency_shuffle","20","2883","11645","2772","77","188","0.06521","7","2772","11421","571","2772","1439","1289","44","0.51912","0.044967","0.038735","0.102443","0.243849","0.102093","0.236932","0.099553","0.222222","0.098153","0.228264"
"edge_position_shuffle","1","2883","11645","2602","115","396","0.137357","15","2602","11073","571","2602","2442","151","9","0.938509","5.425022","5.574528","0.097715","0.238057","0.109726","0.295855","0.109817","0.305157","0.11072","0.303621"
"edge_position_shuffle","2","2883","11645","2618","111","376","0.13042","13","2618","11106","571","2618","2434","170","14","0.929717","5.420954","5.633896","0.097155","0.23969","0.111471","0.296146","0.114353","0.305961","0.110931","0.299838"
"edge_position_shuffle","3","2883","11645","2616","106","373","0.129379","16","2616","11103","571","2616","2444","159","13","0.934251","5.43433","5.706072","0.098352","0.238314","0.10898","0.292714","0.115374","0.302261","0.106728","0.295866"
"edge_position_shuffle","4","2883","11645","2599","121","405","0.140479","15","2599","11068","571","2599","2420","164","15","0.931127","5.342258","5.669522","0.09785","0.237803","0.110679","0.286682","0.115378","0.305295","0.111764","0.29635"
"edge_position_shuffle","5","2883","11645","2628","108","363","0.125911","12","2628","11128","571","2628","2470","151","7","0.939878","5.451064","5.641704","0.099299","0.239306","0.110891","0.285226","0.121136","0.307962","0.115115","0.292775"
"edge_position_shuffle","6","2883","11645","2622","120","381","0.132154","15","2622","11120","571","2622","2446","162","14","0.932876","5.476405","5.716526","0.099101","0.240917","0.109622","0.300809","0.116187","0.302158","0.109083","0.298381"
"edge_position_shuffle","7","2883","11645","2609","109","383","0.132848","19","2609","11090","571","2609","2442","161","6","0.935991","5.377035","5.595124","0.096573","0.237692","0.108386","0.292606","0.112624","0.299639","0.107845","0.294139"
"edge_position_shuffle","8","2883","11645","2624","103","362","0.125564","16","2624","11119","571","2624","2473","136","15","0.942454","5.402035","5.648974","0.097761","0.23932","0.110172","0.285457","0.115748","0.30956","0.111341","0.294721"
"edge_position_shuffle","9","2883","11645","2604","117","396","0.137357","16","2604","11079","571","2604","2446","148","10","0.939324","5.474913","5.613128","0.097662","0.23892","0.108764","0.299215","0.115173","0.301923","0.108674","0.300478"
"edge_position_shuffle","10","2883","11645","2622","108","369","0.127992","14","2622","11114","571","2622","2466","145","11","0.940503","5.38039","5.595636","0.098434","0.213604","0.111031","0.297643","0.122278","0.310689","0.106982","0.295033"
"edge_position_shuffle","11","2883","11645","2627","105","361","0.125217","16","2627","11125","571","2627","2453","162","12","0.933765","5.418493","5.605802","0.099236","0.236944","0.111461","0.295461","0.115326","0.309483","0.114157","0.298337"
"edge_position_shuffle","12","2883","11645","2600","116","399","0.138398","18","2600","11067","571","2600","2434","153","13","0.936154","5.500906","5.765632","0.096142","0.235746","0.10834","0.290142","0.1134","0.304599","0.10834","0.294931"
"edge_position_shuffle","13","2883","11645","2592","110","401","0.139091","16","2592","11054","571","2592","2445","140","7","0.943287","5.387475","5.568345","0.097159","0.213226","0.109734","0.288855","0.115162","0.29962","0.108106","0.297449"
