"type","sequence_signature","artifact_count","sample_cisi","priority_counts","short_tokens","long_tokens"
"TAB:I","1:+400-740-176+|2:+700-033+","13","H-309;H-316;H-353;H-357;H-935;H-978;H-1302;H-1303;H-1304;H-1344;H-1345;H-1346","P1_mixed_short_long_core:13","033;700","176;400;740"
"TAB:I","1:+861-003+|2:+700-034+|3:+156-003+","13","H-2218;H-2219;H-2220;H-2222;H-2223;H-2224;H-2225;H-2229;H-2231;H-2232;H-2234;H-2236","P1_tab_i_three_side_short_series:13","003;034;156;700;861",""
"TAB:I","1:+400-740-176+|2:+700-034+","7","H-308;H-312;H-313;H-314;H-317;H-936;H-1273","P1_mixed_short_long_core:7","034;700","176;400;740"
"TAB:I","1:+700-034+|2:+861-003+|3:+156-003+","7","H-2221;H-2226;H-2227;H-2228;H-2230;H-2233;H-2235","P1_tab_i_three_side_short_series:7","003;034;156;700;861",""
"TAB:I","1:+700-033+|2:+368-900+","4","H-927;H-928;H-929;H-2131","P2_tab_i_core_short_queue:4","033;368;700;900",""
"TAB:B","1:+700-032+|2:+740-031-001-140+","3","H-1771;H-1772;H-1773","P1_mixed_short_long_core:3","032;700","001;031;140;740"
"TAB:I","1:+700-033+|2:+400-740-176+","3","H-356;H-934;H-979","P1_mixed_short_long_core:3","033;700","176;400;740"
"TAB:I","1:+700-034+|2:+002-861-416+","3","H-2094;H-2095;H-2096","P2_tab_i_core_short_queue:3","034;700","002;416;861"
"TAB:I","1:+740-840-013+|2:+700-033+","3","H-326;H-924;H-925","P1_mixed_short_long_core:3","033;700","013;740;840"
"TAB:B","1:+033-700+|2:+400-137+","2","H-1858;H-1859","P2_tab_b_core_short_queue:2","033;137;400;700",""
"TAB:B","1:+034-700+|2:+400-775-516+","2","H-1876;H-1877","P1_mixed_short_long_core:2","034;700","400;516;775"
"TAB:B","1:+156-176+|2:+700-034+","2","H-1828;H-1829","P2_tab_b_core_short_queue:2","034;156;176;700",""
"TAB:B","1:+400-154-896+|2:+033-700+","2","H-792;H-793","P1_mixed_short_long_core:2","033;700","154;400;896"
"TAB:B","1:+400-740-892-617+|2:+032-700+","2","H-849;H-850","P1_mixed_short_long_core:2","032;700","400;617;740;892"
"TAB:B","1:+520-240+|2:+700-034+","2","H-819;H-1907","P2_tab_b_core_short_queue:2","034;240;520;700",""
"TAB:B","1:+700-033+|2:+740-642-240-001-692+","2","H-821;H-822","P1_mixed_short_long_core:2","033;700","001;240;642;692;740"
"TAB:B","1:+700-034+|2:+151-740-222+","2","H-1868;H-1869","P1_mixed_short_long_core:2","034;700","151;222;740"
"TAB:B","1:+700-034+|2:+156-176+","2","H-1830;H-1831","P2_tab_b_core_short_queue:2","034;156;176;700",""
"TAB:B","1:+740-390-590-240+|2:+700-033+","2","H-733;H-734","P1_mixed_short_long_core:2","033;700","240;390;590;740"
"TAB:B","1:+740-904-240-002-817+|2:+700-032+","2","H-697;H-1100","P1_mixed_short_long_core:2","032;700","002;240;740;817;904"
"TAB:I","1:+400-158-592+|2:+700-032+","2","H-943;H-944","P1_mixed_short_long_core:2","032;700","158;400;592"
"TAB:I","1:+400-740-176+|2:+700-032+","2","H-315;H-962","P1_mixed_short_long_core:2","032;700","176;400;740"
"TAB:I","1:+400-740-178+|2:+700-033+","2","H-311;H-959","P1_mixed_short_long_core:2","033;700","178;400;740"
"TAB:I","1:+400-740-636-240+|2:+700-125+","2","H-894;H-1178","P1_mixed_short_long_core:2","125;700","240;400;636;740"
"TAB:I","1:+520-220-415+|2:+700-034+","2","H-319;H-1284","P2_tab_i_core_short_queue:2","034;700","220;415;520"
"TAB:I","1:+700-034+|2:+565-740-176-231+","2","H-2140;H-2141","P1_mixed_short_long_core:2","034;700","176;231;565;740"
"TAB:I","1:+740-690-636-240+|2:+700-032+","2","H-965;H-966","P1_mixed_short_long_core:2","032;700","240;636;690;740"
"TAB:I","1:+861-003+|2:+520-031+","2","H-922;H-923","P2_tab_i_core_short_queue:2","003;031;520;861",""
