tail_initial,prefix_last2_before_002_861,tail_after_002_861,register_key,template_key,raw_rows,source_objects,source_object_count,examples
000,440 503,000,Allahdino|MISC|Elep|square,+740-440-503-002-861-TAIL_X+,1,Ad-8,1,Ad-8 +740-440-503-002-861-000+
031,773 240,031,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-773-240-002-861-TAIL_X+,1,M-706,1,M-706 +740-773-240-002-861-031+
032,070 219,032 520 919 140,Mohenjo-daro|SEAL:S|Bull1:W|square,+520-070-219-002-861-TAIL_X-520-919-140+,1,M-1661,1,M-1661 +520-070-219-002-861-032-520-919-140+
036,390 005,036 460 513,Mohenjo-daro|SEAL:S|Bull1:W|square,+390-005-002-861-TAIL_X-460-513+,1,M-20,1,M-20 +390-005-002-861-036-460-513+
096,<START>,096,Mohenjo-daro|ROD|None|-,+002-861-TAIL_X+,1,M-2089,1,M-2089 +002-861-096+
125,390 004,125,Harappa|SEAL:S|Bull1:X|square,+390-004-002-861-TAIL_X+,1,H-55,1,H-55 +390-004-002-861-125+
216,585 798,216,Harappa|SEAL:S|Bull1:J|square,+740-585-798-002-861-TAIL_X+,1,H-446,1,H-446 +740-585-798-002-861-216+
244,220 031,244 165,Harappa|SEAL:R|None|cuboid-convex,+409-061-740-235-220-031-002-861-TAIL_X-165+,1,H-129,1,H-129 +409-061-740-235-220-031-002-861-244-165+
255,220 032,255 416,Mohenjo-daro|SEAL:S|Bull1:S|square,+740-100-798-220-032-002-861-TAIL_X-416+,1,M-91,1,M-91 +740-100-798-220-032-002-861-255-416+
360,231 235,360 520 919 140,Mohenjo-daro|SEAL:R|None|cuboid-convex,+740-877-032-033-705-231-235-002-861-TAIL_X-520-919-140+,1,M-355,1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
392,740 176,392,Lothal|SEAL:S|Gaur|square,+527-388-233-740-176-002-861-TAIL_X+,1,L-46,1,L-46 +527-388-233-740-176-002-861-392+
416,<START>,416,Harappa|TAB:I|None|rectangular,+002-861-TAIL_X+,6,-;H-2094;H-2095;H-2096;H-2097;H-910,6,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
533,233 805,533 717,Mohenjo-daro|SEAL:R|None|cuboid-convex,+405-845-686-740-793-003-233-805-002-861-TAIL_X-717+,1,M-391,1,M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
533,100 176,533 717,Mohenjo-daro|SEAL:R|None|cuboid-convex,+740-100-176-002-861-TAIL_X-717+,1,M-376,1,M-376 +740-100-176-002-861-533-717+
603,220 032,603,Mohenjo-daro|SEAL:S|Gaur|square,+520-240-220-032-002-861-TAIL_X+,1,M-240,1,M-240 +520-240-220-032-002-861-603+
603,740 055,603,Mohenjo-daro|SEAL:R|None|rectangular,+740-055-002-861-TAIL_X+,1,M-1273,1,M-1273 +740-055-002-861-603+
603,798 803,603,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-585-017-033-705-233-798-803-002-861-TAIL_X+,1,M-714,1,M-714 +740-585-017-033-705-233-798-803-002-861-603+
626,520 315,626,Lothal|SEAL:S|Bull1|square,+520-315-002-861-TAIL_X+,1,L-39,1,L-39 +520-315-002-861-626+
683,222 231,683,Mohenjo-daro|SEAL:S|Bull1:J|square,+090-740-222-231-002-861-TAIL_X+,1,M-1674,1,M-1674 +090-740-222-231-002-861-683+
698,<START>,698,Mohenjo-daro|SEAL:S|None|square,+002-861-TAIL_X+,2,M-329;M-330,2,M-329 +002-861-698+;M-330 +002-861-698+
791,760 031,791 440 717,Kalibangan|SEAL:S|Elep|square,+760-031-002-861-TAIL_X-440-717+,1,K-40,1,K-40 +760-031-002-861-791-440-717+
803,033 705,803,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-482-033-705-002-861-TAIL_X+,1,M-1698,1,M-1698 +740-482-033-705-002-861-803+
831,520 233,831 165,Harappa|SEAL|None|-,+520-233-002-861-TAIL_X-165+,1,H-688,1,H-688 +520-233-002-861-831-165+
832,740 798,832,Mohenjo-daro|SEAL:S|Bull1:W|square,+520-072-233-740-798-002-861-TAIL_X+,1,M-1681,1,M-1681 +520-072-233-740-798-002-861-832+
901,231 242,901,Mohenjo-daro|SEAL:S|Bull1:L|square,+740-923-070-032-033-706-231-242-002-861-TAIL_X+,1,M-677,1,M-677 +740-923-070-032-033-706-231-242-002-861-901+
