date,scope,artifact,cisi_or_blind_id,failure_type,observed_cue,decision,notes
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,H-665,page_context_label_leak,visible H-662 a catalogue label in the same crop neighborhood,reject_packet_before_review,Printed label leakage makes reviewer FPR meaningless.
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,H-158,page_context_label_leak,visible H-158 A style catalogue cue,reject_packet_before_review,OCR masking fixed coordinate parsing but did not remove all catalogue cues.
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,M-1315,page_context_label_leak,visible M-1315 A catalogue cue,reject_packet_before_review,Fixed denominator cannot be reviewed with object IDs visible.
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,M-171,page_context_label_leak,visible M-171 A catalogue cue,reject_packet_before_review,Printed label leakage blocks blind review.
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,M-365,page_context_label_leak,visible M-365 A catalogue cue,reject_packet_before_review,Real-negative row cannot stay in a fixed denominator.
2026-05-29,v2c_no_overlay_preflight,tmp/effective_unicity_directionality_blind_packet_v2c/directionality_no_overlay_v2c_blind_contact_sheet.png,M-386,page_context_label_leak,visible M-386 A catalogue cue,reject_packet_before_review,Real-negative row cannot stay in a fixed denominator.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,denominator_policy,fixed denominator only has 9 real-negative rows because H-421/M-127/M-1322 remain reserve_not_denominator,reject_as_packet,Reserves may be promoted only in a new pre-registered manifest before review.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,crop_world,crop-world asymmetry: targets mostly signband strips while controls include tablet/object/animal panels,reject_as_packet,Reviewer can classify role by crop genre rather than inscription structure.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-1458,crop_world,tablet/object panel rather than target-comparable signband strip,reject_as_fixed_negative,Control crop kind differs from most targets.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-1523,crop_world,tablet/object panel rather than target-comparable signband strip,reject_as_fixed_negative,Control crop kind differs from most targets.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-171,crop_world,mostly animal/icon context,reject_as_fixed_negative,Non-textual role cue remains exploitable.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-527,crop_world,elephant/object context,reject_as_fixed_negative,Non-textual role cue remains exploitable.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,H-654,page_context_sliver,adjacent page/object sliver remains visible,reject_as_blind_packet_row,Less severe than printed labels but still a source-layout cue.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-1310,page_context_sliver,adjacent page/object sliver remains visible,reject_as_blind_packet_row,Less severe than printed labels but still a source-layout cue.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-386,page_context_sliver,adjacent object/page slivers remain visible,reject_as_blind_packet_row,Needs tighter recut or balanced cue design.
2026-05-29,v2d_clean_shortlist_preflight,tmp/effective_unicity_directionality_panel_crop_repair/visual_qc_manual_shortlist_v2d_clean_draft.jpg,M-1322,page_context_sliver,adjacent object/page slivers remain visible,reject_as_blind_packet_row,Reserve cannot be used without pre-registration and cue cleanup.
2026-05-29,v2e_signband_pool_preflight,tmp/effective_unicity_directionality_signband_pool_v2e/directionality_signband_pool_v2e_target_candidates.jpg,v2e_pool,geometry ranking is over-inclusive and still contains visible labels or broad icon panels,inventory_only,Use only as acquisition pool for later manual QC; no FPR and no packet.
2026-05-29,v2f_homogeneous_packet_preflight,tmp/effective_unicity_directionality_homogeneous_packet_v2f/directionality_homogeneous_packet_v2f_strict_reuse_contact_sheet.jpg,M-811,target_availability,strict compact signband-strip reuse lane has no eligible M-811 target crop,reject_packet_before_review,The available M-811 v2e crops are tall bull/object-panel crops rather than comparable compact signband strips.
2026-05-29,v2f_homogeneous_packet_preflight,data/open_prototype/reports/effective_unicity_directionality_homogeneous_packet_v2f_preflight_summary.json,denominator_policy,strict reuse lane has only seven original fixed real-negative CISIs,reject_packet_before_review,The 12-row real-negative denominator cannot be reached without duplicates reserves or newly introduced unplanned controls.
2026-05-29,v2f_homogeneous_packet_preflight,data/open_prototype/reports/effective_unicity_directionality_homogeneous_packet_v2f_preflight_summary.json,source_page_collision,M-1310 target shares source page n202 with M-1315 and M-1314,reject_packet_before_review,Shared source-page style can leak role or source context.
2026-05-29,v2f_homogeneous_packet_preflight,data/open_prototype/reports/effective_unicity_directionality_homogeneous_packet_v2f_preflight_summary.json,source_page_collision,M-1320 target shares source page n203 with M-1322,reject_packet_before_review,Shared source-page style can leak role or source context.
2026-05-29,v2f_homogeneous_packet_preflight,tmp/effective_unicity_directionality_homogeneous_packet_v2f/directionality_homogeneous_packet_v2f_derived_top_strip_contact_sheet.jpg,derived_lane_boundary,derived top-strip lane is acquisition-only and misses M-1320/M-811 before visual review,inventory_only,Derived crops require human visual QC fixed denominators and forger/null packets before any FPR exists.
