"cisi","type","site","row_count","side_indexes","sequence_signature","context_class","long_mark","long_side_indexes","short_mark_class","short_side_indexes","other_side_texts","raw_ids","excavation_ids","horizontal_mm","vertical_mm","thickness_mm","source_status","validation_need","interpretation_status"
"H-308","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1330.1;1330.2","2569","11.4","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-309","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1331.1;1331.2","2056(1)","8.9","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-312","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1334.1;1334.2","2483","14","7.6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-313","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1335.1;1335.2","2648","14","7.6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-314","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1336.1;1336.2","3091","12.7","6.9","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-316","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1338.1;1338.2","2480","14.5","7.1","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-317","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1339.1;1339.2","3025","11.4","5.8","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-353","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1372.1;1372.2","1348","15.2","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-355","TAB:I","Harappa","3","1;2;3","1:+400-740-176+|2:+700-033+|3:+700-033+","three_side_long1_double_short","+400-740-176+","1","033","2;3","","1374.1;1374.2;1374.3","1274","15.5","5.8","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-356","TAB:I","Harappa","2","1;2","1:+700-033+|2:+400-740-176+","two_side_short1_long2","+400-740-176+","2","033","1","","1375.1;1375.2","2478","16","6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-357","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1376.1;1376.2","2917","11.9","8.1","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-934","TAB:I","Harappa","2","1;2","1:+700-033+|2:+400-740-176+","two_side_short1_long2","+400-740-176+","2","033","1","","1814.1;1814.2","11380","12.7","8.9","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-935","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1815.1;1815.2","1280509","10.2","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-936","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","1816.1;1816.2","1242","7.6","11.9","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
