"checked_date","request_priority","anchor_object","requested_object","relationship_to_anchor","lane","local_signature","type","material","shape","sides","excavation_id","depth","dimensions","source_blocker_to_resolve","requested_source_fields","admissibility_decision_rule","accepted_decipherment_claim"
"2026-05-25","P0","H-353","H-353","core_target","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","1348","-13.0 ft","15.2x6.4x0","source C-side hazard inside high-repetition +400-740-176+ / +700-033+ family","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P0","H-771","H-771","core_target","independent_034","1:+032-257-840+|2:+700-034+","TAB:B","Faience","rectangular","2","657678","-16.5 ft","16.5x8.9x0","A/A bis/A ter/A quater same-side photo selection plus B","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after one source-side node is linked to the local companion side and the B short side is separated from photo witnesses.","0"
"2026-05-25","P0","H-893","H-893","core_target","strict_local_034","1:+400-740-337+|2:+700-034+","TAB:I","Steatite","rectangular","2","12581522","-16.9 ft","14x7.6x0","unresolved H-893 (1) A/B object-number group","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after base H-893 and H-893 (1) are classified as same object, copy, sub-entry, or separate artifact.","0"
"2026-05-25","P0","H-925","H-925","core_target","strict_local_033_family_anchor","1:+740-840-013+|2:+700-033+","TAB:I","Steatite","rectangular","2","3286512","-12.5 ft","14x7.6x0","H-925 (1)/(2) A/B plus bis/ter photo witnesses and exact copy-family pressure","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after H-326/H-924/H-925 family notes prove whether the shared 033 side is source-comparable.","0"
"2026-05-25","P0","H-983","H-983","core_target","visual_local_034","1:+400-740-637-240+|2:+700-034+","TAB:I","Steatite","prism","2","2528582","-17.83 ft","15.2x6.4x0","source C-side hazard plus B/C photo witnesses","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P0","H-1123","H-1123","core_target","independent_032","1:+525-550-220+|2:+700-032+","TAB:B","Faience","rectangular","2","9015360","-13.0 ft","19.1x8.4x0","not page-addressable in checked IA CISI vol. 1/2 OCR","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-grade side labels and all-side imagery are obtained.","0"
"2026-05-25","P0","H-2211","H-2211","core_target","visual_local_032","1:+700-032+|2:+700-840-032-741+","TAB:I","Steatite","prism","2","H97-3285Figure 16.02","- -","13.7x6x0","CISI 3.1/archive source route pending","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P1","H-353","H-233","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:B","Faience","crescent","2","12544387","-11.67 ft","26.7x0x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-309","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","rectangular","2","2056(1)","-12.0 ft","8.9x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-316","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","oval","2","2480","-15.25 ft","14.5x7.1x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
