checked_date,row_id,object,site,type,symbol,cult,prev_before_002,left3_before_002,head_after_002,head_classifier_class,branch_after_head,tail_after_head,full_tail_after_002,terminal_after_head,tail_has_125,prev235,p086_head_390_405,p086_extension_390_405_392,closure_head_817_820_861,broad_open_head,text
2026-05-31,13.1,Ad-8,Allahdino,MISC,Elep,SAN,503,740 440 503,861,closure_head,000,000,861 000,false,false,false,false,false,true,false,+740-440-503-002-861-000+
2026-05-31,18.1,-:18.1,Bakkar Buthi,POT:T:g,None,None,840,844 032 840,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+405-844-032-840-002-861+
2026-05-31,19.1,Blk-1,Bala-kot,SEAL:S,Bull1,-,003,226 003,297,open_selector_head,350,350 125 413,297 350 125 413,false,true,false,false,false,false,true,+226-003-002-297-350-125-413+
2026-05-31,20.1,Blk-2,Bala-kot,SEAL:S,Bull1,R,061,390 717 061,368,open_selector_head,634,634,368 634,false,false,false,false,false,false,true,+390-717-061-002-368-634+
2026-05-31,27.1,B-1,Banawali,SEAL:S,Bull1:O,HAF,220,090 740 220,368,open_selector_head,550,550 821,368 550 821,false,false,false,false,false,false,true,+090-740-220-002-368-550-821+
2026-05-31,4310.1,-:4310.1,Dholavira,TAG,-,-,<START>,<START>,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]002-817[
2026-05-31,37.1,B-17,Banawali,SEAL:S,Htgr,HBF,236,236,308,low_count_unclassified,072,072,308 072,false,false,false,false,false,false,false,+236-002-308-072+
2026-05-31,5331.1,K-416,Kalibangan,POT:T:g,-,-,000,000,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,]000-002-861[
2026-05-31,52.1,-:52.1,Bhirrana,SEAL:S,Bull1,RAN,236,236,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+236-002-820+
2026-05-31,2560.1,M-32,Mohenjo-daro,SEAL:S,Bull1:J,SAN,003,390 003,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+390-003-002-817+
