"checked_date","frame_type","frame","variant","row_count","unique_cisi_count","unique_exact_text_count","sites","types","rows"
"2026-05-25","exact_subsequence","097-700-034","034","1","1","1","{""Mohenjo-daro"":1}","{""ROD"":1}","M-2104:2527.1:+151-097-700-034+"
"2026-05-25","exact_subsequence","097-700-004","004","4","4","1","{""Mohenjo-daro"":4}","{""TAB:B"":4}","M-478:2962.1:+400-097-700-004+;M-479:2963.1:+400-097-700-004+;M-480:2964.1:+400-097-700-004+;M-1425:3710.1:+400-097-700-004+"
"2026-05-25","exact_subsequence","151-097-700-034","034","1","1","1","{""Mohenjo-daro"":1}","{""ROD"":1}","M-2104:2527.1:+151-097-700-034+"
"2026-05-25","exact_subsequence","400-097-700-004","004","4","4","1","{""Mohenjo-daro"":4}","{""TAB:B"":4}","M-478:2962.1:+400-097-700-004+;M-479:2963.1:+400-097-700-004+;M-480:2964.1:+400-097-700-004+;M-1425:3710.1:+400-097-700-004+"
"2026-05-25","exact_subsequence","700-034","034","116","113","8","{""Harappa"":115,""Mohenjo-daro"":1}","{""ROD"":2,""SEAL:R"":1,""TAB:B"":38,""TAB:I"":75}","H-1138:198.2:+700-034+;H-1354:222.3:+700-034+;H-1293:263.1:+700-034[;H-1273:265.2:+700-034+;-:274.2:+700-034+;H-1894:382.1:+700-034+;H-1874:388.1:+700-034+;H-1981:393.1:+700-034+;H-1987:394.1:+700-034+;H-2141:397.1:+700-034+;H-1895:406.1:+700-034+;H-1832:415.1:+700-034+;H-2140:418.1:+700-034+;H-1943:422.1:+700-034+;H-1845:424.1:+700-034+;H-1854:427.1:+700-034+;H-2570:434.1:+700-034-001+;H-1843:451.1:]700-034+;H-1825:467.1:+700-034+;H-2094:476.1:+700-034+;H-1850:480.1:+700-034+;H-2246:484.1:+700-034+;H-1867:506.1:+700-034+;H-1869:508.1:+700-034+;H-1868:509.1:+700-034+;H-2095:518.1:+700-034+;H-2069:532.2:+700-034-400-525-550+;-:621.2:+700-034+;H-1817:624.1:+700-034+;H-1860:637.1:+700-034+;H-2105:642.2:+700-034+;H-1824:646.1:+700-034+;H-1823:649.1:+700-034+;H-2204:659.1:+700-034+;H-2096:665.1:+700-034+;H-1846:686.1:+700-034+;H-1982:690.1:+700-034+;H-2074:738.1:+700-034-690-365[;-:740.2:+700-034+;H-1907:743.2:+700-034+;H-2143:752.1:+700-034+;H-2239:769.2:+700-034+;H-1831:772.1:+700-034+;H-1830:773.1:+700-034+;H-1844:780.1:+700-034+;H-1871:784.1:+700-034+;H-2237:794.1:+700-034+;H-2155:812.1:+700-034+;H-2134:814.2:+700-034+;H-2130:823.1:+700-034+;H-2145:827.1:+700-034+;H-2229:832.2:+700-034+;H-2221:844.1:+700-034+;H-2222:845.2:+700-034+;H-2223:846.2:+700-034+;H-2236:847.2:+700-034+;H-2230:850.1:+700-034+;H-2220:851.2:+700-034+;H-2226:852.1:+700-034+;H-2227:853.1:+700-034+;H-2225:854.2:+700-034+;H-2228:855.1:+700-034+;H-2219:856.2:+700-034+;H-2224:857.2:+700-034+;H-2218:858.2:+700-034+;H-2231:859.2:+700-034+;H-2232:860.2:+700-034+;H-2234:861.2:+700-034+;H-2070:862.1:+700-034+;H-2133:866.1:+700-034+;H-2235:870.1:+700-034+;H-2206:871.1:+700-034+;H-2233:878.1:+700-034+;H-1829:890.2:+700-034+;H-1828:895.2:+700-034+;H-1870:901.1:+700-034+;H-2102:1018.1:+700-034+;-:1052.2:+700-034+;H-215:1246.1:+700-034+;H-285:1307.2:+700-034+;H-297:1319.2:+700-034+;H-307:1329.2:+700-034+;H-308:1330.2:+700-034+;H-312:1334.2:+700-034+;H-313:1335.2:+700-034+;H-314:1336.2:+700-034+;H-317:1339.2:+700-034+;H-319:1341.2:+700-034+;H-320:1342.2:+700-034+;H-324:1346.2:+700-034+;H-350:1369.2:+700-034+;H-351:1370.2:+700-034+;H-363:1382.2:+700-034+;H-771:1663.2:+700-034+;H-780:1671.2:+700-034+;H-785:1676.1:+700-034+;H-788:1679.2:+700-034+;H-819:1708.2:+700-034+;H-823:1712.1:+700-034+;H-893:1775.2:+700-034+;H-903:1785.2:+700-034-690-368-817+;H-910:1792.2:+700-034+;H-936:1816.2:+700-034+;H-939:1819.1:+700-034+;H-946:1826.1:+700-034+;H-947:1827.2:+700-034+;H-952:1832.2:+700-034+;H-953:1833.1:+700-034+;H-960:1837.1:+700-034+;H-982:1858.2:+700-034+;H-983:1859.2:+700-034+;H-985:1861.1:+700-034+;M-2104:2527.1:+151-097-700-034+;H-2137:3932.1:+700-034+;H-1120:3968.2:+700-034+;H-1284:4069.2:+700-034+"
"2026-05-25","exact_subsequence","700-004","004","9","9","3","{""Harappa"":5,""Mohenjo-daro"":4}","{""TAB:B"":6,""TAB:I"":3}","H-1916:510.1:+700-004+;H-1917:627.1:+700-004+;H-302:1324.1:+220-700-004+;H-912:1793.2:+220-700-004+;M-478:2962.1:+400-097-700-004+;M-479:2963.1:+400-097-700-004+;M-480:2964.1:+400-097-700-004+;M-1425:3710.1:+400-097-700-004+;H-1191:4056.2:+220-700-004+"
"2026-05-25","exact_subsequence","034-700","034","14","14","1","{""Harappa"":14}","{""TAB:B"":5,""TAB:I"":9}","H-1877:396.1:+034-700+;H-1876:468.1:+034-700+;H-2097:488.1:+034-700+;H-2208:549.1:+034-700+;H-2098:762.1:+034-700+;H-2154:815.1:+034-700+;H-1880:831.1:+034-700+;H-1937:938.1:+034-700+;H-358:1377.2:+034-700+;H-853:1739.2:+034-700+;H-892:1774.2:+034-700+;H-933:1813.1:+034-700+;H-938:1818.2:+034-700+;H-945:1825.2:+034-700+"
"2026-05-25","exact_subsequence","004-700","004","0","0","0","{}","{}",""
"2026-05-25","immediate_wildcard_700_X","BOS|700-X|EOS","700-004;700-034","113","110","4","{""Harappa"":113}","{""SEAL:R"":1,""TAB:B"":40,""TAB:I"":72}","H-1138:198.2:+700-034+;H-1354:222.3:+700-034+;H-1293:263.1:+700-034[;H-1273:265.2:+700-034+;-:274.2:+700-034+;H-1894:382.1:+700-034+;H-1874:388.1:+700-034+;H-1981:393.1:+700-034+;H-1987:394.1:+700-034+;H-2141:397.1:+700-034+;H-1895:406.1:+700-034+;H-1832:415.1:+700-034+;H-2140:418.1:+700-034+;H-1943:422.1:+700-034+;H-1845:424.1:+700-034+;H-1854:427.1:+700-034+;H-1843:451.1:]700-034+;H-1825:467.1:+700-034+;H-2094:476.1:+700-034+;H-1850:480.1:+700-034+;H-2246:484.1:+700-034+;H-1867:506.1:+700-034+;H-1869:508.1:+700-034+;H-1868:509.1:+700-034+;H-1916:510.1:+700-004+;H-2095:518.1:+700-034+;-:621.2:+700-034+;H-1817:624.1:+700-034+;H-1917:627.1:+700-004+;H-1860:637.1:+700-034+;H-2105:642.2:+700-034+;H-1824:646.1:+700-034+;H-1823:649.1:+700-034+;H-2204:659.1:+700-034+;H-2096:665.1:+700-034+;H-1846:686.1:+700-034+;H-1982:690.1:+700-034+;-:740.2:+700-034+;H-1907:743.2:+700-034+;H-2143:752.1:+700-034+;H-2239:769.2:+700-034+;H-1831:772.1:+700-034+;H-1830:773.1:+700-034+;H-1844:780.1:+700-034+;H-1871:784.1:+700-034+;H-2237:794.1:+700-034+;H-2155:812.1:+700-034+;H-2134:814.2:+700-034+;H-2130:823.1:+700-034+;H-2145:827.1:+700-034+;H-2229:832.2:+700-034+;H-2221:844.1:+700-034+;H-2222:845.2:+700-034+;H-2223:846.2:+700-034+;H-2236:847.2:+700-034+;H-2230:850.1:+700-034+;H-2220:851.2:+700-034+;H-2226:852.1:+700-034+;H-2227:853.1:+700-034+;H-2225:854.2:+700-034+;H-2228:855.1:+700-034+;H-2219:856.2:+700-034+;H-2224:857.2:+700-034+;H-2218:858.2:+700-034+;H-2231:859.2:+700-034+;H-2232:860.2:+700-034+;H-2234:861.2:+700-034+;H-2070:862.1:+700-034+;H-2133:866.1:+700-034+;H-2235:870.1:+700-034+;H-2206:871.1:+700-034+;H-2233:878.1:+700-034+;H-1829:890.2:+700-034+;H-1828:895.2:+700-034+;H-1870:901.1:+700-034+;H-2102:1018.1:+700-034+;-:1052.2:+700-034+;H-215:1246.1:+700-034+;H-285:1307.2:+700-034+;H-297:1319.2:+700-034+;H-307:1329.2:+700-034+;H-308:1330.2:+700-034+;H-312:1334.2:+700-034+;H-313:1335.2:+700-034+;H-314:1336.2:+700-034+;H-317:1339.2:+700-034+;H-319:1341.2:+700-034+;H-320:1342.2:+700-034+;H-324:1346.2:+700-034+;H-350:1369.2:+700-034+;H-351:1370.2:+700-034+;H-363:1382.2:+700-034+;H-771:1663.2:+700-034+;H-780:1671.2:+700-034+;H-785:1676.1:+700-034+;H-788:1679.2:+700-034+;H-819:1708.2:+700-034+;H-823:1712.1:+700-034+;H-893:1775.2:+700-034+;H-910:1792.2:+700-034+;H-936:1816.2:+700-034+;H-939:1819.1:+700-034+;H-946:1826.1:+700-034+;H-947:1827.2:+700-034+;H-952:1832.2:+700-034+;H-953:1833.1:+700-034+;H-960:1837.1:+700-034+;H-982:1858.2:+700-034+;H-983:1859.2:+700-034+;H-985:1861.1:+700-034+;H-2137:3932.1:+700-034+;H-1120:3968.2:+700-034+;H-1284:4069.2:+700-034+"
"2026-05-25","immediate_wildcard_700_X","BOS|700-X|001","700-034","1","1","1","{""Harappa"":1}","{""ROD"":1}","H-2570:434.1:+700-034-001+"
