checked_date,motif,cisi,row_id,site,type,shape,prev_before_motif,next_after_motif,after_002,terminal_after_motif,left_prefix,right_suffix,local_context,exact_sequence,text
2026-05-31,390,M-1592,3812.1,Mohenjo-daro,POT:T:g,-,740,590,false,false,740,590,740-390-590,740 390 590,+740-390-590[
2026-05-31,390,Ad-2,7.1,Allahdino,SEAL:S,square,368,125,false,false,368,125-033,368-390-125-033,368 390 125 033,+368-390-125-033+
2026-05-31,390,Alt-90,16.1,Altyn Depe,SEAL:S,square,<START>,415,false,false,<START>,415,390-415,390 415,+390-415+
2026-05-31,390,H-335,1356.1,Harappa,TAB:I,hare,<START>,034,false,false,<START>,034,390-034,390 034,+390-034+
2026-05-31,390,Blk-2,20.1,Bala-kot,SEAL:S,square,<START>,717,false,false,<START>,717-061-002-368-634,390-717-061-002-368,390 717 061 002 368 634,+390-717-061-002-368-634+
2026-05-31,390,M-1742,2177.1,Mohenjo-daro,SEAL:S,square,<START>,004,false,false,<START>,004,390-004,390 004,+390-004+
2026-05-31,390,-:50.1,50.1,Bhirrana,SEAL:S,square,<START>,003,false,false,<START>,003-003,390-003-003,390 003 003,+390-003-003+
2026-05-31,390,M-32,2560.1,Mohenjo-daro,SEAL:S,square,<START>,003,false,false,<START>,003-002-817,390-003-002-817,390 003 002 817,+390-003-002-817+
2026-05-31,390,C-69,66.1,Chanhu-daro,SEAL:S,square,<START>,844,false,false,<START>,844-060-575-717,390-844-060-575-717,390 844 060 575 717,+390-844-060-575-717+
2026-05-31,390,C-12,100.1,Chanhu-daro,SEAL:S,square,161,590,false,false,161,590-031-740-060-920,161-390-590-031-740-060,161 390 590 031 740 060 920,+161-390-590-031-740-060-920+
2026-05-31,390,C-22,109.1,Chanhu-daro,SEAL:S,square,440,032,false,false,440,032-368-390-790,440-390-032-368-390-790,440 390 032 368 390 790,+440-390-032/368-390-790+
2026-05-31,390,C-22,109.1,Chanhu-daro,SEAL:S,square,368,790,false,false,440-390-032-368,790,440-390-032-368-390-790,440 390 032 368 390 790,+440-390-032/368-390-790+
2026-05-31,390,C-24,111.1,Chanhu-daro,SEAL:S,square,<START>,128,false,false,<START>,128-702-032-226-032-013-480-850,390-128-702-032-226,390 128 702 032 226 032 013 480 850,+390-128-702-032/226-032-013-480-850+
2026-05-31,390,C-32,114.1,Chanhu-daro,SEAL:C,circular,400,632,false,false,375-400,632,375-400-390-632,375 400 390 632,+375-400-390-632+
2026-05-31,390,C-34,116.1,Chanhu-daro,TAB:B,rectangular,031,844,false,false,032-031,844-000-000-032-803-220,032-031-390-844-000-000-032,032 031 390 844 000 000 032 803 220,+032-031-390-844-000-000-032-803-220+
2026-05-31,390,C-40,121.1,Chanhu-daro,IMPL,-,<START>,095,false,false,<START>,095-909-005-825-776-220-016,390-095-909-005-825,390 095 909 005 825 776 220 016,+390-095-909-005-825-776-220-016+
2026-05-31,390,-:4260.1,4260.1,Dholavira,SEAL:R,rectangular,<START>,016,false,false,<START>,016-002-861,390-016-002-861,390 016 002 861,+390-016-002-861+
2026-05-31,390,-:153.2,153.2,Farmana,SEAL:S,square,<START>,371,false,false,<START>,371,390-371,390 371,+390-371+
2026-05-31,390,Rjd-1,1499.1,Rodji,POT:T:g,-,<START>,390,false,false,<START>,390,390-390,390 390,]390-390+
2026-05-31,390,Rjd-1,1499.1,Rodji,POT:T:g,-,390,<END>,false,true,390,<END>,390-390,390 390,]390-390+
2026-05-31,390,H-1355,232.1,Harappa,TAB:I,cuboid,<START>,035,false,false,<START>,035,390-035,390 035,+390-035+
2026-05-31,390,-:5570.1,5570.1,Karanpura,MISC,-,<START>,<END>,false,true,<START>,<END>,390,390,+390+
2026-05-31,390,H-1893,374.2,Harappa,TAB:B,rectangular,<START>,003,false,false,<START>,003-060-550,390-003-060-550,390 003 060 550,+390-003-060-550+
2026-05-31,390,H-1800,376.2,Harappa,TAB:B,rectangular,740,000,false,false,400-740,000,400-740-390-000,400 740 390 000,+400-740-390-000[
2026-05-31,390,H-1776,378.1,Harappa,TAB:B,rectangular,740,590,false,false,740,590-060-550,740-390-590-060-550,740 390 590 060 550,+740-390-590-060-550+
2026-05-31,390,H-1987,394.2,Harappa,TAB:B,rectangular,<START>,004,false,false,<START>,004-455-371-741-590,390-004-455-371-741,390 004 455 371 741 590,+390-004-455-371-741-590+
2026-05-31,390,M-984,2453.1,Mohenjo-daro,SEAL:S,square,<START>,004,false,false,<START>,004-002-817,390-004-002-817,390 004 002 817,+390-004-002-817+
2026-05-31,390,-:4278.1,4278.1,Dholavira,TAB:I,rectangular,<START>,003,false,false,<START>,003,390-003,390 003,+390-003[
2026-05-31,390,H-2186,519.2,Harappa,TAB:I,rectangular-round,<START>,004,false,false,<START>,004-155-390,390-004-155-390,390 004 155 390,+390-004-155-390+
2026-05-31,390,H-2186,519.2,Harappa,TAB:I,rectangular-round,155,<END>,false,true,390-004-155,<END>,390-004-155-390,390 004 155 390,+390-004-155-390+
2026-05-31,390,H-1692,537.1,Harappa,SEAL:S,square,740,590,false,false,740,590-002-861,740-390-590-002-861,740 390 590 002 861,+740-390-590-002-861+
2026-05-31,390,H-2197,578.2,Harappa,TAB:I,circular,100,231,false,false,400-090-740-100,231,400-090-740-100-390-231,400 090 740 100 390 231,+400-090-740-100-390-231+
2026-05-31,390,H-2265,605.1,Harappa,POT:T:g,-,999,033,false,false,300-490-999,033-000,300-490-999-390-033-000,300 490 999 390 033 000,]300-490-999-390-033-000[
2026-05-31,390,M-1022,3407.1,Mohenjo-daro,SEAL,-,<START>,000,false,false,<START>,000,390-000,390 000,+390-000[
2026-05-31,390,H-1801,629.1,Harappa,TAB:B,rectangular,740,590,false,false,740,590-741,740-390-590-741,740 390 590 741,+740-390-590-741[
2026-05-31,390,M-1806,3990.1,Mohenjo-daro,SEAL:S,square,<START>,003,false,false,<START>,003-002-820,390-003-002-820,390 003 002 820,+390-003-002-820+
2026-05-31,390,H-1982,690.2,Harappa,TAB:B,cylindrical,<START>,000,false,false,<START>,000-742-000,390-000-742-000,390 000 742 000,+390-000-742-000+
2026-05-31,390,H-1993,744.2,Harappa,TAB:B,rectangular,002,095,true,false,740-000-220-004-002,095,000-220-004-002-390-095,740 000 220 004 002 390 095,+740-000-220-004-002-390-095+
2026-05-31,390,H-2083,906.2,Harappa,TAB:I,rectangular-round,740,000,false,false,740,000,740-390-000,740 390 000,+740-390-000+
2026-05-31,390,H-734,1633.1,Harappa,TAB:B,cylindrical,740,590,false,false,740,590-240,740-390-590-240,740 390 590 240,+740-390-590-240+
2026-05-31,390,H-19,1079.1,Harappa,SEAL:S,square,000,000,false,false,000,000-003-000-530-820,000-390-000-003-000-530,000 390 000 003 000 530 820,]000-390-000-003/000-530-820+
2026-05-31,390,H-39,1098.1,Harappa,SEAL:S,square,740,590,false,false,740,590-231-240-235-745-060-920,740-390-590-231-240-235,740 390 590 231 240 235 745 060 920,+740-390-590-231-240-235-745-060-920+
2026-05-31,390,H-52,1111.1,Harappa,SEAL:S,square,740,590,false,false,740,590-125-741-000-000,740-390-590-125-741-000,740 390 590 125 741 000 000,+740-390-590-125-741-000-000+
2026-05-31,390,H-54,1113.1,Harappa,SEAL:S,square,<START>,003,false,false,<START>,003-368-817,390-003-368-817,390 003 368 817,+390-003-368-817+
2026-05-31,390,H-55,1114.1,Harappa,SEAL:S,square,<START>,004,false,false,<START>,004-002-861-125,390-004-002-861-125,390 004 002 861 125,+390-004-002-861-125+
2026-05-31,390,H-68,1127.1,Harappa,SEAL:S,square,002,072,true,false,090-740-220-003-002,072,740-220-003-002-390-072,090 740 220 003 002 390 072,+090-740-220-003-002-390-072+
2026-05-31,390,H-70,1129.1,Harappa,SEAL:S,square,<START>,003,false,false,<START>,003-491,390-003-491,390 003 491,+390-003-491+
2026-05-31,390,M-1365,3664.1,Mohenjo-daro,SEAL:R,rectangular,<START>,016,false,false,<START>,016,390-016,390 016,+390-016+
2026-05-31,390,H-816,1705.1,Harappa,TAB:B,hexagonal,740,590,false,false,400-740,590,400-740-390-590,400 740 390 590,+400-740-390-590+
2026-05-31,390,H-82,1139.1,Harappa,SEAL:S,square,<START>,017,false,false,<START>,017-002-220-455-741,390-017-002-220-455,390 017 002 220 455 741,+390-017-002-220-455-741+
2026-05-31,390,H-180,1214.2,Harappa,TAB:B,rectangular,151,590,false,false,151,590-741-330-368,151-390-590-741-330-368,151 390 590 741 330 368,+151-390-590-741-330-368+
2026-05-31,390,H-239,1264.1,Harappa,TAB:B,triangular,<START>,060,false,false,<START>,060-740-500-091,390-060-740-500-091,390 060 740 500 091,+390-060/740-500-091+
2026-05-31,390,H-369,1388.1,Harappa,SEAL:CY,cylindrical,741,741,false,false,368-033-705-031-741,741,033-705-031-741-390-741,368 033 705 031 741 390 741,+368-033-705-031-741-390-741+
2026-05-31,390,H-449,1439.1,Harappa,SEAL:S,square,740,590,false,false,740,590-240-741-390-728,740-390-590-240-741-390,740 390 590 240 741 390 728,+740-390-590-240-741-390-728+
2026-05-31,390,H-449,1439.1,Harappa,SEAL:S,square,741,728,false,false,740-390-590-240-741,728,390-590-240-741-390-728,740 390 590 240 741 390 728,+740-390-590-240-741-390-728+
2026-05-31,390,H-454,1444.1,Harappa,SEAL:S,square,740,590,false,false,740,590-742-700,740-390-590-742-700,740 390 590 742 700,+740-390-590-742-700+
2026-05-31,390,H-466,1454.1,Harappa,SEAL:S,square,740,590,false,false,740,590-233-231-741-000,740-390-590-233-231-741,740 390 590 233 231 741 000,+740-390-590-233-231-741-000+
2026-05-31,390,H-467,1455.1,Harappa,SEAL:S,square,741,125,false,false,741,125,741-390-125,741 390 125,]741-390-125+
2026-05-31,390,H-510,1487.1,Harappa,SEAL:S,square,740,590,false,false,740,590-060-795,740-390-590-060-795,740 390 590 060 795,+740-390-590-060-795+
2026-05-31,390,H-511,1488.1,Harappa,SEAL:S,square,<START>,871,false,false,<START>,871,390-871,390 871,+390-871+
2026-05-31,390,H-597,1540.2,Harappa,SEAL:S,square,740,590,false,false,740,590-070-032-002-861,740-390-590-070-032-002,740 390 590 070 032 002 861,+740-390-590-070-032-002-861+
2026-05-31,390,H-695,1600.1,Harappa,TAB:B,square,740,590,false,false,740,590-235-368-806,740-390-590-235-368-806,740 390 590 235 368 806,+740-390-590-235-368-806+
2026-05-31,390,H-773,1665.1,Harappa,TAB:B,plano-convex,002,530,true,false,740-798-803-002,530-741,740-798-803-002-390-530-741,740 798 803 002 390 530 741,+740-798-803-002-390-530-741+
2026-05-31,390,H-777,1668.2,Harappa,TAB:B,rectangular,<START>,004,false,false,<START>,004-104,390-004-104,390 004 104,+390-004-104+
2026-05-31,390,H-778,1669.2,Harappa,TAB:B,rectangular,<START>,004,false,false,<START>,004-817,390-004-817,390 004 817,+390-004-817+
2026-05-31,390,H-829,1717.2,Harappa,TAB:B,semi-circular,032,<END>,false,true,700-032,<END>,700-032-390,700 032 390,+700-032-390+
2026-05-31,390,H-1107,3967.1,Harappa,TAB:B,cylindrical,740,590,false,false,740,590-235,740-390-590-235,740 390 590 235,+740-390-590-235+
2026-05-31,390,H-895,1777.1,Harappa,TAB:I,rectangular,700,<END>,false,true,700,<END>,700-390,700 390,]700-390+
2026-05-31,390,K-39,1907.1,Kalibangan,SEAL:S,square,590,<END>,false,true,590,<END>,590-390,590 390,+590-390+
2026-05-31,390,K-60,1921.1,Kalibangan,SEAL:R,rectangular,<START>,143,false,false,<START>,143-033,390-143-033,390 143 033,+390-143-033+
2026-05-31,390,K-78,1935.1,Kalibangan,TAB:B,rectangular-round,817,002,false,false,740-817,002-820,740-817-390-002-820,740 817 390 002 820,+740-817-390-002-820+
2026-05-31,390,M-712,3137.1,Mohenjo-daro,SEAL:S,square,<START>,003,false,false,<START>,003-002-861,390-003-002-861,390 003 002 861,+390-003-002-861+
2026-05-31,390,K-89,1944.3,Kalibangan,TAG:L,-,595,000,false,false,001-350-002-595,000,001-350-002-595-390-000,001 350 002 595 390 000,+001-350-002-595-390-000+
2026-05-31,390,K-120,1964.1,Kalibangan,POT:T:p,-,<START>,832,false,false,<START>,832-003,390-832-003,390 832 003,+390-832-003+
2026-05-31,390,-:1971.1,1971.1,Kish,SEAL:S,square,740,590,false,false,740,590-220-003-060-840-416,740-390-590-220-003-060,740 390 590 220 003 060 840 416,+740-390-590-220-003-060-840-416+
2026-05-31,390,L-2,1985.1,Lothal,SEAL:S,square,060,000,false,false,353-001-527-550-233-060,000,527-550-233-060-390-000,353 001 527 550 233 060 390 000,+353-001-527-550-233-060-390-000+
2026-05-31,390,L-20,1998.1,Lothal,SEAL:S,square,<START>,004,false,false,<START>,004-491,390-004-491,390 004 491,+390-004-491+
2026-05-31,390,L-27,2004.1,Lothal,SEAL:S,square,<START>,016,false,false,<START>,016-140-000,390-016-140-000,390 016 140 000,+390-016-140-000[
2026-05-31,390,L-29,2006.1,Lothal,SEAL:S,square,<START>,003,false,false,<START>,003-480-368-861,390-003-480-368-861,390 003 480 368 861,+390-003-480-368-861+
2026-05-31,390,L-37,2010.1,Lothal,SEAL:S,square,892,406,false,false,104-892,406,104-892-390-406,104 892 390 406,+104-892-390-406+
2026-05-31,390,L-43,2015.1,Lothal,SEAL:S,square,590,<END>,false,true,151-590,<END>,151-590-390,151 590 390,+151-590-390+
2026-05-31,390,L-48,2019.1,Lothal,SEAL:S,square,741,<END>,false,true,865-685-226-032-741,<END>,685-226-032-741-390,865 685 226 032 741 390,+865-685/226-032-741-390+
2026-05-31,390,L-101,2053.1,Lothal,MISC,cuboid,<START>,700,false,false,<START>,700-790-032-063,390-700-790-032-063,390 700 790 032 063,+390-700-790-032-063+
2026-05-31,390,L-139,2081.1,Lothal,TAG,-,<START>,590,false,false,<START>,590-032-002-880,390-590-032-002-880,390 590 032 002 880,]390-590-032-002-880[
2026-05-31,390,L-145,2087.1,Lothal,TAG,-,<START>,415,false,false,<START>,415-002-550,390-415-002-550,390 415 002 550,+390-415-002-550+
2026-05-31,390,L-196,2116.1,Lothal,TAG,-,<START>,590,false,false,<START>,590-032-002-000,390-590-032-002-000,390 590 032 002 000,]390-590-032-002-000[
2026-05-31,390,L-198,2118.2,Lothal,TAG,-,740,590,false,false,740,590-032-002-000,740-390-590-032-002-000,740 390 590 032 002 000,+740-390-590-032-002-000[
2026-05-31,390,L-202,2122.1,Lothal,TAG,-,000,590,false,false,000,590-220,000-390-590-220,000 390 590 220,]000-390-590-220[
2026-05-31,390,L-273,2151.1,Lothal,POT:T:g,-,000,000,false,false,000-000-000,000,000-000-000-390-000,000 000 000 390 000,]000-000-000-390-000[
2026-05-31,390,M-2064,2157.1,Mohenjo-daro,POT:T:g,-,<START>,001,false,false,<START>,001-000-142-031,390-001-000-142-031,390 001 000 142 031,+390-001-000-142-031+
2026-05-31,390,M-165,2212.1,Mohenjo-daro,SEAL:S,square,741,032,false,false,817-740-194-740-760-001-741,032,740-760-001-741-390-032,817 740 194 740 760 001 741 390 032,+817-740-194/740-760-001-741-390-032+
2026-05-31,390,M-1675,2220.1,Mohenjo-daro,SEAL:S,square,621,844,false,false,621,844-002-820,621-390-844-002-820,621 390 844 002 820,+621-390-844-002-820+
2026-05-31,390,M-1692,2226.1,Mohenjo-daro,SEAL:S,square,<START>,600,false,false,<START>,600-617-002-190-125-632-032,390-600-617-002-190,390 600 617 002 190 125 632 032,+390-600-617-002-190-125-632-032+
2026-05-31,390,M-1795,2241.1,Mohenjo-daro,SEAL:S,square,<START>,844,false,false,<START>,844,390-844,390 844,+390-844+
2026-05-31,390,M-1807,2244.1,Mohenjo-daro,SEAL:S,square,400,844,false,false,400,844,400-390-844,400 390 844,+400-390-844+
2026-05-31,390,M-1712,2286.1,Mohenjo-daro,SEAL:S,square,741,458,false,false,240-741,458,240-741-390-458,240 741 390 458,+240-741-390-458+
2026-05-31,390,M-1889,2291.1,Mohenjo-daro,SEAL:S,square,<START>,844,false,false,<START>,844-741-031-371,390-844-741-031-371,390 844 741 031 371,+390-844-741-031-371+
2026-05-31,390,M-1821,2316.1,Mohenjo-daro,SEAL:S,square,741,900,false,false,740-838-741,900-140,740-838-741-390-900-140,740 838 741 390 900 140,+740-838-741-390-900-140+
2026-05-31,390,M-1955,2338.1,Mohenjo-daro,SEAL:R,rectangular,<START>,920,false,false,<START>,920-322-803-002-820,390-920-322-803-002,390 920 322 803 002 820,+390-920-322-803-002-820+
2026-05-31,390,M-1902,2344.1,Mohenjo-daro,SEAL:S,square,151,590,false,false,151,590-741-060-920,151-390-590-741-060-920,151 390 590 741 060 920,+151-390-590-741-060-920+
2026-05-31,390,M-1770,2354.1,Mohenjo-daro,SEAL:S,square,176,090,false,false,740-176,090-390,740-176-390-090-390,740 176 390 090 390,+740-176-390-090-390+
2026-05-31,390,M-1770,2354.1,Mohenjo-daro,SEAL:S,square,090,<END>,false,true,740-176-390-090,<END>,740-176-390-090-390,740 176 390 090 390,+740-176-390-090-390+
2026-05-31,390,M-1838,2355.1,Mohenjo-daro,SEAL:S,square,<START>,920,false,false,<START>,920-323,390-920-323,390 920 323,+390-920-323+
2026-05-31,390,M-1918,2384.1,Mohenjo-daro,SEAL:S,square,<START>,090,false,false,<START>,090-000,390-090-000,390 090 000,+390-090-000[
2026-05-31,390,M-803,3217.1,Mohenjo-daro,SEAL:S,square,<START>,005,false,false,<START>,005-002-817,390-005-002-817,390 005 002 817,+390-005-002-817+
2026-05-31,390,M-1911,2409.1,Mohenjo-daro,SEAL:S,square,621,531,false,false,621,531-002-820,621-390-531-002-820,621 390 531 002 820,+621-390-531-002-820+
2026-05-31,390,M-433,2927.1,Mohenjo-daro,TAB:B,circular,740,590,false,false,740,590-033-705-000,740-390-590-033-705-000,740 390 590 033 705 000,+740-390-590-033-705-000+
2026-05-31,390,M-1731,2429.1,Mohenjo-daro,SEAL:S,square,<START>,004,false,false,<START>,004-741-617,390-004-741-617,390 004 741 617,+390-004-741-617+
2026-05-31,390,M-1739,2448.1,Mohenjo-daro,SEAL:S,square,740,590,false,false,740,590-032-060-201,740-390-590-032-060-201,740 390 590 032 060 201,+740-390-590-032-060-201+
2026-05-31,390,M-1750,2450.1,Mohenjo-daro,SEAL:S,square,<START>,004,false,false,<START>,004-002-861,390-004-002-861,390 004 002 861,+390-004-002-861+
2026-05-31,390,M-1831,2454.1,Mohenjo-daro,SEAL:S,square,<START>,004,false,false,<START>,004-260,390-004-260,390 004 260,+390-004-260+
