id,cisi,site,type,symbol,shape,cross_section,material,condition,direction,class,area_section,block_house,room_grid,excavation_idno,period,phase,depth,horizontal_mm,vertical_mm,thickness_mm,text,text_length,prefix,prefix_len,prefix_last1,prefix_last2,prefix_last3,tail,tail_len,tail_bucket,register_key,broad_register_key,no_icon_sealr,mohenjo_seals_square,terminal_after_tail,template_key,source_kind,source_status,source_quality,source_route,source_note,source_limit,source_leaf,printed_page,route_status,display_image,same_last2_bare_count,same_last1_bare_count,same_register_bare_count,same_broad_register_bare_count,line_width_px,pre_tail_width_px,tail_width_px,tail_start_share_of_line,tail_width_share_of_line,layout_status,layout_observation,packet_reason,source_object_weight,linguistic_weight
3580.1,M-1273,Mohenjo-daro,SEAL:R,None,rectangular,-,Steatite,Good,R/L,IT,DKG. (S),Long Lane10/12,--,DK7061679,Early,I,-23.7 ft,33.5,14,12.7,+740-055-002-861-603+,5,740 055,2,055,740 055,740 055,603,1,simple_603,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None,True,False,True,+740-055-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_candidate_present_strongest_603,high,CISI Pakistan IA leaf n195 / printed p.161 / Mohenjo-daro 1269-1274 seals,Short five-sign row with crisp separated graphic units; the terminal-side candidate is on the same line and not visibly fused to the preceding cluster.,"Still catalog-mediated for exact token labels, but this is the strongest public source witness for the 603 tail set.",pakistan_n195,161,public_source_visible,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M1273_603_source_token_attachment_overlay.png,0,0,3,3,1190,250,220,0.815,0.185,quantified_same_line_overlay,tail window lies in the terminal-side part of the same source-visible line,focus_tail_source_visible_or_target,,
2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,square,-,Steatite,Good,R/L,LP,HRB,5XXIX,37-,HR 4098324,-,-,-6.0 ft,30.5,30.5,0,+520-240-220-032-002-861-603+,7,520 240 220 032,4,032,220 032,240 220 032,603,1,simple_603,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur,False,True,True,+520-240-220-032-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_candidate_present,medium,CISI India IA leaf n95 / printed p.60 / Mohenjo-daro 240-242 seals,The prior order window shows one seven-sign band; the terminal-side candidate is visually separated from the preceding window on the same row.,"The crop supports attachment/continuity, not exact sign identity or direction policy.",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M240_603_source_token_attachment_overlay.png,5,8,2,2,420,275,120,0.714,0.286,quantified_same_line_overlay,,focus_tail_source_visible_or_target,,
2851.1,M-355,Mohenjo-daro,SEAL:R,None,cuboid-convex,plano-convex,Steatite,Good,R/L,LP,DKG. (S),1IV,61-,DK9134654,Early,I,-20.7 ft,55.1,15,10.2,+740-877-032-033-705-231-235-002-861-360-520-919-140+,13,740 877 032 033 705 231 235,7,235,231 235,705 231 235,360 520 919 140,4,long_360_520_919_140,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None,True,False,True,+740-877-032-033-705-231-235-002-861-TAIL+,register_control_crop,source_visible_this_campaign,control_crop,CISI India IA leaf n123 / printed p.88 / Mohenjo-daro 353-355 seals no iconography I,cuboid_convex_other_tail_control,"register-control crop, not same-line attachment verdict",india_n123,88,public_source_visible,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_533717_register_controls\M355_obv_A_register_control.png,0,7,0,3,,,,,,same_line_long_tail_control,Source-visible no-icon cuboid-convex row has a continuous terminal-side long tail after 002-861; no unique 533-717-only layout feature is visible from the current crop.,focus_tail_source_visible_or_target,,
2872.1,M-376,Mohenjo-daro,SEAL:R,None,cuboid-convex,plano-convex,Steatite,Fair,R/L,IT,HRA,--,-38 X/05,HR 1574426,-,-,-2.5 ft,39.4,11.4,0,+740-100-176-002-861-533-717+,7,740 100 176,3,176,100 176,740 100 176,533 717,2,fixed_533_717,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None,True,False,True,+740-100-176-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_candidate_present,medium,CISI India IA leaf n129 / printed p.94 / Mohenjo-daro 376-381 seals,"A/a witnesses show one continuous row; the terminal-side candidate cluster is visually separated from the preceding cluster, with no obvious fusion or side split.",Exact 861/533/717 boundaries remain catalog-mediated; this is not a source-normalized sign identification.,india_n129,94,public_source_visible,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M376_533_717_source_token_attachment_overlay.png,0,4,0,3,730,210,265,0.637,0.363,quantified_same_line_overlay,tail window lies in the terminal-side part of the same source-visible line,focus_tail_source_visible_or_target,,
2887.1,M-391,Mohenjo-daro,SEAL:R,None,cuboid-convex,plano-convex,-,Good,R/L,LP,DK-,--,--,DK-i 60,-,-,- -,42,10,0,+405-845-686-740-793-003-233-805-002-861-533-717+,12,405 845 686 740 793 003 233 805,8,805,233 805,003 233 805,533 717,2,fixed_533_717,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None,True,False,True,+405-845-686-740-793-003-233-805-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_candidate_present_long_row,medium_low,CISI India IA leaf n131 / printed p.96 / Mohenjo-daro 391-396 seals,The source row is long but continuous; terminal-side material remains on the same line and is graphically discrete from the preceding cluster.,Long-row crowding and scan blur block a stronger token-boundary claim.,india_n131,96,public_source_visible,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M391_533_717_source_token_attachment_overlay.png,0,0,0,3,800,210,265,0.669,0.331,quantified_same_line_overlay,tail window lies in the terminal-side part of the same source-visible line,focus_tail_source_visible_or_target,,
3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,square,-,Steatite,Fair,R/L,LP,DKG. (S),Long Lane betw. 10/12-,--,DK6357446,Intermediate,II,-13.3 ft,31.8,29.2,7.6,+740-585-017-033-705-233-798-803-002-861-603+,11,740 585 017 033 705 233 798 803,8,803,798 803,233 798 803,603,1,simple_603,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W,False,True,True,+740-585-017-033-705-233-798-803-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_candidate_present_crowded,medium_low,CISI Pakistan IA leaf n79 / printed p.45 / Mohenjo-daro 712-714 seals,"The top signband is continuous and the terminal-side candidate remains on the same line, but the row is crowded and partly low-contrast.",Good enough to keep the 603 row in the source-visible set; not good enough to accept exact 861/603 boundaries.,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M714_603_source_token_attachment_overlay.png,0,2,17,17,1270,250,225,0.843,0.177,quantified_same_line_overlay,,focus_tail_source_visible_or_target,,
2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,square,-,Steatite,Good,R/L,LP,DKG. (S),9VII,17-,DK6380429,Intermediate,I,-12.0 ft,24.9,23.9,7.6,+740-100-798-220-032-002-861-255-416+,9,740 100 798 220 032,5,032,220 032,798 220 032,255 416,2,singleton_255_416,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S,False,True,True,+740-100-798-220-032-002-861-TAIL+,same_line_tail_attachment_candidate,same_line_singleton_candidate_present,low_medium,CISI India IA leaf n71 / printed p.36 / Mohenjo-daro 89-94 seals,One continuous signband is visible; the singleton terminal-side window remains attached to the same line under the previous order adjudication.,This is a singleton and the public crop is low resolution; it cannot carry a repeated-tail model by itself.,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_source_token_attachment\M91_255_416_source_token_attachment_overlay.png,5,8,11,11,450,255,195,0.0,0.433,quantified_same_line_overlay,,focus_tail_source_visible_or_target,,
,H-1137,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-603-240-060-692+,,,,603,603 240,740 603 240,external_x_before_240_603,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,source_text_route_no_image,,"Vats text p.166: no.7537, similar to Plate XCIV no.346; local metadata H-1137/7537824",Route-only echo of the no.346 family; one-sided local metadata. Do not count as full independent visual witness until no.7537 image is located.,,,,,,,,,,,,,,,,,negative_external_x_before_240_control,0.25,0.25
,H-1138,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-603-240-060-692+,,,,603,603 240,740 603 240,external_x_before_240_603,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,source_visible_plate_plus_table,,"Vats, Excavations at Harappa, vol. I text p.345 tabulation; vol. II plates, Plate XCIV no.346","Old Vats/Marshall-side witness; brown faience rectangular two-sided sealing/tablet, 21.6 x 11.4 mm; source-visible.",,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1138_Vats_Plate_XCIV_346_full_labeled_crop.png,,,,,,,,,,,,negative_external_x_before_240_control,1.0,1.0
,H-1845,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-642-240-060-692+,,,,642,642 240,740 642 240,external_x_before_240_642,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,public_harappa_route_visible_shell_download_blocked_cisi_public_ocr_unlocated,,Harappa.com 'Tablet with script' / H2000-4484 / 2227-15 / Figure 42.05; local metadata H-1845,"Modern Harappa ETrench 54 Period 3B/C faience rectangular tablet; public page visible in browser, local image download blocked by Cloudflare this pass; no public CISI OCR route found.",,,,,,,,,,,,,,,,,negative_external_x_before_240_control,0.75,0.75
