"role","site","type","prev","next","frame","text","row_count","ids","cisis","materials","companion_classes"
"internal_prev240_non032_control","Mohenjo-daro","SEAL","240","002","240-220-002","+740-760-440-240-220-002-861+","1","2277.1","M-1990","Steatite","no_companion_side"
"internal_prev240_non032_control","Mohenjo-daro","SEAL:R","240","415","240-220-415","+740-690-435-255-240-220-415-806-742-060-920+","1","2865.1","M-369","Steatite","no_companion_side"
"internal_prev240_non032_control","Mohenjo-daro","SEAL:S","240","255","240-220-255","+527-550-240-220-255-812-906-388+","1","2660.1","M-133","Steatite","no_companion_side"
"matched_non240_next032_control","Chanhu-daro","SEAL:S","231","032","231-220-032","+740-231-220-032-002-817+","1","98.1","C-10","Steatite","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","233","032","233-220-032","+161-233-220-032-741-831+","1","1416.1","H-412","Steatite","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","233","032","233-220-032","+740-717-233-220-032+","1","1544.1","H-601","Clay","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","235","032","235-220-032","+740-405-590-032-900-003-806-235-220-032-002-690-921+","1","1020.1","H-1657","Steatite","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","241","032","241-220-032","+241-220-032-002-861+","1","1434.1","H-444","-","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","255","032","255-220-032","+740-176-690-435-255-220-032-806-060-550+","1","1080.1","H-20","Steatite","no_companion_side"
"matched_non240_next032_control","Harappa","SEAL:S","740","032","740-220-032","+090-740-220-032+","1","1480.1","H-502","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:R","055","032","055-220-032","+740-055-220-032-798-002-820+","1","2877.1","M-381","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:R","233","032","233-220-032","+740-100-233-220-032-002-820+","1","2871.1","M-375","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:R","440","032","440-220-032","+740-752-440-220-032-798+","1","3582.1","M-1275","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:R","590","032","590-220-032","+740-405-590-220-032-806+","1","2888.1","M-392","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:R","740","032","740-220-032","+679-740-220-032-806-001-595-575-001-095+","1","3427.1","M-1052","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","000","032","000-220-032","+000-000-220-032+","1","2501.1","M-1812","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","000","032","000-220-032","+000-220-032-002-817+","1","3989.1","M-1788","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","070","032","070-220-032","+520-070-220-032-240-838-741-958-220-278+","1","2403.1","M-1690","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","094","032","094-220-032","+740-094-220-032-002-144+","1","2657.1","M-130","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","100","032","100-220-032","+090-740-100-220-032-741-361+","1","3092.1","M-648","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","232","032","232-220-032","+232-220-032-002-168-032+","1","3519.1","M-1159","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","235","032","235-220-032","+527-555-235-220-032-002-000-216+","1","3085.1","M-636","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","235","032","235-220-032","+740-460-510-235-220-032-002-861+","1","3147.1","M-723","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","236","032","236-220-032","+031-850-140-236-220-032-803-002-820+","1","3150.1","M-726","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","255","032","255-220-032","+740-690-435-255-220-032-002-717-820+","1","2490.1","M-1667","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","255","032","255-220-032","+740-690-435-255-220-032-240-235-002-390-125-632-032+","1","2566.1","M-38","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","335","032","335-220-032","+740-760-335-220-032-002-820+","1","2745.1","M-221","-","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","440","032","440-220-032","+740-440-220-032-741-390-590-032+","1","3169.1","M-746","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","520","032","520-220-032","+520-220-032-002-861+","1","3421.1","M-1044","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","630","032","630-220-032","+740-794-630-220-032-002-368-906-329+","1","2564.1","M-36","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","705","032","705-220-032","+520-033-705-220-032/231-072-002-270-633-032+","1","3529.1","M-1169","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","740","032","740-220-032","+416-001-565-740-220-032-002-861+","1","2313.1","M-1763","Faience","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","798","032","798-220-032","+740-100-798-220-032-002-861-255-416+","1","2618.1","M-91","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","803","032","803-220-032","+740-803-220-032-220-002-820+","1","2292.1","M-1706","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","904","032","904-220-032","+740-904-220-032-002-142+","1","2381.1","M-1686","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","923","032","923-220-032","+000-740-923-220-032-002-817+","1","3144.1","M-720","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","923","032","923-220-032","+740-923-220-032-002-820+","1","2699.1","M-174","Steatite","no_companion_side"
"matched_non240_next032_control","Mohenjo-daro","SEAL:S","923","032","923-220-032","+740-923-220-032+","1","2651.1","M-124","Clay","no_companion_side"
"target_prev240_next032","Chanhu-daro","SEAL:S","240","032","240-220-032","+000-100-240-220-032-002-861+","1","62.1","C-65","Steatite","no_companion_side"
"target_prev240_next032","Harappa","SEAL:S","240","032","240-220-032","+520-233-240-220-032+","1","920.1","H-1678","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:R","240","032","240-220-032","+740-055-240-220-032-806+","1","3572.1","M-1265","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:S","240","032","240-220-032","+161-055-240-220-032-002-820+","1","2417.1","M-1728","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:S","240","032","240-220-032","+520-033-706-240-220-032-368-263+","1","3081.1","M-631","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:S","240","032","240-220-032","+520-240-220-032-002-861-603+","1","2763.1","M-240","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:S","240","032","240-220-032","+527-550-240-220-032-002-300-350-032-190+","1","2577.1","M-49","Steatite","no_companion_side"
"target_prev240_next032","Mohenjo-daro","SEAL:S","240","032","240-220-032","+740-585-240-220-032-002-817+","1","3146.1","M-722","Steatite","no_companion_side"
