"date","evidence_unit","source_layer","target","observed_fact","admissible_use","blocked_use","decision","accepted_crosswalk"
"2026-05-26","parpola_fig1_policy","Parpola 2019 PDF page 1 / local tmp/parpola_2019_bone_rods.txt lines 8-14","Figure 1 standardized rod texts","Parpola says Figure 1 transcribes texts with standard sign shapes, not as they appear on the rods, and says actual shapes require CISI photos.","Treat Figure 1 as a standardized sign-list source, not raw image evidence.","Using Figure 1 as direct object-shape or local-token evidence.","standardized_not_raw_source","false"
"2026-05-26","parpola_text7_figure","Parpola 2019 Figure 1 row 7; tmp/parpola_text7_scope_gate/derived/parpola2019_fig1_text_no7_m2109_m2111_crop.png","text no. 7","Figure 1 labels text no. 7 as M-2109 and M-2111; stored crop is 720x115 SHA256 499E8C9BE501380693030BB9ACF0C8EB0678F8F01D8892E52159A75E04C6BBD6.","Source-locates Parpola text no. 7 for comparison and acquisition routing.","Reading exact local numeric tokens from the drawing without a sign-list bridge.","text7_source_located","false"
"2026-05-26","parpola_text7_107_clause","tmp/parpola_2019_bone_rods.txt lines 90-92","text no. 7 / sign no. 107","Parpola says sign no. 107 uniquely ends text no. 7, and that without sign no. 107 the remaining part occurs on H-938, H-939, H-1284, and H-2145.","Defines the sign-list scope relation that must be reconciled.","Assuming local numeric 107 is the same as Parpola sign no. 107.","parpola_107_scope_defined","false"
"2026-05-26","parpola_h_obverse_m77_clause","tmp/parpola_2019_bone_rods.txt lines 102-108","H-940/H-2147/H-2148 obverse / M-77","Parpola says H-940/H-2147/H-2148 have sign no. 41 on reverse, and their obverse text compared to text no. 7 occurs on H-942, H-2240, H-2241, and as M-77, with final spear-like sign no. 189 after plain fish sign no. 60.","Preserve as prior-work recurrence pressure and source-routing clue.","Treating the prose clause as exact local string identity.","obverse_clause_prior_work_pressure_only","false"
"2026-05-26","parpola_conclusion_m35_clause","tmp/parpola_2019_bone_rods.txt lines 233-240","text no. 7 / M-35","Parpola later says text no. 7 is not as such attested in seals, but without the last sign no. 107 the rest forms complete seal inscription M-35.","Creates a scope distinction between text no. 7 proper, text no. 7 minus 107, M-35, and the earlier M-77 recurrence mention.","Collapsing M-35 and M-77 into the same exact recurrence without source transcription.","m35_m77_scope_tension_recorded","false"
"2026-05-26","local_text7_rows","data/open_prototype/lipi/metadata_filtered.csv rows 4042.1 and 4044.1","M-2109 / M-2111","Local rows for M-2109 and M-2111 are both +400-000-220-415+, length 4 with 3 visible signs, R/L, Ivory ROD.","Local counterpart for Parpola text no. 7 in the current Lipi layer.","Equating local +400-000-220-415+ with H companion +520-220-415+ without evidence.","local_text7_not_exact_h_companion","false"
"2026-05-26","local_h_companion_rows","data/open_prototype/lipi/metadata_filtered.csv","H-2148 / H-940 / H-2240","Local H companion rows include +520-220-415+ for H-2148, H-940, and H-2240; H-942 is +520-220-016+ and H-2241 is fragmentary ]415-240+.","Defines the local H recurrence family and the H-942 terminal stress.","Using local H recurrence as Parpola text no. 7 proof.","h_companion_family_local_only","false"
"2026-05-26","local_m35_row","data/open_prototype/lipi/metadata_filtered.csv row 2563.1; data/open_prototype/reports/overlap_probe.csv M-35","M-35","Local M-35 is +740-390-590-233-231-002-107+ and Mayig M-35A is P324 P086 P276 P058 P056 P122 P007.","Shows that the named M-35 seal parallel does not trivially reproduce Parpola text no. 7 in local numeric form.","Using local terminal 107 as Parpola comb 107 or accepting M-35 identity by number collision.","m35_namespace_warning","false"
"2026-05-26","local_m77_row","data/open_prototype/lipi/metadata_filtered.csv row 2604.1; data/open_prototype/reports/overlap_probe.csv M-77","M-77","Local M-77 is +832-390-803-002-861+ and Mayig M-77A is P366 P086 P364 P122 P385.","Adversarial control for the recurrence paragraph.","Mapping M-77 tokens to H companion tokens, text no. 7, sign values, or translation.","m77_namespace_warning","false"
"2026-05-26","gate_decision","combined Parpola/local/Mayig evidence","text no. 7 recurrence scope","Parpola text no. 7, the H companion family, M-35, and M-77 cannot be collapsed in the current local/Mayig layers; the mismatch is a sign-list/scope/standardization gate.","Use as source-critical gate and acquisition target for sign-number tables.","Accepting crosswalks, values, phonetics, or translations from the recurrence prose.","text7_scope_namespace_unresolved","false"
