"id","cisi","site","type","material","dir","position","length","prev","next","next2","at_start","at_end","text"
"4.1","-","Allahdino","POT:T:g","Clay","-","0","2","","000","","True","False","+220-000+"
"27.1","B-1","Banawali","SEAL:S","Steatite","R/L","2","7","740","002","368","False","False","+090-740-220-002-368-550-821+"
"28.1","B-3","Banawali","SEAL:S","-","R/L","0","2","","014","","True","False","+220-014+"
"41.1","B-23","Banawali","TAG","-","T/B","1","3","520","002","","False","False","+520-220-002["
"53.1","Ch-1","Chandigarh","POT:T:g","Clay","-","0","5","","000","740","True","False","+220-000-740-550-705+"
"62.1","C-65","Chanhu-daro","SEAL:S","Steatite","R/L","3","7","240","032","002","False","False","+000-100-240-220-032-002-861+"
"63.1","C-64","Chanhu-daro","SEAL:S","Steatite","R/L","1","6","000","838","033","False","False","]000-220-838-033-705-240+"
"83.1","C-62","Chanhu-daro","SEAL:S","Steatite","R/L","1","5","176","415","060","False","False","]176-220-415-060-920+"
"98.1","C-10","Chanhu-daro","SEAL:S","Steatite","R/L","2","6","231","032","002","False","False","+740-231-220-032-002-817+"
"101.1","C-13","Chanhu-daro","SEAL:S","Steatite","R/L","1","5","000","032","060","False","False","]000-220-032-060-766+"
"115.1","C-33","Chanhu-daro","MISC","Steatite","BUS","0","5","","000","740","True","False","+220-000-740/741-255+"
"116.1","C-34","Chanhu-daro","TAB:B","Clay","R/L","8","9","803","","","False","True","+032-031-390-844-000-000-032-803-220+"
"119.1","C-38","Chanhu-daro","MISC","Copper","T/B","0","4","","063","706","True","False","+220-063-706-000+"
"121.1","C-40","Chanhu-daro","IMPL","Copper","R/L","6","8","776","016","","False","False","+390-095-909-005-825-776-220-016+"
"130.1","-","Dholavira","SEAL:S","Steatite","R/L","4","9","879","416","803","False","False","+244-165/740-879-220-416-803-002-861+"
"149.1","-","Farmana","SEAL:S","Steatite","L/R","1","2","240","","","False","True","+240-220+"
"151.1","-","Farmana","SEAL:S","Steatite","R/L","0","2","","032","","True","False","+220-032+"
"166.1","H-1392","Harappa","POT:T:g","-","-","1","3","000","000","","False","False","+000-220-000+"
"173.1","H-1086","Harappa","POT:T:s","Clay","R/L","0","2","","016","","True","False","+220-016+"
"174.1","H-1394","Harappa","POT:T:g","Clay","R/L","1","3","590","003","","False","False","]590-220-003+"
"175.1","H-1418","Harappa","POT:T:g","Clay","R/L","0","2","","032","","True","False","]220-032+"
"185.1","H-1410","Harappa","POT:T:g","Clay","R/L","2","3","388","","","False","True","]080-388-220["
"186.1","H-1403","Harappa","POT:T:g","Clay","-","2","3","000","","","False","True","]000-000-220+"
"187.2","H-1282","Harappa","TAB:I","Steatite","-","0","1","","","","True","True","]220["
"199.1","H-423","Harappa","SEAL:S","Steatite","R/L","1","6","520","240","798","False","False","+520-220-240-798-060-692+"
"206.1","H-1404","Harappa","POT:T:g","Clay","-","1","3","000","840","","False","False","]000-220-840["
"217.1","H-294","Harappa","TAB:I","Steatite","R/L","3","4","240","","","False","True","+090-740-240-220+"
"220.1","H-1142","Harappa","TAB:B","Faience","L/R","3","4","440","","","False","True","+400-154-440-220+"
"221.1","H-1326","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"223.1","H-1042","Harappa","SEAL:S","Steatite","R/L","3","6","000","002","817","False","False","+740-923-000-220-002-817+"
"237.1","H-1056","Harappa","SEAL:S","Steatite","R/L","3","5","740","003","","False","False","+400-090-740-220-003+"
"250.1","H-1166","Harappa","TAB:I","Steatite","NR","0","1","","","","True","True","+220+"
"252.1","H-1174","Harappa","TAB:I","Steatite","-","0","1","","","","True","True","]220["
"258.1","H-1121","Harappa","TAB:B","Faience","L/R","2","4","520","016","","False","False","+400-520-220-016+"
"277.2","H-1184","Harappa","TAB:I","Steatite","R/L","1","2","520","","","False","True","+520-220["
"282.2","H-1330","Harappa","TAB:I","Steatite","R/L","1","2","520","","","False","True","+520-220+"
"291.1","-","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"293.1","H-1033","Harappa","SEAL:S","Steatite","R/L","0","6","","500","520","True","False","+220-500-520-002-862-032+"
"302.2","H-1152","Harappa","TAB:B","Faience","R/L","0","2","","700","","True","False","]220-700["
"303.1","H-1043","Harappa","SEAL:S","Steatite","R/L","2","6","760","003","002","False","False","+151-760-220-003-002-861+"
"308.2","-","Harappa","TAB:I","Steatite","R/L","1","2","000","","","False","True","+000-220+"
"311.1","H-1192","Harappa","TAB:I","Steatite","R/L","3","5","767","416","","False","False","+400-740-767-220-416+"
"311.2","H-1192","Harappa","TAB:I","Steatite","R/L","1","3","700","004","","False","False","+700-220-004+"
"313.1","H-1123","Harappa","TAB:B","Faience","R/L","2","3","550","","","False","True","+525-550-220+"
"318.1","H-1028","Harappa","SEAL:S","Steatite","R/L","0","2","","016","","True","False","+220-016+"
"388.2","H-1874","Harappa","TAB:B","Faience","R/L","1","4","002","455","000","False","False","+002-220-455-000+"
"416.1","H-2035","Harappa","TAB:I","Steatite","R/L","0","2","","233","","True","False","+220-233+"
"467.2","H-1825","Harappa","TAB:B","Faience","L/R","2","3","176","","","False","True","+740-176-220+"
"479.1","H-1669","Harappa","SEAL:S","Steatite","R/L","1","5","520","415","060","False","False","+520-220-415-060-920+"
"481.1","H-2148","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"485.1","H-1953","Harappa","TAB:B","Clay","R/L","2","3","032","","","False","True","+700-032-220+"
"485.2","H-1953","Harappa","TAB:B","Clay","R/L","1","5","520","415","240","False","False","+520-220-415-240-803+"
"491.1","H-2127","Harappa","TAB:I","Steatite","R/L","3","4","142","","","False","True","+455-590-142-220+"
"517.1","H-1722","Harappa","TAG","-","R/L","1","4","520","415","000","False","False","+520-220-415-000["
"517.2","H-1722","Harappa","TAG","-","R/L","1","2","000","","","False","True","]000-220["
"538.1","H-2343","Harappa","POT:T:g","Clay","R/L","0","4","","032","176","True","False","]220-032-176-000+"
"553.2","-","Harappa","TAB:B","Faience","NR","0","1","","","","True","True","+220+"
"568.1","H-1777","Harappa","TAB:B","Faience","-","0","1","","","","True","True","]220+"
"576.1","H-1685","Harappa","SEAL:S","-","R/L","2","7","740","000","000","False","False","+090-740-220-000-000-000-000+"
"586.1","H-2194","Harappa","TAB:I","Steatite","R/L","2","3","032","","","False","True","+590-032-220["
"589.1","H-2128","Harappa","TAB:I","Steatite","R/L","3","4","142","","","False","True","+455-590-142-220+"
"595.1","H-1892","Harappa","TAB:B","Faience","R/L","0","3","","000","700","True","False","+220-000-700+"
"632.1","H-2193","Harappa","TAB:I","Steatite","R/L","2","3","032","","","False","True","+590-032-220+"
"653.1","H-1813","Harappa","TAB:B","Faience","R/L","5","6","705","","","False","True","+400-525-550-033-705-220+"
"673.2","H-2147","Harappa","TAB:I","Steatite","-","0","2","","415","","True","False","]220-415+"
"707.1","H-2336","Harappa","POT:T:g","Clay","R/L","3","4","495","","","False","True","+740-463-495-220["
"715.1","H-1734","Harappa","POT:T:s","Clay","R/L","1","3","016","382","","False","False","+016-220-382+"
"729.1","H-2010","Harappa","TAB:B","Faience","R/L","2","4","176","235","","False","False","+740-176-220-235+"
"739.1","H-1687","Harappa","SEAL:S","Steatite","R/L","1","2","520","","","False","True","+520-220["
"741.1","H-1690","Harappa","SEAL:S","Steatite","R/L","4","5","440","","","False","True","]000-741-615-440-220+"
"744.2","H-1993","Harappa","TAB:B","Clay","R/L","2","7","000","004","002","False","False","+740-000-220-004-002-390-095+"
"751.2","H-1872","Harappa","TAB:B","Faience","R/L","2","3","236","","","False","True","+400-236-220+"
"770.2","H-2150","Harappa","TAB:I","Steatite","R/L","0","2","","415","","True","False","]220-415+"
"795.2","H-2080","Harappa","TAB:I","Steatite","-","0","2","","760","","True","False","]220-760["
"816.1","H-2240","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"824.2","H-1775","Harappa","TAB:B","Faience","R/L","0","4","","000","700","True","False","+220-000-700-033+"
"827.2","H-2145","Harappa","TAB:I","Steatite","-","1","3","074","415","","False","False","+074-220-415+"
"841.1","H-2146","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"848.1","H-2149","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"865.2","H-2152","Harappa","TAB:I","Steatite","R/L","0","2","","415","","True","False","]220-415+"
"891.2","H-2195","Harappa","TAB:I","Steatite","R/L","1","2","000","","","False","True","]000-220+"
"902.2","H-2020","Harappa","TAB:B","Clay","R/L","3","4","032","","","False","True","+690-590-032-220+"
"904.2","H-2019","Harappa","TAB:B","Clay","R/L","3","4","032","","","False","True","+690-590-032-220+"
"913.1","H-1992","Harappa","TAB:B","Faience","R/L","1","3","520","415","","False","False","+520-220-415+"
"913.2","H-1992","Harappa","TAB:B","Faience","R/L","1","3","520","415","","False","False","+520-220-415+"
"920.1","H-1678","Harappa","SEAL:S","Steatite","R/L","3","5","240","032","","False","False","+520-233-240-220-032+"
"925.2","H-1838","Harappa","TAB:B","Faience","R/L","0","4","","000","000","True","False","+220-000-000-000+"
"927.2","H-1941","Harappa","TAB:B","Faience","R/L","2","3","236","","","False","True","+400-236-220+"
"928.1","H-1837","Harappa","TAB:B","Faience","R/L","0","3","","000","700","True","False","+220-000-700["
"937.1","H-2011","Harappa","TAB:B","Clay","R/L","2","4","176","235","","False","False","+740-176-220-235+"
"947.2","H-1805","Harappa","TAB:B","Faience","-","1","3","705","000","","False","False","]705-220-000["
"984.1","-","Harappa","POT:T:g","Clay","NR","0","1","","","","True","True","+220+"
"1017.1","H-1737","Harappa","POT:T:s","Clay","R/L","0","2","","033","","True","False","+220-033+"
"1019.2","H-2012","Harappa","TAB:B","Clay","R/L","1","2","235","","","False","True","]235-220+"
"1020.1","H-1657","Harappa","SEAL:S","Steatite","R/L","8","13","235","032","002","False","False","+740-405-590-032-900-003-806-235-220-032-002-690-921+"
"1025.2","H-2178","Harappa","TAB:I","Steatite","R/L","0","2","","415","","True","False","]220-415+"
"1029.1","H-1738","Harappa","POT:T:s","Clay","-","0","1","","","","True","True","+220["
"1032.1","H-1736","Harappa","POT:T:s","Clay","R/L","0","2","","033","","True","False","+220-033+"
"1065.1","H-4","Harappa","SEAL:S","Steatite","R/L","0","3","","063","051","True","False","+220-063-051+"
"1070.1","H-9","Harappa","SEAL:S","Steatite","R/L","0","2","","017","","True","False","+220-017+"
"1073.1","H-12","Harappa","SEAL:S","Steatite","R/L","5","10","803","240","235","False","False","+740-690-435-255-803-220-240-235-002-817+"
"1078.1","H-18","Harappa","SEAL:S","Steatite","R/L","1","5","000","032","002","False","False","]000-220-032-002-820+"
"1080.1","H-20","Harappa","SEAL:S","Steatite","R/L","5","10","255","032","806","False","False","+740-176-690-435-255-220-032-806-060-550+"
"1094.1","H-35","Harappa","SEAL:S","-","R/L","1","5","679","240","803","False","False","+679-220-240-803-000["
"1095.1","H-36","Harappa","SEAL:S","Steatite","R/L","2","5","798","742","146","False","False","+740-798-220-742-146+"
"1127.1","H-68","Harappa","SEAL:S","Steatite","R/L","2","7","740","003","002","False","False","+090-740-220-003-002-390-072+"
"1139.1","H-82","Harappa","SEAL:S","Steatite","R/L","3","6","002","455","741","False","False","+390-017-002-220-455-741+"
"1148.1","H-92","Harappa","SEAL:S","Steatite","R/L","3","7","518","416","002","False","False","+156-176-518-220-416-002-615+"
"1153.1","H-98","Harappa","SEAL:S","Steatite","R/L","3","5","520","016","","False","False","+861-920/520-220-016+"
"1159.1","H-1007","Harappa","POT:T:p","Clay","-","0","2","","000","","True","False","+220-000["
"1169.1","H-103","Harappa","SEAL:S","Steatite","R/L","7","10","717","415","806","False","False","+159-097/520-033-705/740-717-220-415-806+"
"1170.1","H-129","Harappa","SEAL:R","Steatite","R/L","4","10","235","031","002","False","False","+409-061-740-235-220-031-002-861-244-165+"
"1174.1","H-133","Harappa","SEAL:R","Steatite","R/L","2","7","554","415","798","False","False","+740-554-220-415-798-060-692+"
"1175.1","H-134","Harappa","SEAL:R","Steatite","R/L","3","7","590","003","002","False","False","+740-405-590-220-003-002-861+"
"1190.1","H-149","Harappa","SEAL:R","Steatite","R/L","6","9","630","002","820","False","False","+405-061-033-706-794-630-220-002-820+"
"1216.1","H-183","Harappa","TAB:B","-","R/L","3","5","892","920","","False","False","+400-202-892-220-920+"
"1217.1","H-184","Harappa","TAB:B","Steatite","R/L","3","5","892","920","","False","False","+400-202-892-220-920+"
"1234.1","H-203","Harappa","TAB:B","Faience","R/L","2","5","740","415","798","False","False","+400-740-220-415-798+"
"1258.1","H-231","Harappa","TAB:B","Faience","R/L","1","5","520","240","002","False","False","+520-220-240-002-820+"
"1293.1","H-268","Harappa","SEAL:S","Steatite","R/L","7","10","002","455","920","False","False","+740-585-017-033-706-803-002-220-455-920+"
"1294.1","H-270","Harappa","SEAL:S","Steatite","R/L","3","9","055","415","798","False","False","+740-482-055-220-415-798-803-742-617+"
"1300.1","H-278","Harappa","TAB:B","Steatite","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1301.1","H-279","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1302.1","H-280","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1303.1","H-281","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1304.1","H-282","Harappa","TAB:B","-","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1305.1","H-283","Harappa","TAB:B","-","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1306.1","H-284","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
"1324.1","H-302","Harappa","TAB:I","Steatite","R/L","0","3","","700","004","True","False","+220-700-004+"
"1324.2","H-302","Harappa","TAB:I","Steatite","R/L","3","5","740","416","","False","False","+400-760-740-220-416+"
"1341.1","H-319","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"1351.1","H-329","Harappa","TAB:I","-","R/L","1","2","520","","","False","True","+520-220+"
"1364.1","H-344","Harappa","TAB:I","Steatite","L/R","2","3","550","","","False","True","+526-550-220+"
"1366.1","H-346","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"1378.1","H-359","Harappa","TAB:I","Steatite","L/R","2","3","550","","","False","True","+526-550-220+"
"1383.1","H-364","Harappa","TAB:I","Steatite","R/L","1","3","520","415","","False","False","+520-220-415+"
"1394.1","H-375","Harappa","POT:T:g","-","R/L","1","4","000","002","000","False","False","]000-220-002-000["
"1399.1","H-385","Harappa","SEAL:S","Steatite","R/L","1","7","000","002","595","False","False","+000-220-002-595-632-354-850+"
"1407.1","H-396","Harappa","SEAL:S","Steatite","R/L","2","6","904","415","806","False","False","+832-904-220-415-806-000["
"1408.1","K-46","Kalibangan","SEAL","Steatite","-","1","3","000","000","","False","False","]000-220-000["
"1409.1","H-401","Harappa","SEAL:S","Steatite","R/L","2","4","740","000","","False","False","+090-740-220-000["
"1416.1","H-412","Harappa","SEAL:S","Steatite","R/L","2","6","233","032","741","False","False","+161-233-220-032-741-831+"
"1434.1","H-444","Harappa","SEAL:S","-","R/L","1","5","241","032","002","False","False","+241-220-032-002-861+"
"1480.1","H-502","Harappa","SEAL:S","Steatite","R/L","2","4","740","032","","False","False","+090-740-220-032+"
"1491.1","H-514","Harappa","SEAL:S","Steatite","R/L","1","5","151","016","002","False","False","+151-220-016-002-820+"
"1500.1","H-525","Harappa","SEAL:S","Steatite","R/L","1","2","520","","","False","True","+520-220["
"1519.1","H-566","Harappa","SEAL:S","Steatite","-","0","1","","","","True","True","]220["
"1520.1","H-567","Harappa","SEAL","-","-","0","1","","","","True","True","]220["
"1522.1","H-569","Harappa","SEAL:S","Steatite","R/L","4","7","240","032","000","False","False","+740-032-840-240-220-032-000["
"1531.1","H-581","Harappa","SEAL:S","Steatite","-","1","3","585","000","","False","False","+585-220-000["
"1536.1","H-592","Harappa","SEAL:S","-","R/L","3","6","017","415","803","False","False","+740-575-017-220-415-803+"
"1537.1","H-593","Harappa","SEAL:S","Steatite","R/L","5","7","002","000","","False","False","+740-760-235-240-002-220-000["
"1544.1","H-601","Harappa","SEAL:S","Clay","R/L","3","5","233","032","","False","False","+740-717-233-220-032+"
"1548.1","H-608","Harappa","SEAL:S","Steatite","R/L","1","3","140","530","","False","False","+140-220/530+"
"1555.1","H-640","Harappa","SEAL:R","-","R/L","0","4","","032","002","True","False","]220-032-002-817+"
"1584.1","H-669","Harappa","SEAL:R","Steatite","R/L","1","3","740","032","","False","False","+740-220-032+"
"1640.1","H-747","Harappa","TAB:B","Faience","R/L","2","3","740","","","False","True","+400-740-220["
"1641.1","H-748","Harappa","TAB:B","Faience","R/L","2","5","740","415","798","False","False","+400-740-220-415-798+"
"1653.2","H-761","Harappa","TAB:B","-","R/L","3","4","440","","","False","True","+400-154-440-220+"
"1659.1","H-767","Harappa","TAB:B","Clay","R/L","2","5","740","415","798","False","False","+400-740-220-415-798+"
"1677.2","H-786","Harappa","TAB:B","-","R/L","1","3","520","415","","False","False","+520-220-415+"
"1680.1","H-789","Harappa","TAB:B","Faience","R/L","2","4","520","016","","False","False","+400-520-220-016+"
"1686.2","H-795","Harappa","TAB:B","-","R/L","2","4","000","000","","False","False","+442-000-220-000+"
"1695.2","H-806","Harappa","TAB:B","Clay","R/L","2","4","176","235","","False","False","+740-176-220-235+"
"1696.2","H-807","Harappa","TAB:B","-","R/L","2","4","176","235","","False","False","+740-176-220-235+"
"1697.2","H-808","Harappa","TAB:B","-","R/L","2","4","176","235","","False","False","+740-176-220-235+"
"1738.2","H-852","Harappa","TAB:B","Faience","R/L","4","5","233","","","False","True","+740-760-268-233-220+"
"1754.1","H-871","Harappa","TAB:B","Clay","R/L","8","11","318","415","803","False","False","+740-407-590-690-436-255-920-318-220-415-803+"
