"cisi","cat","Y","source","site","type","symbol","cult","complete","dir","text"
"M-722","target_240_220_032","817","yes","Mohenjo-daro","SEAL:S","Bull1","-","Y","R/L","+740-585-240-220-032-002-817+"
"H-444","non240_a_220_032","861","yes","Harappa","SEAL:S","Bull1:W","SAF","Y","R/L","+241-220-032-002-861+"
"M-1385","outside_a_220_x_032","817","partial","Mohenjo-daro","TAG:P","Bull1","-","Y","R/L","+740-760-032-002-817+"
"M-49","target_240_220_032","300","yes","Mohenjo-daro","SEAL:S","Bull1:W","SAN","Y","R/L","+527-550-240-220-032-002-300-350-032-190+"
"M-21","outside_a_220_x_032","861","yes","Mohenjo-daro","SEAL:S","Bull1:W","SAN","Y","R/L","+350-001-740-362-692-032-002-861+"
"M-174","non240_a_220_032","820","no","Mohenjo-daro","SEAL:S","Bull1:T","SAN","Y","R/L","+740-923-220-032-002-820+"
"M-221","non240_a_220_032","820","no","Mohenjo-daro","SEAL:S","Bull1:I","SAN","Y","R/L","+740-760-335-220-032-002-820+"
"M-375","non240_a_220_032","820","yes","Mohenjo-daro","SEAL:R","None","None","Y","R/L","+740-100-233-220-032-002-820+"
"H-597","outside_a_220_x_032","861","yes","Harappa","SEAL:S","Bull1:J","SAN","Y","R/L","+740-390-590-070-032-002-861+"
"C-10","non240_a_220_032","817","yes","Chanhu-daro","SEAL:S","Bull1:W","SAN","Y","R/L","+740-231-220-032-002-817+"
"C-60","outside_a_220_x_032","861","yes","Chanhu-daro","SEAL:S","Bull1:W","SAN","Y","R/L","+740-176-032-002-861+"
"C-65","target_240_220_032","861","no","Chanhu-daro","SEAL:S","Bull1:W","SAF","N","R/L","+000-100-240-220-032-002-861+"
