"row_index_1based","sign_token_count","gap_position_0based","target_sign","left_context","right_context","ivc_p95_length_eligible","exact_sequence_count","original_sequence","gapped_sequence"
"1","8","4","da","u","i","true","1","e-ke e-u-da-i-ta OVIS:f","e-ke e-u-*-i-ta OVIS:f"
"2","9","0","ki","<s>","u","false","1","ki-u-ro su-ki-ri-ta-pi okiOVIS","*-u-ro su-ki-ri-ta-pi okiOVIS"
"3","9","2","to","ko","e","false","1","di-ko-to e-ma-a2-o OVIS:f WE","di-ko-* e-ma-a2-o OVIS:f WE"
"4","13","0","i","<s>","ti","false","1","i-ti-nu-ri o-re-te-wo da-*22-to OVIS:m oOVIS:m","*-ti-nu-ri o-re-te-wo da-*22-to OVIS:m oOVIS:m"
"5","9","5","po","u","da","false","1","ku-ta-to ke-u-po-da-o OVIS:m","ku-ta-to ke-u-*-da-o OVIS:m"
"6","7","4","we","ko","jo","true","1","da-*22-to ko-we-jo OVIS:m","da-*22-to ko-*-jo OVIS:m"
"7","11","0","mi","<s>","ti","false","1","mi-ti ku-ta-to OVIS:f kiOVIS LANA oOVIS:f okiOVIS oLANA","*-ti ku-ta-to OVIS:f kiOVIS LANA oOVIS:f okiOVIS oLANA"
"8","10","1","ke","e","me","false","1","e-ke-me-de tu-ni-ja OVIS:m OVIS:f paOVIS:m","e-*-me-de tu-ni-ja OVIS:m OVIS:f paOVIS:m"
"9","13","1","ki","te","ri","false","1","te-ki-ri-ne-to ka-to-ro se-to-i-ja OVIS:m","te-*-ri-ne-to ka-to-ro se-to-i-ja OVIS:m"
"10","8","0","to","<s>","sa","true","1","to-sa ku-su-pa-ta neOVIS:m LANA","*-sa ku-su-pa-ta neOVIS:m LANA"
"11","8","0","da","<s>","ro","true","1","da-ro e-ko-so OVIS:m LANA LANA","*-ro e-ko-so OVIS:m LANA LANA"
"12","8","4","di","a","je","true","1","pa-i-to a-di-je-wo OVIS:m","pa-i-to a-*-je-wo OVIS:m"
"13","7","0","e","<s>","ko","true","2","e-ko-so OVIS:f WE kiOVIS:m okiOVIS:m","*-ko-so OVIS:f WE kiOVIS:m okiOVIS:m"
"14","8","1","ko","e","so","true","1","e-ko-so OVIS:f oOVIS:f WE kiOVIS:m okiOVIS:m","e-*-so OVIS:f oOVIS:f WE kiOVIS:m okiOVIS:m"
"15","9","0","o","<s>","ku","false","1","o-ku e-ko-so OVIS:f oOVIS:m kiOVIS:m okiOVIS:m","*-ku e-ko-so OVIS:f oOVIS:m kiOVIS:m okiOVIS:m"
"16","12","5","qa","sa","re","false","1","*56-ko-we-e sa-qa-re-jo OVIS:f LANA oOVIS:f okiOVIS:m","*56-ko-we-e sa-*-re-jo OVIS:f LANA oOVIS:f okiOVIS:m"
"17","11","5","ko","e","so","false","1","di-ta-ka-so e-ko-so OVIS:f WE kiOVIS:m okiOVIS:m","di-ta-ka-so e-*-so OVIS:f WE kiOVIS:m okiOVIS:m"
"18","8","3","ro","ma","seOVIS:f","true","1","wi-da-ma-ro seOVIS:f kipeOVIS:m oOVIS:m zaOVIS:m","wi-da-ma-* seOVIS:f kipeOVIS:m oOVIS:m zaOVIS:m"
"19","6","1","wi","to","no","true","1","to-wi-no seOVIS:f kiOVIS oOVIS:m","to-*-no seOVIS:f kiOVIS oOVIS:m"
"20","7","5","oOVIS:m","kipeOVIS:m","zaOVIS:m","true","1","tu-da-ra seOVIS:f kipeOVIS:m oOVIS:m zaOVIS:m","tu-da-ra seOVIS:f kipeOVIS:m * zaOVIS:m"
"21","4","2","jo","we","OVIS:m","true","1","ko-we-jo OVIS:m","ko-we-* OVIS:m"
"22","4","0","pu","<s>","so","true","1","pu-so OVIS:m peOVIS","*-so OVIS:m peOVIS"
"23","17","8","ti","po","ni","false","1","ma-di-qo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA","ma-di-qo si-ja-du-we po-*-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"24","20","4","so","ma","mo","false","1","qa-ra2-ro ma-so-mo sa-qa-re-jo a-ko-ro e-pe-ke OVIS:f LANA okiOVIS:m oLANA","qa-ra2-ro ma-*-mo sa-qa-re-jo a-ko-ro e-pe-ke OVIS:f LANA okiOVIS:m oLANA"
"25","8","3","da","ro","ra","true","1","qi-ta-ro da-ra-ko OVIS:m LANA","qi-ta-ro *-ra-ko OVIS:m LANA"
"26","16","0","a","<s>","ko","false","1","a-ko-i-da qa-nwa-so po-ti-ni-ja-we OVIS:f LANA okiOVIS:m oLANA","*-ko-i-da qa-nwa-so po-ti-ni-ja-we OVIS:f LANA okiOVIS:m oLANA"
