"formula","count","sites","types","examples"
"520-220-415","17","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","221.1;481.1;816.1;841.1;848.1;913.1;913.2;1341.1;1366.1;1383.1"
"740-220-003","5","Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","2814.1;3720.1;3722.1;3723.1;3724.1"
"520-033-033","4","Dholavira;Harappa","SEAL:S;TAB:B","628.2;831.2;876.2;4149.1"
"220-700-004","3","Harappa","TAB:I","1324.1;1793.2;4056.2"
"400-236-220","3","Harappa","TAB:B","751.2;927.2;3969.1"
"400-520-233","3","Harappa","TAB:B","526.1;1268.1;1603.1"
"520-033-705","3","Lothal;Mohenjo-daro","SEAL;SEAL:S;TAG:O","2088.1;2649.1;3658.1"
"520-033-706","2","Dholavira;Harappa","SEAL:R;SEAL:S","1112.1;4167.1"
"520-072-219","2","Harappa","TAB:B","1257.1;1704.2"
"526-550-220","2","Harappa","TAB:I","1364.1;1378.1"
"000-000-220","1","Mohenjo-daro","TAB:B","2518.1"
"000-220-000","1","Harappa","POT:T:g","166.1"
"000-220-415","1","Harappa","TAB:I","1849.1"
"000-585-220","1","Mohenjo-daro","SEAL:S","3492.1"
"016-220-382","1","Harappa","POT:T:s","715.1"
"074-220-415","1","Harappa","TAB:I","827.2"
"090-740-220","1","Harappa","TAB:I","4084.1"
"151-100-220","1","Lothal","SEAL:S","2011.1"
"153-220-032","1","Dholavira","TAB:I","4286.1"
"220-000-700","1","Harappa","TAB:B","595.1"
"220-063-051","1","Harappa","SEAL:S","1065.1"
"220-065-864","1","Mohenjo-daro","SEAL:S","2678.1"
"220-786-255","1","Mohenjo-daro","SEAL:R","2910.1"
"400-220-428","1","Mohenjo-daro","SEAL:S","2742.1"
"400-520-897","1","Mohenjo-daro","SEAL:S","2601.1"
"400-740-220","1","Mohenjo-daro","SEAL:R","3617.1"
"440-220-413","1","Mohenjo-daro","BNGL","3826.1"
"520-000-235","1","Dholavira","SEAL:S","4216.1"
"520-000-255","1","Harappa","TAB:B","290.2"
"520-072-921","1","Mohenjo-daro","SEAL:S","2512.1"
"520-220-003","1","Mohenjo-daro","SEAL:S","2441.1"
"520-220-006","1","Kalibangan","SEAL:S","5277.1"
"520-220-016","1","Harappa","TAB:I","1822.1"
"520-220-034","1","Mohenjo-daro","SEAL:S","3556.1"
"520-231-235","1","Mohenjo-daro","SEAL:S","2821.1"
"520-233-240","1","Harappa","TAB:B","297.1"
"520-235-806","1","Mohenjo-daro","SEAL","3122.1"
"520-240-000","1","Harappa","TAB:I","1342.1"
"520-240-235","1","Harappa","SEAL:R","1189.1"
"520-240-806","1","Mohenjo-daro","SEAL","3182.1"
"520-382-878","1","Mohenjo-daro","SEAL:S","3230.1"
"520-400-000","1","Harappa","TAB:I","253.1"
"520-460-031","1","Harappa","SEAL:S","1142.1"
"520-460-495","1","Dholavira","SEAL:S","131.1"
"520-463-510","1","Bhirrana","SEAL:S","5220.1"
"520-515-921","1","Mohenjo-daro","SEAL:S","3193.1"
"520-742-861","1","Dholavira","SEAL:S","4220.1"
"525-550-220","1","Harappa","TAB:B","313.1"
"590-032-220","1","Harappa","TAB:I","632.1"
"700-032-220","1","Harappa","TAB:B","485.1"
"700-220-004","1","Harappa","TAB:I","311.2"
"740-100-220","1","Mohenjo-daro","TAB:B","2958.1"
"740-176-220","1","Harappa","TAB:B","467.2"
"740-220-000","1","Mohenjo-daro","TAB:C","3069.1"
"740-220-032","1","Harappa","SEAL:R","1584.1"
"740-235-220","1","Dholavira","SEAL:S","4224.1"
