"cisi","cluster_row_count","cluster_texts","third_slots","companion_texts"
"B-23","1","+520-220-002[","002",""
"H-1284","1","+520-220-415+","415","+700-034+"
"H-1326","1","+520-220-415+","415",""
"H-1669","1","+520-220-415-060-920+","415",""
"H-1722","1","+520-220-415-000[","415","]000-220["
"H-1953","1","+520-220-415-240-803+","415","+700-032-220+"
"H-1992","2","+520-220-415+","415","+520-220-415+"
"H-2146","1","+520-220-415+","415","+700-032+"
"H-2148","1","+520-220-415+","415","+110+"
"H-2149","1","+520-220-415+","415","+590-032-645-003+"
"H-2240","1","+520-220-415+","415","+869-575+"
"H-231","1","+520-220-240-002-820+","240","+700-033+"
"H-319","1","+520-220-415+","415","+700-034+"
"H-346","1","+520-220-415+","415","+700-090+"
"H-364","1","+520-220-415+","415",""
"H-423","1","+520-220-240-798-060-692+","240",""
"H-786","1","+520-220-415+","415","+824-892-413+"
"H-938","1","+520-220-415+","415","+034-700+"
"H-939","1","+520-220-415+","415","+700-034+"
"H-940","1","+520-220-415+","415","+110+"
"H-941","1","+520-220-415+","415","+590-032-645-003+"
"H-942","1","+520-220-016+","016","+033-700+"
"K-150","1","+520-220-006+","006",""
"L-98","1","+520-220-415-519+","415",""
"M-1031","1","+520-220-415-817[","415",""
"M-1044","1","+520-220-032-002-861+","032",""
"M-1090","1","+520-220-235-000-130-741+","235",""
"M-1148","1","+520-220-002-861+","002",""
"M-1206","1","+520-220-034+","034","+740-690-435-255-002-861+"
"M-154","1","+520-220-621-415-002-257-898+","621",""
"M-163","1","+520-220-415-060-820+","415",""
"M-1672","1","+520-220-003-741-060-920+","003",""
"M-1687","1","+520-220-368-817+","368",""
"M-1716","1","+520-220-240-803-002-820+","240",""
"M-1776","1","+520-220-803-741-262+","803",""
"M-1814","1","+520-220-415-240+","415",""
"M-1843","1","+520-220-001-820-220-063-315+","001",""
"M-1884","1","+520-220-016-002-416-000+","016",""
"M-1912","1","+520-220-003+","003",""
"M-279","1","+520-220-415-002-700-000+","415",""
"M-308","1","+520-220-002-727-317+","002",""
"M-323","1","+520-220-415-235+","415",""
"M-37","1","+520-220-415+","415",""
"M-395","1","+520-220-415-798+","415",""
"M-65","1","+520-220-031-001-706-575+","031",""
"M-650","1","+520-220-415-519-002-817+","415",""
"M-715","1","+520-220-016-741-556-000[","016",""
"M-75","1","+520-220-004-002-817+","004",""
"M-888","1","+520-220-240-741-440+","240",""
"M-962","1","+520-220-240-235+","240",""
"Ns-59","1","+520-220-742-060-920+","742",""
