checked_date,sign,global_count,after_390_count,after_002_390_count,terminal_count,terminal_share,non_square_or_rect_seal_count,non_square_or_rect_seal_share,top_prev_share,top_prev,top_next,top_type,top_site,top_cult,model_class,confidence_movement,after_002_390_rows
2026-05-31,125,59,9,4,17,0.288136,9,0.152542,0.152542,390:9;<START>:5;350:4;000:3;590:3;700:3;002:2;090:2;190:2;400:2,<END>:17;632:4;032:3;000:2;001:2;002:2;176:2;413:2;575:2;590:2,SEAL:S:43;SEAL:R:7;TAB:B:4;TAB:I:2;TAG:2;TAB:C:1,Mohenjo-daro:28;Harappa:16;Dholavira:4;Allahdino:1;Bala-kot:1;Chanhu-daro:1;Ganweriwala:1;Gola Dhoro (Bagasra):1;Gonur Depe:1;Kalibangan:1,SAN:19;None:17;-:7;RAN:4;SAF:4;Trough:4;HAF:1;RAF:1;S:1;SAO:1,rank_title_selector_candidate,"unchanged: candidate semantic rank/title, promoted only in narrow 235-002-(390/405)-...125 rule",M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-735:+740-760-235-002-390-125-195+ | Sktd-1:+390-004-002-390-125-820+
2026-05-31,095,30,3,2,8,0.266667,23,0.766667,0.466667,520:14;595:4;390:3;000:2;<START>:1;001:1;002:1;033:1;090:1;812:1,585:10;<END>:8;000:3;033:2;760:2;031:1;550:1;717:1;741:1;909:1,TAB:C:14;SEAL:R:4;SEAL:S:3;TAB:B:3;IMPL:1;POT:T:g:1;POT:T:s:1;ROD:1;SEAL:1;TAG:R:1,Mohenjo-daro:19;Harappa:4;Dholavira:2;Chanhu-daro:1;Kot-Diji:1;Lothal:1;Sibri:1;Tepe Yahya:1,None:20;Trough:6;SAN:2;-:1;SAF:1,admin_status_selector_candidate,upgrade semantic class to candidate: global contexts are tablet/copper-heavy and 2/2 after 002-390 are terminal; generic closure narrowed,H-1993:+740-000-220-004-002-390-095+ | M-71:+151-279-142-002-390-095+
2026-05-31,705,219,2,2,59,0.269406,116,0.529680,0.474886,033:104;<START>:13;500:12;000:11;167:8;255:7;740:6;868:5;002:3;031:3,<END>:59;235:24;233:20;000:16;240:14;002:11;231:8;220:7;590:7;803:4,SEAL:S:81;TAB:B:43;SEAL:R:22;TAB:C:20;TAB:I:11;TAG:11;TAG:L:7;POT:T:g:4;POT:T:s:4;MISC:3,Mohenjo-daro:116;Harappa:60;Lothal:17;Dholavira:12;Chanhu-daro:5;Chandigarh:2;Allahdino:1;Juna Khatiya:1;Kalibangan:1;Lakhanjo-daro:1,None:98;-:46;SAN:35;Plant:12;SAF:8;Trough:8;RAF:2;RAN:2;S:2;HAF:1,terminal_390_selector_candidate_semantics_wild,formal terminal selector candidate under 002-390 because every 390-705 is after 002; remote/transfer semantics remain wild,M-1825:+157-031-002-390-705+ | -:+151-032-388-002-390-705+
2026-05-31,072,15,1,1,5,0.333333,5,0.333333,0.400000,520:6;<START>:1;231:1;308:1;368:1;390:1;406:1;740:1;741:1;760:1,<END>:5;921:3;002:2;219:2;170:1;233:1;255:1,SEAL:S:10;TAB:B:3;SEAL:1;TAB:I:1,Mohenjo-daro:8;Harappa:5;Allahdino:1;Banawali:1,None:4;SAN:3;-:2;SAF:2;HBF:1;HBN:1;RAN:1;Trough:1,continuation_selector_wild,stays wild shot until a second comparable row appears or source morphology constrains it,H-68:+090-740-220-003-002-390-072+
2026-05-31,140,110,2,1,46,0.418182,32,0.290909,0.118182,<START>:13;920:10;100:7;000:5;850:5;706:4;840:4;001:3;061:3;136:3,<END>:46;002:9;000:7;003:7;740:4;220:3;803:3;015:2;032:2;388:2,SEAL:S:62;SEAL:R:16;TAB:B:12;POT:T:g:4;SEAL:C:4;BNGL:3;SEAL:3;POT:T:s:1;ROD:1;TAB:I:1,Mohenjo-daro:65;Harappa:27;Lothal:7;Chanhu-daro:4;Kalibangan:4;Dholavira:1;Gola Dhoro (Bagasra):1;Unknown:1,None:44;SAN:24;-:19;SAF:4;Trough:4;RAF:3;S:3;Mult:2;?AN:1;H:1,continuation_selector_wild,stays wild shot until a second comparable row appears or source morphology constrains it,M-708:+740-061-002-390-140+
2026-05-31,346,6,1,1,4,0.666667,1,0.166667,0.166667,204:1;255:1;390:1;413:1;840:1;904:1,<END>:4;510:1;706:1,SEAL:S:3;SEAL:R:2;POT:T:g:1,Mohenjo-daro:4;Khirsara:1;Lothal:1,None:2;-:1;HAN:1;RAF:1;SAN:1,rare_terminal_selector_wild,stays wild shot until a second comparable row appears or source morphology constrains it,M-213:+740-384-002-390-346+
2026-05-31,530,19,1,1,6,0.315789,9,0.473684,0.210526,<START>:4;000:3;031:1;032:1;220:1;252:1;296:1;299:1;390:1;413:1,<END>:6;000:4;741:2;820:2;323:1;740:1;742:1;786:1;904:1,SEAL:S:10;POT:T:g:4;MISC:1;POT:T:p:1;TAB:B:1;TAB:I:1;TAG:W:1,Harappa:8;Mohenjo-daro:7;Chanhu-daro:2;Dholavira:1;Kalibangan:1,-:6;None:6;SAF:2;SAN:2;HAF:1;S:1;Trough:1,continuation_selector_wild,stays wild shot until a second comparable row appears or source morphology constrains it,H-773:+740-798-803-002-390-530-741+
2026-05-31,590,228,73,1,59,0.258772,112,0.491228,0.320175,390:73;405:28;<START>:19;407:19;000:14;892:8;235:7;705:7;706:7;740:6,<END>:59;032:20;235:18;690:11;033:10;220:10;002:9;741:9;000:7;645:7,SEAL:S:93;TAB:B:59;TAB:I:30;SEAL:R:23;POT:T:g:6;TAB:C:4;TAG:4;TAG:P:4;BNGL:2;POT:T:s:2,Harappa:105;Mohenjo-daro:83;Dholavira:12;Lothal:10;Chanhu-daro:3;Kalibangan:3;Unknown:2;Allahdino:1;Desalpur:1;Gonur Depe:1,None:133;SAN:36;-:25;RAN:12;Trough:6;SAF:4;RAF:3;RBF:3;HAN:2;S:2,embedded_formula_bridge_candidate,unchanged candidate bridge: after 002-390 it opens inherited 390-590-032 formula,-:+740-205-032-002-390-590-032+
2026-05-31,692,77,1,1,59,0.766234,28,0.363636,0.584416,060:45;<START>:7;001:4;000:2;031:1;032:1;100:1;252:1;337:1;362:1,<END>:59;740:3;000:2;520:2;001:1;003:1;032:1;401:1;416:1;451:1,SEAL:S:42;TAB:B:16;SEAL:R:7;TAB:I:5;POT:T:s:3;POT:T:g:2;SEAL:C:1;TAG:P:1,Mohenjo-daro:36;Harappa:35;Lothal:3;Banawali:1;Chanhu-daro:1;Nausharo:1,None:43;SAN:11;RAF:5;SAF:5;-:3;Trough:3;RBN:2;S:2;?AN:1;HAN:1,hard_terminal_closure_candidate,new candidate hard-terminal closure selector: high global terminal share and M-70 is terminal after 002-390,M-70:+226-032-002-390-692+
2026-05-31,707,1,1,1,1,1.000000,0,0.000000,1.000000,390:1,<END>:1,SEAL:S:1,Mohenjo-daro:1,SAF:1,rare_terminal_selector_wild,stays wild shot until a second comparable row appears or source morphology constrains it,M-232:+236-002-390-707+
