"date","neutral_id","path","width","height","sha256","source_image","crop_box_xywh","unblinded_role","control_class"
"2026-05-26","S001","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S001.png","95","95","3BC46C1A0D9F68E8E58A5E5D722C12F6BF25FF7C291C2E5D850E83DA09F104A5","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1205,515,95,95","Parpola 1994 Fig. 5.1 sign no. 60 variant a","plain_sign60_target"
"2026-05-26","S002","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S002.png","105","110","124689A45089EB312521A134FD39DE0116831B4BDFD2754933C8AEB7E5EEBD48","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1295,500,105,110","Parpola 1994 Fig. 5.1 sign no. 60 variant b","plain_sign60_target"
"2026-05-26","S003","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S003.png","85","110","B0C197A1F4254E96DFAB5019517A3557AA924322D30588D6E06B94F7D1058C52","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","875,410,85,110","Parpola 1994 Fig. 5.1 sign no. 57 nearby reduced/stalk-like control","nearby_non_target_control"
"2026-05-26","S004","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S004.png","105","115","3F2C3DE85435BDFEFABD86B94C342A41311F63193B5F684BD5ADD482818301E2","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1080,400,105,115","Parpola 1994 Fig. 5.1 sign no. 58 hatched fish/leaf control","nearby_fish_family_control"
"2026-05-26","S005","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S005.png","100","115","45EF28C0E2BCB591897F6246D046FCA296F9FCC9CDEEADBF30B90DFA59730E6C","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","925,515,100,115","Parpola 1994 Fig. 5.1 sign no. 59 hatched fish/leaf control","nearby_fish_family_control"
"2026-05-26","S006","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S006.png","125","125","7AA4660544648E79F782A36892D580B687C687BC861A61B3DDF60AAE3F80B08A","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1425,585,125,125","Parpola 1994 Fig. 5.1 sign no. 66 plain-ish fish/leaf control","nearby_fish_family_control"
"2026-05-26","S007","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S007.png","115","125","49F1916CBE06863B808CB8C5304D27263BE45472D5371C495477957B6B3F3A36","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1300,685,115,125","Parpola 1994 Fig. 5.1 sign no. 70 variant a","nearby_fish_family_control"
"2026-05-26","S008","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S008.png","130","135","DFBC4BFA063B8992410772D43F78F612C6B9924ED1560B9D170D794A44513F9F","tmp/parpola_1994_signlist/rendered/fig5_1-089.png","1410,675,130,135","Parpola 1994 Fig. 5.1 sign no. 70 variant b","nearby_fish_family_control"
"2026-05-26","S009","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S009.png","255","230","7F0031D154395A025097AB76EC0D5DE6B4B3FB45CA74497501E435AE1E389F0C","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N005.png","0,0,255,230","M-37 middle component from local +520-220-415+","source_local220_candidate"
"2026-05-26","S010","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S010.png","180","210","39E271F28E2A7FBE9C6B3064BD071D40850588E1C88E9FE6BC6FFD78F17E48EF","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N006.png","0,0,180,210","H-938 A middle component from local +520-220-415+","source_local220_candidate"
"2026-05-26","S011","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S011.png","205","245","CF165ABB5C8580439EEC3BF4F18C5DA0A1B5DA554C00BAE949DFC14CC600D75C","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N007.png","0,0,205,245","H-940 A middle component from local +520-220-415+","source_local220_candidate"
"2026-05-26","S012","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S012.png","185","155","F81DC0A6379019E297FF860520ABC1EF8191BD56A4A03662FCFEE1041013A9D3","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N008.png","0,0,185,155","H-942 A middle component candidate from local +520-220-016+","weak_source_local220_candidate"
"2026-05-26","CONTACT","tmp/parpola_sign60_local220_strict_probe/neutral_packet/strict_contact_sheet.png","740","588","C97B93B15F5494CCE9E63B5DA59B9F1236D306470DF1C09D43913F62E31AD2C1","assembled neutral packet","not_applicable","strict neutral contact sheet","review_sheet"
