"control","metric","iterations","observed_value","null_mean","null_sd","null_min","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share","null_le_observed_share"
"length_frequency_shuffle","unique_sequences","20","1798","2771.95","7.599178","2753","2761.55","2771.5","2782.3","2788","-973.95","1","0"
"length_frequency_shuffle","exact_duplicate_groups","20","266","73.05","5.314838","67","67","72","80.4","88","192.95","0","1"
"length_frequency_shuffle","exact_duplicate_rows","20","1351","184.1","12.169223","163","170.6","184.5","200.9","218","1166.9","0","1"
"length_frequency_shuffle","exact_duplicate_row_share","20","0.468609","0.063857","0.004221","0.056538","0.059174","0.063996","0.069684","0.075616","0.404752","0","1"
"length_frequency_shuffle","top_sequence_count","20","117","9.5","2.61725","5","5.95","9","14","14","107.5","0","1"
"length_frequency_shuffle","collapsed_rows","20","1798","2771.95","7.599178","2753","2761.55","2771.5","2782.3","2788","-973.95","1","0"
"length_frequency_shuffle","collapsed_tokens","20","8212","11420.65","15.790108","11383","11397.25","11420","11442.65","11455","-3208.65","1","0"
"length_frequency_shuffle","stored_higher_share","20","0.948276","0.494735","0.010109","0.47787","0.480664","0.492795","0.509475","0.51912","0.453541","0","1"
"length_frequency_shuffle","mean_stored_minus_reversed","20","9.403535","0.006569","0.023748","-0.042497","-0.037635","0.005392","0.044388","0.044967","9.396966","0","1"
"length_frequency_shuffle","median_stored_minus_reversed","20","9.200559","0.001916","0.013473","-0.024047","-0.021572","0","0.023286","0.038735","9.198643","0","1"
"length_frequency_shuffle","frequency_top1_accuracy","20","0.107769","0.101745","0.000543","0.100403","0.10112","0.101667","0.102593","0.103099","0.006024","0","1"
"length_frequency_shuffle","position_top1_accuracy","20","0.15112","0.101443","0.000864","0.09865","0.100756","0.101397","0.102685","0.103274","0.049677","0","1"
"length_frequency_shuffle","length_position_top1_accuracy","20","0.154652","0.097227","0.00132","0.093649","0.094984","0.097098","0.099529","0.099553","0.057425","0","1"
"length_frequency_shuffle","bidirectional_top1_accuracy","20","0.325865","0.097481","0.00101","0.095401","0.095488","0.097688","0.099074","0.099283","0.228384","0","1"
"length_frequency_shuffle","bidirectional_top5_accuracy","20","0.567828","0.227814","0.002779","0.220801","0.223077","0.228031","0.231682","0.231887","0.340014","0","1"
"edge_position_shuffle","unique_sequences","20","1798","2612.3","9.990495","2592","2598.65","2612","2627.05","2628","-814.3","1","0"
"edge_position_shuffle","exact_duplicate_groups","20","266","112.25","5.466946","103","104.9","111.5","121.05","122","153.75","0","1"
"edge_position_shuffle","exact_duplicate_rows","20","1351","382.95","13.588506","361","361.95","384.5","401.2","405","968.05","0","1"
"edge_position_shuffle","exact_duplicate_row_share","20","0.468609","0.13283","0.004713","0.125217","0.125547","0.133368","0.13916","0.140479","0.335779","0","1"
"edge_position_shuffle","top_sequence_count","20","117","15.45","1.657558","12","12.95","15","18.05","19","101.55","0","1"
"edge_position_shuffle","collapsed_rows","20","1798","2612.3","9.990495","2592","2598.65","2612","2627.05","2628","-814.3","1","0"
"edge_position_shuffle","collapsed_tokens","20","8212","11095.6","20.881571","11054","11066.35","11096","11125.15","11128","-2883.6","1","0"
"edge_position_shuffle","stored_higher_share","20","0.948276","0.936035","0.00393","0.929717","0.929825","0.936084","0.942496","0.943287","0.012241","0","1"
"edge_position_shuffle","mean_stored_minus_reversed","20","9.403535","5.421462","0.039995","5.342258","5.375296","5.419723","5.47763","5.500906","3.982073","0","1"
"edge_position_shuffle","median_stored_minus_reversed","20","9.200559","5.659043","0.056886","5.568345","5.574219","5.654228","5.737259","5.765632","3.541516","0","1"
"edge_position_shuffle","frequency_top1_accuracy","20","0.107769","0.097785","0.000855","0.096142","0.096551","0.097755","0.099239","0.099299","0.009984","0","1"
"edge_position_shuffle","position_top1_accuracy","20","0.15112","0.110074","0.001016","0.10834","0.108384","0.110079","0.111486","0.111771","0.041046","0","1"
"edge_position_shuffle","length_position_top1_accuracy","20","0.154652","0.115842","0.003122","0.109817","0.112484","0.11535","0.122305","0.12281","0.038811","0","1"
"edge_position_shuffle","bidirectional_top1_accuracy","20","0.325865","0.109609","0.00242","0.10588","0.10629","0.109206","0.114205","0.115115","0.216256","0","1"
"edge_position_shuffle","bidirectional_top5_accuracy","20","0.567828","0.296928","0.003103","0.2905","0.292661","0.296639","0.302438","0.303621","0.2709","0","1"
"edge_frame_template_shuffle","unique_sequences","20","1798","2293.4","4.103657","2285","2285.95","2294","2299.05","2300","-495.4","1","0"
"edge_frame_template_shuffle","exact_duplicate_groups","20","266","103.4","3.184337","98","98.95","103.5","108.05","109","162.6","0","1"
"edge_frame_template_shuffle","exact_duplicate_rows","20","1351","693","7.078135","681","682.9","692.5","705.1","707","658","0","1"
"edge_frame_template_shuffle","exact_duplicate_row_share","20","0.468609","0.240375","0.002455","0.236212","0.236871","0.240202","0.244572","0.245231","0.228234","0","1"
"edge_frame_template_shuffle","top_sequence_count","20","117","117","0","117","117","117","117","117","0","1","1"
"edge_frame_template_shuffle","collapsed_rows","20","1798","2293.4","4.103657","2285","2285.95","2294","2299.05","2300","-495.4","1","0"
"edge_frame_template_shuffle","collapsed_tokens","20","8212","10442.5","12.555875","10417","10419.85","10443","10460.15","10463","-2230.5","1","0"
"edge_frame_template_shuffle","stored_higher_share","20","0.948276","0.939348","0.001869","0.935456","0.935562","0.939838","0.941143","0.942944","0.008928","0","1"
"edge_frame_template_shuffle","mean_stored_minus_reversed","20","9.403535","6.211514","0.037543","6.144419","6.157575","6.208907","6.277282","6.308451","3.192021","0","1"
"edge_frame_template_shuffle","median_stored_minus_reversed","20","9.200559","6.819136","0.065917","6.695799","6.758833","6.808173","6.928886","6.982092","2.381423","0","1"
