"checked_date","variant","order","prev_token","next_token","immediate_frame","variant_wildcard_frame","exact_sequence_frame","contains_097_700_variant","parpola_named_or_target","local_extra_same_parallel","id","cisi","site","region","type","material","preservation","condition","complete","direction","class","signs","text"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","198.2","H-1138","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","222.3","H-1354","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","263.1","H-1293","Harappa","Inter-Riverine","TAB:I","Steatite","slightly chipped","Poor","?","R/L","UC","2","+700-034["
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","265.2","H-1273","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","274.2","-","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Poor","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","382.1","H-1894","Harappa","Inter-Riverine","TAB:B","Faience","complete","Poor","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","388.1","H-1874","Harappa","Inter-Riverine","TAB:B","Faience","complete","Poor","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","393.1","H-1981","Harappa","Inter-Riverine","TAB:B","Clay","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","394.1","H-1987","Harappa","Inter-Riverine","TAB:B","Clay","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","034-700","034-700","BOS","EOS","BOS|034-700|EOS","BOS|700-X|EOS","034-700","0","0","0","396.1","H-1877","Harappa","Inter-Riverine","TAB:B","Faience","complete","Good","Y","R/L","NV","2","+034-700+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","397.1","H-2141","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","406.1","H-1895","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","L/R","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","415.1","H-1832","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","418.1","H-2140","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","422.1","H-1943","Harappa","Inter-Riverine","TAB:B","Faience","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","424.1","H-1845","Harappa","Inter-Riverine","TAB:B","Faience","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","427.1","H-1854","Harappa","Inter-Riverine","TAB:B","Faience","complete","Good","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","001","BOS|700-034|001","BOS|700-X|001","700-X-001","0","0","0","434.1","H-2570","Harappa","Inter-Riverine","ROD","Bone","complete","Fair","Y","R/L","VN","3","+700-034-001+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","451.1","H-1843","Harappa","Inter-Riverine","TAB:B","Faience","fragment","Poor","?","R/L","UC","2","]700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","467.1","H-1825","Harappa","Inter-Riverine","TAB:B","Faience","complete","Good","Y","L/R","VN","2","+700-034+"
"2026-05-25","034-700","034-700","BOS","EOS","BOS|034-700|EOS","BOS|700-X|EOS","034-700","0","0","0","468.1","H-1876","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","R/L","NV","2","+034-700+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","476.1","H-2094","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","480.1","H-1850","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","484.1","H-2246","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Fair","Y","R/L","VN","2","+700-034+"
"2026-05-25","034-700","034-700","BOS","EOS","BOS|034-700|EOS","BOS|700-X|EOS","034-700","0","0","0","488.1","H-2097","Harappa","Inter-Riverine","TAB:I","Steatite","complete","Good","Y","R/L","NV","2","+034-700+"
"2026-05-25","700-034","700-034","BOS","EOS","BOS|700-034|EOS","BOS|700-X|EOS","700-X","0","0","0","506.1","H-1867","Harappa","Inter-Riverine","TAB:B","Faience","complete","Fair","Y","R/L","VN","2","+700-034+"
