checked_date,id,cisi,site,type,material,shape,symbol,cult,direction,prev,head,next,tail_after_head,terminal_after_next,text,normalized_text,formula_key,accepted_decipherment_claim
2026-05-31,1127.1,H-68,Harappa,SEAL:S,Steatite,square,Bull1:I,RAN,R/L,003,390,072,072,true,+090-740-220-003-002-390-072+,090-740-220-003-002-390-072,Harappa|SEAL:S|square|Bull1:I|RAN|+090-740-220-003-002-390-072+,0
2026-05-31,744.2,H-1993,Harappa,TAB:B,Clay,rectangular,None,None,R/L,004,390,095,095,true,+740-000-220-004-002-390-095+,740-000-220-004-002-390-095,Harappa|TAB:B|rectangular|None|None|+740-000-220-004-002-390-095+,0
2026-05-31,2599.1,M-71,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:J,SAN,R/L,142,390,095,095,true,+151-279-142-002-390-095+,151-279-142-002-390-095,Mohenjo-daro|SEAL:S|square|Bull1:J|SAN|+151-279-142-002-390-095+,0
2026-05-31,2566.1,M-38,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:J,SAN,R/L,235,390,125,125-632-032,false,+740-690-435-255-220-032-240-235-002-390-125-632-032+,740-690-435-255-220-032-240-235-002-390-125-632-032,Mohenjo-daro|SEAL:S|square|Bull1:J|SAN|+740-690-435-255-220-032-240-235-002-390-125-632-032+,0
2026-05-31,2646.1,M-119,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:S,SAN,R/L,484,390,125,125-632-032-900-563,false,+151-337-484-002-390-125-632-032-900-563+,151-337-484-002-390-125-632-032-900-563,Mohenjo-daro|SEAL:S|square|Bull1:S|SAN|+151-337-484-002-390-125-632-032-900-563+,0
2026-05-31,3159.1,M-735,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:U,HAF,R/L,235,390,125,125-195,false,+740-760-235-002-390-125-195+,740-760-235-002-390-125-195,Mohenjo-daro|SEAL:S|square|Bull1:U|HAF|+740-760-235-002-390-125-195+,0
2026-05-31,3875.1,Sktd-1,Surkotada,SEAL:S,-,square,Bull1,RAN,R/L,004,390,125,125-820,false,+390-004-002-390-125-820+,390-004-002-390-125-820,Surkotada|SEAL:S|square|Bull1|RAN|+390-004-002-390-125-820+,0
2026-05-31,3134.1,M-708,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,S,R/L,061,390,140,140,true,+740-061-002-390-140+,740-061-002-390-140,Mohenjo-daro|SEAL:S|square|Bull1:W|S|+740-061-002-390-140+,0
2026-05-31,2737.1,M-213,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:J,RAF,R/L,384,390,346,346,true,+740-384-002-390-346+,740-384-002-390-346,Mohenjo-daro|SEAL:S|square|Bull1:J|RAF|+740-384-002-390-346+,0
2026-05-31,1665.1,H-773,Harappa,TAB:B,Faience,plano-convex,None,None,R/L,803,390,530,530-741,false,+740-798-803-002-390-530-741+,740-798-803-002-390-530-741,Harappa|TAB:B|plano-convex|None|None|+740-798-803-002-390-530-741+,0
2026-05-31,3335.1,-,Unknown,SEAL:S,-,square,Bull1:J,RAF,R/L,032,390,590,590-032,false,+740-205-032-002-390-590-032+,740-205-032-002-390-590-032,Unknown|SEAL:S|square|Bull1:J|RAF|+740-205-032-002-390-590-032+,0
2026-05-31,2598.1,M-70,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:T,SAF,R/L,032,390,692,692,true,+226-032-002-390-692+,226-032-002-390-692,Mohenjo-daro|SEAL:S|square|Bull1:T|SAF|+226-032-002-390-692+,0
2026-05-31,3992.1,M-1825,Mohenjo-daro,SEAL:S,-,square,Bull1,S,R/L,031,390,705,705,true,+157-031-002-390-705+,157-031-002-390-705,Mohenjo-daro|SEAL:S|square|Bull1|S|+157-031-002-390-705+,0
2026-05-31,4237.1,-,Dholavira,SEAL:S,-,square,Bull1:I,RB,R/L,388,390,705,705,true,+151-032-388-002-390-705+,151-032-388-002-390-705,Dholavira|SEAL:S|square|Bull1:I|RB|+151-032-388-002-390-705+,0
2026-05-31,2756.1,M-232,Mohenjo-daro,SEAL:S,Steatite,square,Bull2,SAF,R/L,236,390,707,707,true,+236-002-390-707+,236-002-390-707,Mohenjo-daro|SEAL:S|square|Bull2|SAF|+236-002-390-707+,0
2026-05-31,2569.1,M-41,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,SAN,R/L,235,405,125,125-820,false,+740-636-240-233-235-002-405-125-820+,740-636-240-233-235-002-405-125-820,Mohenjo-daro|SEAL:S|square|Bull1:W|SAN|+740-636-240-233-235-002-405-125-820+,0
2026-05-31,1082.1,H-22,Harappa,SEAL:S,Steatite,square,Bull1:W,SAN,R/L,806,405,321,321,true,+740-920-320-233-806-002-405-321+,740-920-320-233-806-002-405-321,Harappa|SEAL:S|square|Bull1:W|SAN|+740-920-320-233-806-002-405-321+,0
2026-05-31,2562.1,M-34,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,SAN,R/L,176,405,372,372-374,false,+740-336-176-002-405-372-374+,740-336-176-002-405-372-374,Mohenjo-daro|SEAL:S|square|Bull1:W|SAN|+740-336-176-002-405-372-374+,0
2026-05-31,1277.1,H-252,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1278.1,H-253,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1279.1,H-254,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1280.1,H-255,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1281.1,H-256,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1282.1,H-257,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1283.1,H-258,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1284.1,H-259,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1285.1,H-260,Harappa,TAB:B,-,cylindrical,Bull1,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1|None|+520-240-002-405-501+,0
2026-05-31,1286.1,H-261,Harappa,TAB:B,Clay,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1287.1,H-262,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
