"prev","next","count","at_start_count","at_end_count","sites","types","examples"
"520","415","28","0","0","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","221.1;479.1;481.1;485.2;517.1;816.1;841.1;848.1"
"","","19","19","19","Guddal A;Harappa;Kalibangan;Kanmer;Lothal;Mohenjo-daro","MISC;POT:M;POT:T:g;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I","187.2;250.1;252.1;553.2;568.1;984.1;1029.1;1519.1"
"000","","11","0","11","Harappa;Kalibangan;Lothal;Mohenjo-daro;Rakhigarhi","MDLN;POT:T:g;TAB:B;TAB:I;TAG","186.1;308.2;517.2;891.2;1806.1;2086.1;2518.1;2928.2"
"318","415","11","0","0","Harappa","TAB:B","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1"
"740","055","11","0","0","Lothal","TAG;TAG:L;TAG:W","2068.1;2069.1;2070.1;2071.1;2072.1;2112.1;2113.1;2115.1"
"","000","10","10","0","Allahdino;Chandigarh;Chanhu-daro;Dholavira;Harappa","MISC;POT:T:g;POT:T:p;SEAL;TAB:B;TAG","4.1;53.1;115.1;595.1;824.2;925.2;928.1;1159.1"
"240","032","10","0","0","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S","62.1;920.1;1522.1;2417.1;2577.1;2763.1;2837.1;3081.1"
"740","003","10","0","0","Harappa;Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","237.1;1127.1;1884.1;2814.1;3149.1;3713.1;3720.1;3722.1"
"176","235","7","0","0","Harappa","TAB:B","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"520","","7","0","7","Harappa;Mohenjo-daro","SEAL:S;TAB:I","277.2;282.2;739.1;1351.1;1500.1;2710.1;3371.1"
"","032","6","6","0","Farmana;Harappa;Mohenjo-daro","POT:T:g;POT:T:s;SEAL:R;SEAL:S","151.1;175.1;538.1;1555.1;2400.1;3950.1"
"000","000","6","0","0","Banawali;Dholavira;Harappa;Kalibangan","POT:T:g;SEAL;SEAL:S;TAB:B;TAG","166.1;1408.1;1686.2;3377.1;3964.1;5567.1"
"520","016","6","0","0","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","258.1;1153.1;1680.1;1822.1;2510.1;3140.1"
"740","000","6","0","0","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:C;TAG","576.1;1409.1;2111.1;3069.1;3161.1;4191.1"
"740","415","6","0","0","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1234.1;1641.1;1659.1;2953.1;2954.1;3084.1"
"","415","5","5","0","Harappa;Mohenjo-daro","SEAL:R;TAB:I","673.2;770.2;865.2;1025.2;4009.1"
"000","002","5","0","0","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAG:O","223.1;1394.1;1399.1;3540.1;3721.1"
"000","415","5","0","0","Harappa;Mohenjo-daro","ROD;SEAL:R;SEAL:S;TAB:I","1849.1;2902.1;3082.1;4042.1;4044.1"
"002","455","5","0","0","Harappa;Mohenjo-daro","SEAL:S;TAB:B","388.2;1139.1;1293.1;2557.1;2674.1"
