key,cisi,side,source_path,source_route,source_note,signband_readiness,full_panel_path,signband_path
M71_face_A,M-71,A,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\cisi_india_n066_w2000.jpg,public_source_visible_cisi_india_n066,M-71 A/a sit on the same public CISI India n66 plate as M-70; this upgrades repeated 095 from index-hint to source-visible comparator.,inspectable_comparator,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M71_face_A_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M71_face_A_signband.jpg
M71_impression_a,M-71,a,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\cisi_india_n066_w2000.jpg,public_source_visible_cisi_india_n066,M-71 impression crop for source-visible repeated 095 comparator.,inspectable_comparator,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M71_impression_a_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M71_impression_a_signband.jpg
M119_face_A,M-119,A,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_india_n076_w2000.jpg,public_source_visible_cisi_india_n076,"CISI India n76, printed p.41, panel labels M-117 to M-122. M-119 is now public-source-visible, not merely Mayig-overlap.",inspectable_target,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M119_face_A_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M119_face_A_signband.jpg
M119_impression_a,M-119,a,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_india_n076_w2000.jpg,public_source_visible_cisi_india_n076,M-119 impression side. This supplies the strongest public visual route for 125 followed by 632 032.,inspectable_target,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M119_impression_a_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M119_impression_a_signband.jpg
M735_face_A,M-735,A,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_pakistan_n086_w2000.jpg,public_source_visible_cisi_pakistan_n086,"CISI Pakistan n86, printed p.52, panel labels M-734 to M-736. M-735 is now public-source-visible.",inspectable_target,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M735_face_A_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M735_face_A_signband.jpg
M735_impression_a,M-735,a,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_pakistan_n086_w2000.jpg,public_source_visible_cisi_pakistan_n086,M-735 impression side. This is the source-visible candidate for 235 before 002-390 and 125 after it.,inspectable_target,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M735_impression_a_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\M735_impression_a_signband.jpg
Sktd1_face_A,Sktd-1,A,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_india_n397_w2000.jpg,panel_bound_public_cisi_india_n397,CISI India n397 panel-binds Sktd-1 A/a on the Surkotada row. Still weaker than M-119/M-735 because exact side and token sequence remain catalog-mediated.,panel_bound_candidate,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\Sktd1_face_A_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\Sktd1_face_A_signband.jpg
Sktd1_impression_a,Sktd-1,a,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\cisi_india_n397_w2000.jpg,panel_bound_public_cisi_india_n397,"Sktd-1 impression side. Useful for branch ecology, not yet a clean token-box proof.",panel_bound_candidate,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\Sktd1_impression_a_full_panel.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\Sktd1_impression_a_signband.jpg
M70_a_existing,M-70,a,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\cisi_india_n066_w2000.jpg,public_source_visible_cisi_india_n066,Existing source-visible non-125 692 control crop from prior branch-tail acquisition.,inspectable_comparator,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_full_panel_from_cisi_india_n066.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_signband_from_cisi_india_n066.png
M38_context_existing,M-38,context,C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_negative_control_v2\pages\M-38_cisi_india_n55_plate.jpg,public_context_low_readability_cisi_india_n055,Existing public context/panel crop. It remains too faint for token-level promotion.,weak_not_token_boxable,C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_negative_control_v2\panel_crops\M-38_cisi_india_n55_plate_label_free_panel_enhanced_x2.jpg,C:\Users\Acer\OneDrive\Documents\ivc\tmp\source_box_negative_control_v2\panel_crops\M-38_cisi_india_n55_plate_label_free_panel_enhanced_x2.jpg
