"dataset","category","tail_class","y_after_002","y_terminal","post_y_string","next002","core_tail_861_820_817","core_terminal_tail","terminal","before_pair","prev2","prev1","next1","next2","after_pair","tail_string","tail_after_032","text","occurrence_index","row_count","id","ids","cisi","cisis","site","sites","type","types","material","materials","has_slash"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_terminal","","False","","False","False","False","True","<START>-220","<START>","220","<END>","<END>","<END>","<END>","0","+220-032+","1","2",,"151.1;3950.1",,"-;H-1084",,"Farmana;Harappa",,"POT:T:s;SEAL:S",,"Clay;Steatite","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_terminal","","False","","False","False","False","True","000-220","000","220","<END>","<END>","<END>","<END>","0","+000-000-220-032+","3","1",,"2501.1",,"M-1812",,"Mohenjo-daro",,"SEAL:S",,"Steatite","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_002_core_tail","817","True","<END>","True","True","True","False","000-220","000","220","002","817","002-817","002-817","2","+000-220-032-002-817+","2","1",,"3989.1",,"M-1788",,"Mohenjo-daro",,"SEAL:S",,"-","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_non002_tail","","False","","False","False","False","False","055-220","055","220","798","002","798-002","798-002-820","3","+740-055-220-032-798-002-820+","3","1",,"2877.1",,"M-381",,"Mohenjo-daro",,"SEAL:R",,"Steatite","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_non002_tail","","False","","False","False","False","False","070-220","070","220","240","838","240-838","240-838-741-958-220-278","6","+520-070-220-032-240-838-741-958-220-278+","3","1",,"2403.1",,"M-1690",,"Mohenjo-daro",,"SEAL:S",,"Steatite","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_002_other_tail","144","True","<END>","True","False","False","False","094-220","094","220","002","144","002-144","002-144","2","+740-094-220-032-002-144+","3","1",,"2657.1",,"M-130",,"Mohenjo-daro",,"SEAL:S",,"Steatite","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_non002_tail","","False","","False","False","False","False","100-220","100","220","741","361","741-361","741-361","2","+090-740-100-220-032-741-361+","4","1",,"3092.1",,"M-648",,"Mohenjo-daro",,"SEAL:S",,"-","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_terminal","","False","","False","False","False","True","153-220","153","220","<END>","<END>","<END>","<END>","0","+153-220-032+","2","1",,"4286.1",,"-",,"Dholavira",,"TAB:I",,"-","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_terminal","","False","","False","False","False","True","176-220","176","220","<END>","<END>","<END>","<END>","0","+740-176-220-032+","3","2",,"2987.2;2988.2",,"M-511;M-512",,"Mohenjo-daro",,"TAB:C",,"Copper","false"
"frame_text_dedup_unit","non240_a_220_032","a_220_032_002_core_tail","817","True","<END>","True","True","True","False","231-220","231","220","002","817","002-817","002-817","2","+740-231-220-032-002-817+","3","1",,"98.1",,"C-10",,"Chanhu-daro",,"SEAL:S",,"Steatite","false"
