tail_after_002_861,rows,register_cells,linguistic_weight_cells,tail_len,source_visible_rows,source_pending_target_rows,site_counts,type_counts,symbol_counts,shape_counts,class_counts,prefix_last2_counts,tail_ecology_class,occurs_anywhere,independent_occurrences,independent_registers,independent_examples,examples
<END>,113,58,58,0,7,2,Mohenjo-daro:69;Harappa:25;Dholavira:6;Kalibangan:4;Lothal:4;Chanhu-daro:3;Bakkar Buthi:1;Unknown:1,SEAL:S:76;TAB:B:17;SEAL:R:8;TAG:L:3;TAG:3;POT:T:g:2;SEAL:2;MISC:1;ROD:1,None:24;Bull1:W:23;Bull1:S:11;Bull1:10;Bull1:J:9;Elep:6;Gaur:4;Bull1:L:4;Phyt:3;-:3,square:77;-:10;rectangular:10;prism:4;cuboid-convex:4;twisted rectangular-rounded:3;oval:1;rectangular-rounded:1;elliptical:1;rectangular-round:1,SP:38;IT:27;LP:20;IM:14;??:9;SC:4;IC:1,482 240:7;220 032:5;390 590:3;390 003:3;740 176:3;220 003:2;407 004:2;555 235:2;236:2;415 798:2,bare_closure_background,,,,,- +405-844-032-840-002-861+;C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;C-74 +125-002-861+;- +740-416-002-861+;- +390-016-002-861+;Dlv-1 +151-382-031-002-861+;H-1051 +400-740-575-017-920-320-798-002-861+;H-1030 +090-740-103-002-861+;H-1043 +151-760-220-003-002-861+
416,6,1,1,1,0,0,Harappa:6,TAB:I:6,None:6,rectangular:6,SS:6,<START>:6,broad_formula_or_background_control,45,39,Harappa|TAB:I|None|rectangular:7;Mohenjo-daro|SEAL:S|Bull1:W|square:4;Mohenjo-daro|SEAL:S|Bull1:S|square:4;Harappa|POT:T:s|None|rectangular:3;Dholavira|SEAL:S|Bull1:V|square:2;Mohenjo-daro|SEAL:S|Bull1|square:2;Mohenjo-daro|SEAL:R|None|rectangular:2;Dholavira|SEAL:S|Tigr|square:1,- +740-416-002-861+;H-911 +416-590-033+;H-1192 +400-740-767-220-416+;H-2099 +416-590-033+;H-2119 +740-416+;H-1753 +416+;- +416+;H-1751 +416+,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
603,3,3,3,1,1,0,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,Gaur:1;Bull1:W:1;None:1,square:2;rectangular:1,LP:2;IT:1,220 032:1;798 803:1;740 055:1,mixed_post861_and_independent,7,4,Harappa|TAB:B|None|rectangular:3;Unknown|SEAL:C|Scene|circular:1,H-1138 +740-603-240-060-692+;H-1846 +740-603-240-060-692+;- +000-603-091-190+;H-1137 +740-603-240-060-692+,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
533 717,2,1,1,2,2,0,Mohenjo-daro:2,SEAL:R:2,None:2,cuboid-convex:2,IT:1;LP:1,100 176:1;233 805:1,restricted_repeated_cell,2,0,,,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
698,2,1,1,1,0,0,Mohenjo-daro:2,SEAL:S:2,None:2,square:2,SS:2,<START>:2,broad_formula_or_background_control,9,7,Harappa|POT:T:g|None|-:4;Harappa|TAB:B|None|rectangular:2;Mohenjo-daro|SEAL:S|Bull1:L|square:1,- +698+;H-1892 +400-698+;H-1549 +698+;- +000-698+;H-1547 +034-698+;H-210 +698+;M-1824 +401-698+,M-329 +002-861-698+;M-330 +002-861-698+
000,1,1,1,1,0,0,Allahdino:1,MISC:1,Elep:1,square:1,??:1,440 503:1,broad_formula_or_background_control,810,809,Harappa|TAB:B|None|rectangular:44;Harappa|TAB:I|None|rectangular:29;Harappa|TAB:B|None|cylindrical:28;Harappa|POT:T:g|None|-:24;Mohenjo-daro|SEAL:S|Bull1|square:20;Harappa|TAB:I|Bult|prism:15;Mohenjo-daro|ROD|None|-:15;Mohenjo-daro|SEAL:S|Bull1:S|square:13,- +220-000+;Blk-3 +000-388-233-000-000+;Blk-3 +000-388-233-000-000+;Blk-3 +000-388-233-000-000+;- +000+;B-35 +700-000+;- +000-000-000+;- +000-000-000+,Ad-8 +740-440-503-002-861-000+
031,1,1,1,1,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,SP:1,773 240:1,singleton_simple_tail_source_target,205,204,Mohenjo-daro|SEAL:S|Bull1:S|square:14;Mohenjo-daro|SEAL:S|Bull1:W|square:13;Harappa|POT:T:g|None|-:9;Mohenjo-daro|SEAL:S|Bull1:J|square:8;Harappa|TAB:I|None|rectangular:7;Mohenjo-daro|SEAL:S|Bull1|square:7;Mohenjo-daro|SEAL:S|Bull1:U|square:6;Nausharo|POT:T:g|-|-:6,C-88 +031-705-167+;C-54 +842-032-031-592-031-060-920+;C-54 +842-032-031-592-031-060-920+;C-1 +031-840-140-740-101-002-365-287-034+;C-12 +161-390-590-031-740-060-920+;C-15 +740-400-920-031+;C-20 +151-790-031-790-495+;C-34 +032-031-390-844-000-000-032-803-220+,M-706 +740-773-240-002-861-031+
032 520 919 140,1,1,1,4,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,LP:1,070 219:1,singleton_complex_tail_source_target,1,0,,,M-1661 +520-070-219-002-861-032-520-919-140+
036 460 513,1,1,1,3,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,LC:1,390 005:1,singleton_complex_tail_source_target,1,0,,,M-20 +390-005-002-861-036-460-513+
096,1,1,1,1,0,0,Mohenjo-daro:1,ROD:1,None:1,-:1,SC:1,<START>:1,singleton_simple_tail_source_target,2,1,Mohenjo-daro|SEAL:S|None|square:1,M-1193 +143-096+,M-2089 +002-861-096+
