row_type,layer,evidence_ref,observed_fact,status,claim_effect
local_column,local_filtered_lipi,data/open_prototype/lipi/metadata_filtered.csv:1,Column dir. exists in the retained local Lipi metadata fields,corpus_field_available,Direction is a corpus metadata field not a visual result produced by component probes
target_row,local_filtered_lipi,data/open_prototype/lipi/metadata_filtered.csv:2463,H-910 row 1792.2 has dir. R/L and text +700-034+,copied_from_lipi_metadata,H-910 component assignment under R/L is a working-corpus consequence
target_row,local_filtered_lipi,data/open_prototype/lipi/metadata_filtered.csv:2515,H-938 row 1818.2 has dir. R/L and text +034-700+,copied_from_lipi_metadata,H-938 component assignment under R/L is a working-corpus consequence
upstream_match,current_yajnadevam_lipi,tmp/lipi_current_inscriptions_20260526.csv,H-910 and H-938 target rows match current upstream Lipi dir./text values checked on 2026-05-26,inherited_from_upstream_lipi,Local R/L values were not invented in this project but upstream authority is still not source-proven here
script_propagation,local_tools,data/open_prototype/tools/lipi_scope_probe.mjs:205,Scope probe reads row[column['dir.']] through cleanDirection and writes direction downstream,copied_or_normalized_not_computed,No local image or component script derives R/L from source panels
script_propagation,local_tools,data/open_prototype/tools/lipi_multiside_mark_scope_probe.mjs:209,Multiside probe uses the same dir. column copy path,copied_or_normalized_not_computed,Downstream reports inherit direction rather than validating it
component_gate,source_component_probes,data/open_prototype/reports/lipi_034_m1206_h938_h910_direction_sensitivity_gate.csv,The H-938/H-910 component gate consumes recorded R/L and records forced L/R only as a counterfactual,consequence_test_not_direction_source,Recorded R/L makes direct component-level 034=415 negative; forced L/R is unresolved not accepted
clean_panel_controls,source_visible_controls,data/open_prototype/reports/lipi_frame700_034_clean_two_panel_close_read.csv,H-930 and H-789 validate clean A/B-to-short/long panel split but record no independent visible direction basis,panel_split_yes_direction_no,Clean source panels do not prove the 032/033/034 direction policy
same_object_control,source_visible_h938,data/open_prototype/reports/lipi_034_m1206_h938_same_object_source_panel_audit.csv,H-938 A/A bis are exact-side 415 controls and H-938 B is companion +034-700+,source_side_mapping_yes_direction_from_corpus,H-938 is real same-object 034/415 pressure but not direct component identity
side_policy_gate,source_policy,data/open_prototype/reports/h786_h941_h938_h940_415_side_policy_gate_adjudication.csv,CISI A/B labels are physical or photo side labels while M77/local .1/.2 are analytic row ordinals,global_side_order_rejected,Do not infer local row order or direction from publication side labels alone
source_convention,source_policy,docs/lipi_034_m1206_h938_h910_direction_sensitivity_gate.md,CISI original/impression convention blocks silent reversal from scan orientation alone,visual_reversal_forbidden,Direction must come from source notes corpus convention or independent controls
decision,current_research_state,docs/lipi_034_m1206_direction_policy_provenance.md,Recorded R/L is usable as a working corpus policy but is not source-grade direction proof,conditional_use_only,034=415 remains rejected under recorded R/L and unresolved if direction policy fails
