"id","cisi","site","type","material","condition","complete","text","signs","length","position_0","position_1","prev","next","frame","known_next","damaged_or_open","clean_closed","exact_triplet_whole_row","exact_triplet_formula","exact_triplet_by_prev_frame","source_hint_present","source_hint_count","source_hint_statuses","source_hint_reports"
"4.1","-","Allahdino","POT:T:g","Clay","Poor","N","+220-000+","220-000","2","0","1","<START>","000","<START>-220-000","true","false","true","false","","false","false","0","",""
"27.1","B-1","Banawali","SEAL:S","Steatite","Fair","Y","+090-740-220-002-368-550-821+","090-740-220-002-368-550-821","7","2","3","740","002","740-220-002","true","false","true","false","","false","false","0","",""
"28.1","B-3","Banawali","SEAL:S","-","Poor","Y","+220-014+","220-014","2","0","1","<START>","014","<START>-220-014","true","false","true","false","","false","false","0","",""
"41.1","B-23","Banawali","TAG","-","Poor","?","+520-220-002[","520-220-002","3","1","2","520","002","520-220-002","true","true","false","false","","false","false","0","",""
"53.1","Ch-1","Chandigarh","POT:T:g","Clay","Fair","N","+220-000-740-550-705+","220-000-740-550-705","5","0","1","<START>","000","<START>-220-000","true","false","true","false","","false","false","0","",""
"62.1","C-65","Chanhu-daro","SEAL:S","Steatite","Good","N","+000-100-240-220-032-002-861+","000-100-240-220-032-002-861","7","3","4","240","032","240-220-032","true","false","true","false","","false","false","0","",""
"63.1","C-64","Chanhu-daro","SEAL:S","Steatite","Poor","N","]000-220-838-033-705-240+","000-220-838-033-705-240","6","1","2","000","838","000-220-838","true","true","false","false","","false","false","0","",""
"83.1","C-62","Chanhu-daro","SEAL:S","Steatite","Poor","?","]176-220-415-060-920+","176-220-415-060-920","5","1","2","176","415","176-220-415","true","true","false","false","","false","false","0","",""
"98.1","C-10","Chanhu-daro","SEAL:S","Steatite","Poor","Y","+740-231-220-032-002-817+","740-231-220-032-002-817","6","2","3","231","032","231-220-032","true","false","true","false","","false","false","0","",""
"101.1","C-13","Chanhu-daro","SEAL:S","Steatite","Poor","N","]000-220-032-060-766+","000-220-032-060-766","5","1","2","000","032","000-220-032","true","true","false","false","","false","false","0","",""
"115.1","C-33","Chanhu-daro","MISC","Steatite","Poor","N","+220-000-740/741-255+","220-000-740-741-255","5","0","1","<START>","000","<START>-220-000","true","false","true","false","","false","false","0","",""
"116.1","C-34","Chanhu-daro","TAB:B","Clay","Poor","N","+032-031-390-844-000-000-032-803-220+","032-031-390-844-000-000-032-803-220","9","8","9","803","<END>","803-220-<END>","false","false","true","false","","false","false","0","",""
"119.1","C-38","Chanhu-daro","MISC","Copper","Poor","N","+220-063-706-000+","220-063-706-000","4","0","1","<START>","063","<START>-220-063","true","false","true","false","","false","false","0","",""
"121.1","C-40","Chanhu-daro","IMPL","Copper","Poor","Y","+390-095-909-005-825-776-220-016+","390-095-909-005-825-776-220-016","8","6","7","776","016","776-220-016","true","false","true","false","","false","false","0","",""
"130.1","-","Dholavira","SEAL:S","Steatite","Fair","Y","+244-165/740-879-220-416-803-002-861+","244-165-740-879-220-416-803-002-861","9","4","5","879","416","879-220-416","true","false","true","false","","false","false","0","",""
"149.1","-","Farmana","SEAL:S","Steatite","Good","Y","+240-220+","240-220","2","1","2","240","<END>","240-220-<END>","false","false","true","false","","false","false","0","",""
"151.1","-","Farmana","SEAL:S","Steatite","Fair","Y","+220-032+","220-032","2","0","1","<START>","032","<START>-220-032","true","false","true","false","","false","false","0","",""
"166.1","H-1392","Harappa","POT:T:g","-","Poor","N","+000-220-000+","000-220-000","3","1","2","000","000","000-220-000","true","false","true","true","000-220-000","true","false","0","",""
"173.1","H-1086","Harappa","POT:T:s","Clay","Poor","Y","+220-016+","220-016","2","0","1","<START>","016","<START>-220-016","true","false","true","false","","false","false","0","",""
"174.1","H-1394","Harappa","POT:T:g","Clay","Poor","?","]590-220-003+","590-220-003","3","1","2","590","003","590-220-003","true","true","false","false","","false","false","0","",""
"175.1","H-1418","Harappa","POT:T:g","Clay","Poor","?","]220-032+","220-032","2","0","1","<START>","032","<START>-220-032","true","true","false","false","","false","false","0","",""
"185.1","H-1410","Harappa","POT:T:g","Clay","Poor","?","]080-388-220[","080-388-220","3","2","3","388","<END>","388-220-<END>","false","true","false","false","","false","false","0","",""
"186.1","H-1403","Harappa","POT:T:g","Clay","Poor","N","]000-000-220+","000-000-220","3","2","3","000","<END>","000-220-<END>","false","true","false","false","","false","false","0","",""
"187.2","H-1282","Harappa","TAB:I","Steatite","Poor","?","]220[","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"199.1","H-423","Harappa","SEAL:S","Steatite","Poor","Y","+520-220-240-798-060-692+","520-220-240-798-060-692","6","1","2","520","240","520-220-240","true","false","true","false","","false","false","0","",""
"206.1","H-1404","Harappa","POT:T:g","Clay","Poor","N","]000-220-840[","000-220-840","3","1","2","000","840","000-220-840","true","true","false","false","","false","false","0","",""
"217.1","H-294","Harappa","TAB:I","Steatite","Good","Y","+090-740-240-220+","090-740-240-220","4","3","4","240","<END>","240-220-<END>","false","false","true","false","","false","false","0","",""
"220.1","H-1142","Harappa","TAB:B","Faience","Fair","Y","+400-154-440-220+","400-154-440-220","4","3","4","440","<END>","440-220-<END>","false","false","true","false","","false","false","0","",""
"221.1","H-1326","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"223.1","H-1042","Harappa","SEAL:S","Steatite","Poor","N","+740-923-000-220-002-817+","740-923-000-220-002-817","6","3","4","000","002","000-220-002","true","false","true","false","","false","false","0","",""
"237.1","H-1056","Harappa","SEAL:S","Steatite","Fair","Y","+400-090-740-220-003+","400-090-740-220-003","5","3","4","740","003","740-220-003","true","false","true","false","","false","false","0","",""
"250.1","H-1166","Harappa","TAB:I","Steatite","Poor","Y","+220+","220","1","0","1","<START>","<END>","<START>-220-<END>","false","false","true","false","","false","false","0","",""
"252.1","H-1174","Harappa","TAB:I","Steatite","Poor","?","]220[","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"258.1","H-1121","Harappa","TAB:B","Faience","Poor","Y","+400-520-220-016+","400-520-220-016","4","2","3","520","016","520-220-016","true","false","true","false","","false","false","0","",""
"277.2","H-1184","Harappa","TAB:I","Steatite","Poor","?","+520-220[","520-220","2","1","2","520","<END>","520-220-<END>","false","true","false","false","","false","false","0","",""
"282.2","H-1330","Harappa","TAB:I","Steatite","Fair","Y","+520-220+","520-220","2","1","2","520","<END>","520-220-<END>","false","false","true","false","","false","false","0","",""
"291.1","-","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"293.1","H-1033","Harappa","SEAL:S","Steatite","Poor","Y","+220-500-520-002-862-032+","220-500-520-002-862-032","6","0","1","<START>","500","<START>-220-500","true","false","true","false","","false","false","0","",""
"302.2","H-1152","Harappa","TAB:B","Faience","Poor","?","]220-700[","220-700","2","0","1","<START>","700","<START>-220-700","true","true","false","false","","false","false","0","",""
"303.1","H-1043","Harappa","SEAL:S","Steatite","Poor","Y","+151-760-220-003-002-861+","151-760-220-003-002-861","6","2","3","760","003","760-220-003","true","false","true","false","","false","false","0","",""
"308.2","-","Harappa","TAB:I","Steatite","Poor","N","+000-220+","000-220","2","1","2","000","<END>","000-220-<END>","false","false","true","false","","false","false","0","",""
"311.1","H-1192","Harappa","TAB:I","Steatite","Fair","Y","+400-740-767-220-416+","400-740-767-220-416","5","3","4","767","416","767-220-416","true","false","true","false","","false","false","0","",""
"311.2","H-1192","Harappa","TAB:I","Steatite","Fair","Y","+700-220-004+","700-220-004","3","1","2","700","004","700-220-004","true","false","true","true","700-220-004","true","false","0","",""
"313.1","H-1123","Harappa","TAB:B","Faience","Good","Y","+525-550-220+","525-550-220","3","2","3","550","<END>","550-220-<END>","false","false","true","true","525-550-220","false","false","0","",""
"318.1","H-1028","Harappa","SEAL:S","Steatite","Poor","Y","+220-016+","220-016","2","0","1","<START>","016","<START>-220-016","true","false","true","false","","false","false","0","",""
"388.2","H-1874","Harappa","TAB:B","Faience","Poor","N","+002-220-455-000+","002-220-455-000","4","1","2","002","455","002-220-455","true","false","true","false","","false","false","0","",""
"416.1","H-2035","Harappa","TAB:I","Steatite","Poor","Y","+220-233+","220-233","2","0","1","<START>","233","<START>-220-233","true","false","true","false","","false","false","0","",""
"467.2","H-1825","Harappa","TAB:B","Faience","Good","Y","+740-176-220+","740-176-220","3","2","3","176","<END>","176-220-<END>","false","false","true","true","740-176-220","false","false","0","",""
"479.1","H-1669","Harappa","SEAL:S","Steatite","Poor","Y","+520-220-415-060-920+","520-220-415-060-920","5","1","2","520","415","520-220-415","true","false","true","false","","false","false","0","",""
