score,lane_class,feature,value,rows,non_bare_rows,family_cells,source_ready_rows,source_ready_non_bare_rows,tail_distribution,tail_class_distribution,register_distribution,site_distribution,examples
54,source_live_tail_choice_field,prefix_last1,032,10,2,10,5,2,<END>:8;255 416:1;603:1,closure:8;fixed_pair:1;simple_single:1,Chanhu-daro|SEAL:S|Bull1:W|square:2;Mohenjo-daro|SEAL:S|Bull1:W|square:2;Harappa|SEAL:S|Bull1:W|square:1;Harappa|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull|square:1,Mohenjo-daro:6;Chanhu-daro:2;Harappa:2,C-65 +000-100-240-220-032-002-861+;C-60 +740-176-032-002-861+;H-444 +241-220-032-002-861+;H-597 +740-390-590-070-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-21 +350-001-740-362-692-032-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-240 +520-240-220-032-002-861-603+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+
53,source_live_tail_choice_field,prefix_last2,220 032,7,2,7,5,2,<END>:5;255 416:1;603:1,closure:5;fixed_pair:1;simple_single:1,Chanhu-daro|SEAL:S|Bull1:W|square:1;Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull|square:1,Mohenjo-daro:5;Chanhu-daro:1;Harappa:1,C-65 +000-100-240-220-032-002-861+;H-444 +241-220-032-002-861+;M-1763 +416-001-565-740-220-032-002-861+;M-91 +740-100-798-220-032-002-861-255-416+;M-240 +520-240-220-032-002-861-603+;M-723 +740-460-510-235-220-032-002-861+;M-1044 +520-220-032-002-861+
45,source_live_tail_choice_field,prefix_last1,176,6,2,6,2,1,<END>:4;392:1;533 717:1,closure:4;simple_single:1;fixed_pair:1,Lothal|SEAL:S|Gaur|square:1;Mohenjo-daro|POT:T:g|None|-:1;Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1,Mohenjo-daro:5;Lothal:1,L-46 +527-388-233-740-176-002-861-392+;M-2060 +740-176-002-861+;M-1880 +151-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+;M-376 +740-100-176-002-861-533-717+
37,singleton_contrast_watch,prefix_last1,235,8,1,8,1,1,<END>:7;360 520 919 140:1,closure:7;long_continuation:1,Mohenjo-daro|SEAL:S|Bull1:W|square:2;Lothal|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:S|Bull1|square:1;Mohenjo-daro|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:S|Elep|square:1;Mohenjo-daro|SEAL|None|-:1,Mohenjo-daro:7;Lothal:1,L-89 +527-555-235-002-861+;M-1842 +520-000-235-002-861+;M-47 +740-760-235-002-861+;M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+;M-653 +679-740-235-002-861+;M-934 +526-555-235-002-861+;M-1152 +740-032-840-235-002-861+;M-1343 +740-390-590-235-002-861+
37,source_acquisition_exact_preframe_split,prefix,NULL,9,9,4,0,0,416:6;698:2;096:1,simple_single:9,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
36,source_acquisition_exact_preframe_split,prefix_last3,<START>,9,9,4,0,0,416:6;698:2;096:1,simple_single:9,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
36,source_acquisition_exact_preframe_split,prefix_last2,<START>,9,9,4,0,0,416:6;698:2;096:1,simple_single:9,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
34,background_or_low_payoff,prefix_last1,<START>,9,9,4,0,0,416:6;698:2;096:1,simple_single:9,Harappa|TAB:I|None|rectangular:6;Mohenjo-daro|SEAL:S|None|square:2;Mohenjo-daro|ROD|None|-:1,Harappa:6;Mohenjo-daro:3,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+;M-2089 +002-861-096+;M-329 +002-861-698+;M-330 +002-861-698+
31,background_or_low_payoff,prefix_last1,031,7,2,7,0,0,<END>:5;244 165:1;791 440 717:1,closure:5;fixed_pair:1;long_continuation:1,Mohenjo-daro|SEAL:S|Elep|square:2;Dholavira|SEAL:S|Bull1:J|square:1;Harappa|TAB:B|None|rectangular:1;Harappa|SEAL:R|None|cuboid-convex:1;Kalibangan|SEAL:S|Elep|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,Mohenjo-daro:3;Harappa:2;Dholavira:1;Kalibangan:1,Dlv-1 +151-382-031-002-861+;H-1851 +740-803-892-031-002-861+;H-129 +409-061-740-235-220-031-002-861-244-165+;K-40 +760-031-002-861-791-440-717+;M-941 +000-642-240-031-002-861+;M-1160 +000-136-031-002-861+;M-1161 +520-233-031-002-861+
29,background_or_low_payoff,prefix_last1,798,8,2,8,0,0,<END>:6;216:1;832:1,closure:6;simple_single:2,Mohenjo-daro|SEAL:S|Bull1:W|square:4;Harappa|SEAL:S|Bull1:I|square:1;Harappa|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1;Mohenjo-daro|TAB:B|None|prism:1,Mohenjo-daro:6;Harappa:2,H-1051 +400-740-575-017-920-320-798-002-861+;H-446 +740-585-798-002-861-216+;M-1681 +520-072-233-740-798-002-861-832+;M-1954 +740-407-590-031-752-033-705-220-415-798-002-861+;M-629 +679-740-176-240-798-002-861+;M-793 +740-388-235-240-798-002-861+;M-815 +520-070-233-798-002-861+;M-1426 +740-760-036-220-415-798-002-861+
