rank,id,tier,action,claim,basis,weakness,next_test,source
1,minimal_role_backbone,promoted candidate,promote_as_current_core_model,"The strongest current model is a split partial-order role grammar: hard-core edges 740->002, 002->{861,820}, and 806->002; carrier-scoped tablet/account edge 400->740; softer 817 terminal-partner edges; 407 as rect/copper entry into the 806 boundary zone.","Partial-order grammar: Usable constraints=9; passed=9; satisfied rows=1090/1126 (0.9680284191829485). Row-internal shuffle FPRs: passed-constraints=0, satisfied-share=0. Failed usable constraints: none.; cross-site destructive check: 8/8 train/test experiments survive strict gate. No learned constraint conflicts with the current core in any experiment. Weak/mixed experiments: none.; family-collapse destructive check: Carrier-family collapse: 9/9 constraints survive; weak=none; too-few=none. Broad-family collapse: 8/9 survive; weak=400_before_740; too-few=none.; length-strata destructive check: Length buckets: short_1_3:9/9,72/74,fpr=0; medium_4_6:9/9,695/712,fpr=0; long_7_9:7/9,271/284,fpr=0; very_long_10_plus:9/9,52/56,fpr=0. Carrier buckets: carrier_tablet_account:8/9,183/188,fpr=0; carrier_rect_copper:9/9,125/126,fpr=0; carrier_square_seal:8/9,691/715,fpr=0; carrier_round_seal:1/1,1/1,fpr=null; carrier_other:8/9,90/96,fpr=0. Weak/mixed slices: long_7_9:400_before_740:7/9;740_before_817:11/14; carrier_tablet_account:740_before_820:4/6; carrier_square_seal:400_before_740:9/18; carrier_other:400_before_740:11/14; medium_4_6_tablet_account:002_before_817:6/8; medium_4_6_square_seal:400_before_740:6/14; long_7_9_square_seal:740_before_817:9/12.; header MI=Canonical rows=3503; I(first sign; carrier class)=0.602323732569153 bits. Row-internal shuffle FPR=0; carrier-label shuffle FPR=0. Carrier classes: square_seal_SEALS:1545;tablet_account_TAB_BI:765;rect_copper_SEALR_TABC:444;pottery_graffiti_POT:328;other:257;tag:127;round_cylinder_seal:37. Top contributors: 400->tablet_account_TAB_BI:178 obs, lift=1.694 bits, contribution=0.0861; 740->square_seal_SEALS:510 obs, lift=0.357 bits, contribution=0.0519; 520->square_seal_SEALS:130 obs, lift=0.720 bits, contribution=0.0267; 407->rect_copper_SEALR_TABC:34 obs, lift=2.608 bits, contribution=0.0253; 700->tablet_account_TAB_BI:33 obs, lift=1.918 bits, contribution=0.0181; 000->pottery_graffiti_POT:70 obs, lift=0.874 bits, contribution=0.0175; 000->tag:39 obs, lift=1.399 bits, contribution=0.0156; 151->square_seal_SEALS:51 obs, lift=0.853 bits, contribution=0.0124; 390->square_seal_SEALS:62 obs, lift=0.535 bits, contribution=0.0095; 154->rect_copper_SEALR_TABC:16 obs, lift=2.026 bits, contribution=0.0093.; 400 tablet=All canonical: 187/765 TAB:B/I rows vs 100/2738 background, rank 1/714, Bonferroni=3.631762848429207e-59, maxstat=0. Complete-only Bonferroni=3.5996584251285636e-45; non-poor Bonferroni=2.424118977748434e-35; without Harappa Bonferroni=0.0010005465276657977; without Mohenjo-daro Bonferroni=8.531697568669414e-50. Inside TAB:B/I rows, 400 is initial in 178/190, rank 1/306, Bonferroni=8.44070657051313e-85, maxstat=0. Support by type: TAB:B:122;TAB:I:65;SEAL:S:56;SEAL:R:15;POT:T:g:11;ROD:8;SEAL:C:2;TAG:2;SEAL:2;MISC:1;POT:T:s:1;SEAL:CY:1;MDLN:1. Support by material: Steatite:120;Faience:69;NA:53;Clay:35;Ivory:8;Terracotta:2. Support by shape: rectangular:98;square:59;NA:31;prism:20;cylindrical:19;circular:16;cuboid:7;cuboid-convex:6;rectangular-round:5;oval:4;notched oval:4;semi-circular:2;isosceles trapezoid:2;heart:2;twisted rectangular-rounded:2;twisted rectangular:2;unusual:1;twisted cuboid:1;triangular:1;hexagonal:1;plano-convex:1;crescent:1;hare:1;conical:1. Support by site: Harappa:189;Mohenjo-daro:73;Kalibangan:7;Dholavira:5;Nausharo:3;Chanhu-daro:2;Ganweriwala:2;Rakhigarhi:1;Rajanpur:1;Lothal:1;Nindowari-damb:1;Rupar:1;Unknown:1.; 400-before-740=All canonical co-occurrence rows=140; 400 before 740=127, 740 before 400=13, binomial=5.72448125114425e-25, all-pair rank=16/195, row-shuffle maxstat=0. Account/rectangular universe: 107/108; tablet-account only: 104/105. Controls passing strict directional test=5/6.; 740 hub=All canonical: 740 rank 1/13 among precedence hubs with 26 qualified outgoing edges and 2681 total edge rows. Row-internal shuffle maxstat FPR=0. Controls passing=3/4. Top target edges: 740->002:332/333,p=1.9087889434414012e-98;740->240:147/151,p=7.491876535969406e-39;740->220:143/147,p=1.0762804016783286e-37;740->235:112/112,p=1.9259299443872444e-34;740->032:137/147,p=5.7343719733273904e-30;740->176:96/96,p=1.2621774483536262e-29;740->000:212/254,p=8.487342257368877e-29;740->760:97/98,p=3.1238891846752085e-28;740->060:100/102,p=1.0361687990078004e-27;740->861:89/89,p=1.6155871338926397e-27;740->741:91/92,p=1.878120043150177e-26;740->100:91/92,p=1.878120043150177e-26.; 002 bridge=All canonical: 002 bridge rank 1/48; in_edges=17, out_edges=3, bridge_edges=3. Immediate next terminal partners=361/725, Fisher=0. Bridge maxstat FPR=0; terminal-next FPR=0; controls passing=4/4. Incoming: 740->002:332/333;240->002:80/80;520->002:66/69;220->002:90/102;235->002:56/57;233->002:53/54;032->002:84/98;760->002:38/38;033->002:49/55;100->002:30/30. Outgoing: 002->861:149/154;002->817:124/129;002->820:96/100.; 407/806 split=In 444 canonical SEAL:R/TAB:C rows, 407 has 34/55 initial occurrences and 0/55 boundary-next occurrences; 806 has 3/51 initial occurrences and 29/51 boundary-next occurrences. Direct 407-vs-806 initial Fisher=3.7369995725383713e-10; direct 806-vs-407 boundary Fisher=1.7478476262987026e-12; composite score=21.18497338276392. Ordered-pair rank=13/2256; frequency-matched rank=2/240. Co-occurrence rows=5; 407 precedes 806 in 4/5, 806 precedes 407 in 1/5..","No sound values, language ID, or translation; 400->002 direct edge and 407->806 direct edge are weak when isolated, so the model is backbone-level, not a complete grammar. Slice stress: without both Harappa and Mohenjo-daro 9/9 constraints pass with 184/194 rows satisfied. 400_before_740 is carrier-scoped, not universal: tablet/account 104/105, square Bull1:W 0/2, other square 9/16. Family collapse confirms this: Carrier-family collapse: 9/9 constraints survive; weak=none; too-few=none. Broad-family collapse: 8/9 survive; weak=400_before_740; too-few=none.. Length stress further demotes peripheral edges: Length buckets: short_1_3:9/9,72/74,fpr=0; medium_4_6:9/9,695/712,fpr=0; long_7_9:7/9,271/284,fpr=0; very_long_10_plus:9/9,52/56,fpr=0. Carrier buckets: carrier_tablet_account:8/9,183/188,fpr=0; carrier_rect_copper:9/9,125/126,fpr=0; carrier_square_seal:8/9,691/715,fpr=0; carrier_round_seal:1/1,1/1,fpr=null; carrier_other:8/9,90/96,fpr=0. Weak/mixed slices: long_7_9:400_before_740:7/9;740_before_817:11/14; carrier_tablet_account:740_before_820:4/6; carrier_square_seal:400_before_740:9/18; carrier_other:400_before_740:11/14; medium_4_6_tablet_account:002_before_817:6/8; medium_4_6_square_seal:400_before_740:6/14; long_7_9_square_seal:740_before_817:9/12.. Hard-core edges now mean no bad length/carrier slices, not just high global row share.","In next EXPAND, predict held-out row order using hard-core edges first. Treat 400->740 only inside tablet/account contexts and use 817 edges only as soft predictions.",risky_role_partial_order_grammar_20260531.json
2,806_boundary_context_merge,promoted candidate,merge_not_split,"806 should be treated as a boundary/pivot role sign whose distribution is carrier/icon conditioned, not as contradictory separate discoveries.",rect/copper 806 boundary share=0.5294117647058824 (27/51); Bull1:W square 806 boundary share=0.55 (11/20); other square 806 boundary share=0.75 (3/4).,Bull1:W enrichment of 806 is only candidate-level because leave-Harappa weakens the icon-specific claim.,"Test new 806 rows by predicting boundary position first, then carrier/icon enrichment second. A run of non-boundary 806 in Bull1:W rows breaks the merge.",metadata_filtered.csv + risky_405806_bull1w_icon_subtype_forger_20260531.json
3,405806_bull1w_subtype,candidate,keep_but_demote_below_backbone,"405/806 are a Bull1:W square-seal subtype-marker family, with 806 also participating in the backbone boundary role.","SEAL:S either 405/806: 35/374 vs 9/1171, p=6.020420199833131e-15, pair-rank=1/151525, target-label FPR=0. SEAL:S 405 alone: 19/374 vs 5/1171, rank=2/551, Bonferroni=0.000009303755079419767, maxstat=0. SEAL:S 806 alone: 20/374 vs 4/1171, rank=1/551, Bonferroni=6.941543638299855e-7, maxstat=0. Controls: square either p=7.228146492803221e-13, FPR=0; complete p=0.00007007039121420008, FPR=0; non-poor p=0.0003049036093433969, FPR=0.0002; without Mohenjo p=0.00000280502271942147, FPR=0; without Harappa p=0.026013649969892624, FPR=0.0244.",Overall hostile FPR is 0.025 because leave-Harappa weakens; this is probably Harappa-weighted or regional unless new non-Harappa rows strengthen it.,"Next EXPAND should test whether Bull1:W rows with 405/806 have a consistent sub-icon/cult/neighbor profile, and should make a held-out prediction for non-Harappa Bull1:W rows.",risky_405806_bull1w_icon_subtype_forger_20260531.json
4,741_bull1_jl_subtype,candidate,demote_from_clean_subtype_to_broad_bull_motif,"741 remains a bull-icon motif candidate with J/L enrichment, but not a clean Bull1:J/L subtype marker.","Bull1:J/L all: 40/232 vs 158/3271, rank 1/714, Bonferroni=2.933653680332997e-8, maxstat=0. Complete fisher=1.5977678163205364e-7; non-poor fisher=0.000020389883525211686; without Mohenjo fisher=0.000004239893976276617; without Harappa fisher=5.825736954411613e-8. Same-type SEAL:S fisher=0.00012867791452414074, Bonferroni=0.07090153090280155. Bull1-variants-only fisher=0.00018448504419707663, Bonferroni=0.09132009687755294. Sub-motif 741-060-920 rows=36; Bull1:J/L rows=8/36.",Direct icon discriminator demotes clean subtype reading: W 741=25/374; J/L 741=40/229; other Bull1 741=52/517. It also competes with broad square-seal/740 opener structure and is less central to the role backbone.,"Next EXPAND should test whether 741 predicts a neighbor motif or terminal path, not just a Bull1 variant label.",risky_741_bull1_jl_icon_subtype_forger_20260531.json
5,external_commodity_register_bridge,candidate,keep_as_v1_direction,The external Meluhha direction currently favors commodity/register bridges over object-level personal-name readings.,"Cuneiform unique rows=16. Class counts: commodity_route_object:10;ethnonym_title_origin:3;onomastic:3. Direct class counts: commodity_route_object:10;ethnonym_title_origin:3;onomastic:2. Direct commodity/register=10; direct onomastic=2. Indus side: 407 register tier=promoted candidate; 740/407 opener tier=promoted candidate; 407/806 slot split tier=promoted candidate. Indus side broad register: All canonical: 53/444 register rows vs 17/3059 background, rank 1/714, Bonferroni=1.2618252646220003e-31, maxstat=0. Complete-only: 40/297 vs 11/1887, Bonferroni=1.6000455728148496e-23. Non-poor-only: 31/270 vs 8/1463, Bonferroni=2.3490968704479956e-16. Without Mohenjo-daro: 14/159 vs 11/1812, Bonferroni=3.1639957675202756e-7. Without Harappa: 46/363 vs 7/1958, Bonferroni=2.356342611257845e-28. Support by type: SEAL:R:35;TAB:C:18;SEAL:S:10;TAB:B:3;POT:T:g:2;MISC:1;SEAL:C:1. Support by site: Mohenjo-daro:45;Harappa:17;Dholavira:3;Lothal:2;Desalpur:1;Susa:1;Nausharo:1.. Indus side copper subtype: Copper: 18/119 vs 52/3384, rank 1/714, Bonferroni=3.786700743410161e-9, maxstat=0. TAB:C: 18/94 vs 52/3409, rank 1/714, Bonferroni=5.310069742000693e-11, maxstat=0. Copper+TAB:C intersection: 18/93 vs 52/3410, p=6.100701875466996e-14. Within Mohenjo-daro only: 18/92 vs 27/1440, Bonferroni=4.968457549985734e-9, maxstat=0. Complete-only: 16/67 vs 35/2117, Bonferroni=1.9987994754088168e-10, maxstat=0. Non-poor-only stress: 6/36 vs 33/1697, Fisher=0.00010370520238690053, Bonferroni=0.06274164744407482; within-Mohenjo non-poor Fisher=0.00015127407227842745. Cuneiform side live CDLI: uruda me-luh-ha=2 artifacts (P136689|P228742); ma-na uruda me-luh-ha=1 artifact (P136689). Local CDLI negative gate for uruda me-luh-ha reports query-line false-positive 0.000000.","No object-level bilingual, no sign sound, and CDLI/primary source binding remains decisive.",Next EXPAND should formulate one exact commodity-register prediction from cuneiform side and test it against Indus register signs before any new source-chase.,risky_external_register_bridge_prior_20260531.json + risky_407_uruda_meluhha_diffuse_bridge_20260531.json
6,external_090091_route_split,candidate,keep_separate_from_core_role_backbone,090/091 form a mutually exclusive external circular-seal route/register pair candidate.,External circular rows=17; 090=7; 091=5; either=12; both=0. External non-circular either=0/24. Corridor circular either=12/17; other circular either=8/128.,"Small N, site clustering, and source validation prevent promotion; it should not be blended into the 400/740/002 internal role grammar yet.",Next EXPAND should predict which new Gulf/Mesopotamian circular rows take 090 versus 091 before checking source rows.,risky_external_090091_circular_route_split_20260531.json
7,002390_branch_class,candidate,keep_as_subgrammar,002-390-X is a branch-class slot with open continuation versus closed terminal branches.,15/15 rows fit; non-frame-pool-complete subset 14/14; exact-text collapse 15/15; family-cell collapse 15/15; branch collapse 10/10; repeated-branch rows 8/8; strict-source-visible slice 4/4; route-pressure-or-strict slice 9/9.,"Several support rows are metadata-only or route-pressure, and branch 707 lacks a non-frame pool.",Next EXPAND should use new 002-390-X rows as prediction tests: 125/530/590 should continue; 072/095/140/346/692/705/707 should close.,risky_slot_branch_class_002390_20260531.json
8,520_elephant_header,wild shot,kill_as_candidate_keep_as_prediction_only,520 as elephant-icon header is not a live semantic candidate after consolidation.,"All elephant any-520: 10/46 vs 214/3457, rank=1/714, Bonferroni=0.35301672004371715, maxstat=0.05366666666666667, target-FPR=0.0003333333333333333. SEAL:S any-520: 9/39 vs 142/1506, p=0.010416253972437355, target-FPR=0.007333333333333333. Mohenjo any-520: 8/29 vs 116/1503, p=0.001477750897189305, target-FPR=0.0013333333333333333. Without Mohenjo any-520: 2/17 vs 98/1954, p=0.21210817089774778, target-FPR=0.214. Initial-520 all: 7/46 vs 172/3457, p=0.007962916789978323, target-FPR=0.008666666666666666; SEAL:S initial p=0.10306106228755958.",Same-type/square all-sign maxstats are bad and leave-Mohenjo FPR is 0.214.,"Only revive if a held-out non-Mohenjo complete elephant square seal carries 520, preferably initially.",risky_520_elephant_icon_header_forger_20260531.json
9,terminal_861_820_817_allomorphs,wild shot killed,kill,861/820/817 after 002 do not currently encode separable context semantics.,"Terminal rows=361; partner counts=861:146;820:91;817:124. Best feature=817/prev:503 with 5/124 vs 1/237, Fisher=0.019613291832013206, Bonferroni=1. Best MI feature=prev, MI=0.4819294347115892 bits. Feature max-stat FPR=0.8768; MI max-stat FPR=0.4158.",Feature maxstat FPR is high; best apparent feature is a coincidence under null.,"Do not spend next EXPAND on terminal semantic labels unless a new, independent predictor is formulated first.",risky_002_terminal_allomorph_context_split_20260531.json
10,740407_brahmi_ra_bridge,wild shot killed,kill_as_phonetic_anchor,740/407 should not be assigned ra-like Brahmi values.,"Ra-like pressure appears for 2/2 opener signs. Best rows: 740/visual_ltr_catalog_order:modal=ra,v3=ra,shape_null=0.141538,label_null=0.074000,impostor=0.000000; 407/visual_ltr_catalog_reverse:modal=ra,v3=ra,shape_null=0.221538,label_null=0.010000,impostor=0.483000. Anchor-gate passes=0/2. Shared bridge verdict=killed_for_phonetic_anchor.",Brahmi bridge failed preflight/null gates; structural opener status is not a phonetic value.,Next Brahmi expansion must start with shape-evolution predictions that are independent of already-known role signs.,risky_740407_brahmi_ra_opener_bridge_probe_20260531.json
