cisi,tail_or_control,visual_role,source_quality,same_line_continuity,terminal_edge_or_tail,tail_internal_cohesion,copy_family_similarity_risk,visual_decision,confidence,limits
M-1273,603,post861_focus_tail,high,yes,strong separated final candidate,not_applicable,low,current cleanest post861 603 witness,medium_high,Exact numeric sign identity remains catalog-mediated.
M-240,603,post861_focus_tail,medium,yes,separated final candidate,not_applicable,low,recurrent post861 603 witness,medium,Blur blocks source-derived sign value or exact boundary.
M-714,603,post861_focus_tail,medium_low,yes_crowded,separated final candidate in crowded band,not_applicable,medium,recurrent post861 603 witness kept but downweighted for fine-form use,medium_low,Crowding and low contrast block exact 861/603 boundary.
M-376,533 717,post861_focus_tail,medium,yes,terminal-side tail candidate,moderate_pair_cohesion,medium,fixed restricted-tail candidate survives visual scan,medium,Exact 861/533/717 boundaries remain catalog-mediated.
M-391,533 717,post861_focus_tail,medium_low,yes_long_row,terminal-side tail candidate,moderate_pair_cohesion,medium_high,fixed restricted-tail candidate survives but long-row crowding downweights it,medium_low,Long row and blur block source-derived compound analysis.
M-91,255 416,post861_focus_tail,low_medium,yes,terminal-side singleton candidate,uncertain,low,singleton minimal-contrast member only,medium_low,Singleton row cannot support a repeated-tail model.
M-355,360 520 919 140,long_tail_control,medium,yes_visible_row,long continuation after 002-861,phrase_like_or_long_unit,medium,strong adversarial control against 533717 as register marker,medium,No same-line attachment overlay in this packet; use as visible same-register continuation control.
M-1267,<END>,no_icon_sealr_bare_control,medium,yes,visible bare terminal edge,not_applicable,low,same-register bare closure control,medium,Control crop not a same-line tail verdict.
H-444,<END>,bare_edge_control,medium,yes,visible bare terminal edge,not_applicable,low,bare closure control for 220-032 lane,medium,Used for terminal-edge behavior only.
M-723,<END>,bare_edge_control,medium,yes,visible bare terminal edge,not_applicable,low,bare closure control for 220-032 lane,medium,Used for terminal-edge behavior only.
M-1044,<END>,bare_edge_control,low_medium,yes_fragmentary,visible bare terminal edge,not_applicable,medium,bare closure control for 220-032 lane,medium_low,Fragmentary object weakens layout precision.
M-77,<END>,bare_edge_control,medium,yes,visible bare terminal edge,not_applicable,low,bare closure control for 803 lane,medium,Used for terminal-edge behavior only.
M-118,<END>,bare_edge_control,medium,yes,visible bare terminal edge,not_applicable,low,bare closure control for 803 lane,medium,Used for terminal-edge behavior only.
M-15,<END>,bare_edge_control,medium,yes,visible bare terminal edge,not_applicable,medium,bare closure control for 176 lane,medium,Icon heading mismatch means line/edge control only.
H-1138,external_x_before_240_603,external_harappa_control,medium,band_visible,not_applicable,not_tokenized,high,source-visible external 603-side object but not accepted token identity,low_medium,X-slot identity not source-tokenized.
H-1846,external_x_before_240_603,external_harappa_control,medium,object_visible,not_applicable,not_tokenized,medium,source-visible external 603-side object but layout-not-ready,low_medium,Figure-level view lacks exact local side/sign mapping.
H-360,external_x_before_240_636,external_harappa_control,medium,band_visible,not_applicable,not_tokenized,medium,source-visible 636 control band but not accepted token identity,low_medium,X-slot identity not source-tokenized.
