reviewer,blind_id,stage1_visual_token_count,stage1_boxable_yes_no_uncertain,stage1_label_leak_yes_no,stage1_visual_order_note,stage1_uncertainty_notes
blind_review_b,D001,7,yes,no,"horizontal band as displayed left-to-right with right edge partial","central short strokes and edge fragments make count approximate"
blind_review_b,D002,8,yes,no,"horizontal band as displayed left-to-right with right edge partial","small medial marks and right-edge partial may shift count by one"
blind_review_b,D003,7,yes,no,"single horizontal band as displayed left-to-right","middle signs touch and far-right edge is faint"
blind_review_b,D004,4,yes,no,"cropped horizontal band as displayed left-to-right","rightmost token is partial"
blind_review_b,D005,7,yes,no,"horizontal band as displayed left-to-right with right edge partial","central short strokes and edge fragments make count approximate"
blind_review_b,D006,0,no,yes,"no signband visible; two raised rounded forms only","printed side annotation is visible; no script tokens discernible"
blind_review_b,D007,3,uncertain,no,"very faint lower-zone traces suggest a horizontal sequence","low contrast makes token boundaries unreliable"
blind_review_b,D008,8,uncertain,no,"central horizontal band with partial flanking fragments","two small upper marks and edge fragments make count approximate"
blind_review_b,D009,4,yes,no,"short horizontal band across curved face as displayed left-to-right","blur and curvature obscure token separation"
blind_review_b,D010,5,uncertain,no,"faint horizontal band across dark rectangular face","low contrast and surface glare make several tokens doubtful"
blind_review_b,D011,7,yes,no,"single horizontal band as displayed left-to-right","middle signs touch and far-right edge is faint"
blind_review_b,D012,8,uncertain,no,"central horizontal band with partial flanking fragments","two small upper marks and edge fragments make count approximate"
blind_review_b,D013,4,yes,no,"cropped horizontal segment as displayed left-to-right","left and right edges truncate tokens"
blind_review_b,D014,6,yes,no,"single horizontal band as displayed left-to-right with stacked short-stroke groups","short-stroke rows counted as grouped visual tokens"
blind_review_b,D015,9,yes,no,"single horizontal band as displayed left-to-right with stacked short-stroke groups","short-stroke clusters and central bars counted as grouped visual tokens"
