reviewer,blind_id,stage1_visual_token_count,stage1_boxable_yes_no_uncertain,stage1_label_leak_yes_no,stage1_visual_order_note,stage1_uncertainty_notes
blind_review_a,D001,7,yes,no,"left-to-right visible row","edge tokens partial; central vertical strokes close but separable"
blind_review_a,D002,10,yes,no,"left-to-right visible row","rightmost token cropped; several worn or merged strokes"
blind_review_a,D003,8,yes,no,"left-to-right visible row","right edge slightly cropped; middle forms partly merged"
blind_review_a,D004,4,yes,no,"left-to-right visible row","rightmost token partial; left token has small base strokes"
blind_review_a,D005,7,yes,no,"left-to-right visible row","edge tokens partial; central vertical strokes close but separable"
blind_review_a,D006,0,no,yes,"no readable token order visible","printed side annotation visible; object surface lacks clear script tokens"
blind_review_a,D007,4,uncertain,no,"possible faint lower-field left-to-right row","image too dark and low contrast for reliable token separation"
blind_review_a,D008,8,yes,no,"left-to-right across separated crop fragments","far-left and far-right fragments partial; main strip clear"
blind_review_a,D009,4,uncertain,no,"left-to-right visible row","blur and low contrast make token boundaries uncertain"
blind_review_a,D010,5,uncertain,no,"faint left-to-right row","very low contrast; central glare or noise obscures boundaries"
blind_review_a,D011,8,yes,no,"left-to-right visible row","right edge slightly cropped; middle forms partly merged"
blind_review_a,D012,8,yes,no,"left-to-right across separated crop fragments","far-left and far-right fragments partial; main strip clear"
blind_review_a,D013,5,yes,no,"left-to-right visible row","rightmost token cropped; upper edge missing"
blind_review_a,D014,6,yes,no,"left-to-right with central three-row stacked group","middle repeated-stroke cluster treated as three visual groups"
blind_review_a,D015,7,yes,no,"left-to-right after grouping repeated-stroke rows","middle repeated-stroke groups could be grouped differently"
