site,rows,has_090,has_091,has_either,examples
Failaka,2,2,0,2,147.1:Failaka:Persian Gulf:SEAL:C:circular:+317-817-000-090+ | 148.1:Failaka:Persian Gulf:SEAL:C:circular:]090-001-350-716+
Girsu,1,0,0,0,5222.1:Girsu:Mesopotamia:SEAL:C:circular:+740-000-744-013-255+
Janabiyah,1,0,0,0,5232.1:Janabiyah:Persian Gulf:SEAL:C:circular:+055-099-121-055-831-031-071+
Kalba,1,0,1,1,5551.1:Kalba:Persian Gulf:SEAL:C:NA:+091+
Karzakan,3,0,2,2,5227.1:Karzakan:Persian Gulf:SEAL:C:circular:+220-455-031-091+ | 5228.1:Karzakan:Persian Gulf:SEAL:C:circular:+033-001-032-091+ | 5230.1:Karzakan:Persian Gulf:SEAL:C:circular:+740/740+
Luristan,1,0,1,1,2153.1:Luristan:Iranian Plateau:SEAL:C:circular:+831-413-840-091+
Qala'at al-Bahrain,1,1,0,1,3863.1:Qala'at al-Bahrain:Persian Gulf:SEAL:C:circular:+160-090-055-060-190+
Saar,1,0,1,1,5229.1:Saar:Persian Gulf:SEAL:C:circular:+031-093-001-091-220-055+
Susa,1,1,0,1,3881.1:Susa:Iranian Plateau:SEAL:C:circular:+700-604-407-090-365-000+
Ur,5,3,0,3,3897.1:Ur:Mesopotamia:SEAL:C:circular:+093-340-924-220-528+ | 3898.1:Ur:Mesopotamia:SEAL:C:circular:+002-004-328-001-803-415+ | 3899.1:Ur:Mesopotamia:SEAL:C:circular:+000-000-004-090-350+ | 5225.1:Ur:Mesopotamia:SEAL:C:circular:]000-001-000-090-000[ | 5231.1:Ur:Mesopotamia:SEAL:C:NA:]405-090[
