query_id,lead_id,rank,lead_label,lead_class,query_role,query_text,verified_context_count,same_line_context_count,adjacent_context_count,artifact_count,artifact_ps,rationale,predicted_failure_mode
query_a2db42480c81ebc3,lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,diagnostic,eme-bal me-luh-ha,1,1,0,1,P525331,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
query_2873b7951eeed643,lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,diagnostic,eme-bal me-luh-ha{ki},1,1,0,1,P525331,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
query_6b770dd3bcd70020,lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,diagnostic,szu-i3-li2-su,1,0,1,1,P525331,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
query_9c80a013d7e3cc89,lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,anchor,szu-i3-li2-su eme-bal,0,0,0,0,,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
query_3c0da342fc5dac29,lead_01_1b3655468abb5cb2,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,control,eme-bal,1,1,0,1,P525331,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export.",Probably a singleton cylinder-seal title; the external strict target already produced no Indus pattern candidate.
query_c35bc292a6b33ea2,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,i3-ba lu2 me-luh-ha,3,3,0,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_4e0ec5523f204560,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,lu2 me-luh-ha{ki}-me,2,2,0,2,P453801|P516138,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_177fe67d3ee519a4,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,a-li-a-hi,3,0,3,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_173ce10f0e23512f,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,a-ru-a lugal,3,0,3,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_6ac57d502de3f15f,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,sipa a-dara4,0,0,0,0,,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_5efc59756c7650f5,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,anchor,a-li-a-hi dam-a-ni,3,0,3,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_276dd05a3e6a2dbd,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,control,i3-ba,3,3,0,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_c88056d92638fe2f,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,control,a-ru-a,3,0,3,3,P453801|P516138|P516366,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_daf7dd5b852e2468,lead_02_e451a46ada1093eb,2,Irisagrig Meluhha ration group,ration_group_person_cluster,control,sipa,0,0,0,0,,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases.",Likely a duplicate/publication cluster or a ration-list participant group rather than an Indus-facing name bridge.
query_d8c3acc2e6d774cc,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,diagnostic,ma2 me-luh-ha,6,6,0,6,P212842|P217502|P227509|P326408|P382354|P461937,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_8e05404c4dceeabb,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,diagnostic,ma2 me-luh-ha-sze3,1,1,0,1,P382354,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_43c1e9fd3f96c0e8,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,diagnostic,lu2-tukul ma2 me-luh-ha,1,1,0,1,P212842,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_8e703f944c9e5d31,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,diagnostic,gurusz ma2 me-luh-ha,1,1,0,1,P217502,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_25e591742d4a9c4c,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,diagnostic,nu-banda3 ma2 me-luh-ha,1,1,0,1,P326408,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_375402d08329c5e0,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,anchor,lu2-tukul,1,1,0,1,P212842,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_cf6637f93bb75c3a,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,anchor,gurusz,1,1,0,1,P217502,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_6a595164942a6278,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,anchor,nu-banda3,1,1,0,1,P326408,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_195de03d11cdc021,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,control,ma2,11,8,3,10,P135727|P212842|P217502|P227509|P232277|P326408|P382354|P431886|P461937|P469516,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_4316602e3713fe6e,lead_03_c003899b9609f40d,3,Meluhha ship/work context,ship_labor_context,control,ma2-gan,6,1,5,5,P227509|P232277|P431886|P461937|P469516,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`.","May be route or work vocabulary, not identity; all-distinct strings are easy to fit by length/pattern alone."
query_b27ace985407797e,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,diagnostic,gug gi-rin-e me-luh-ha-ta,2,2,0,2,P232300|P431881,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_a6c5be31548a2c1a,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,diagnostic,gug gi-rin me-luh-ha-da,2,2,0,2,P232301|P431882,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_bf24cc814d53bc1c,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,anchor,gug gi-rin,4,4,0,4,P232300|P232301|P431881|P431882,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_86ce59ee41d503f9,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,anchor,gug gi-rin-e,2,2,0,2,P232300|P431881,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_2060b1861e7f848a,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,control,gug,6,6,0,6,P232300|P232301|P346086|P431881|P431882|P469514,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_11ffcf962434ce48,lead_04_ed2a785a6b845eb4,4,Carnelian from Meluhha,commodity_material_context,control,gi-rin,4,4,0,4,P232300|P232301|P431881|P431882,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.,Royal/composite commodity formula; strong source-side semantics but weak as an Indus sign anchor.
query_6729097fd87b6922,lead_05_d7348c2283dd6794,5,Prestige-material chain,commodity_material_chain,diagnostic,uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,2,2,0,2,P232301|P431882,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.,"Probably a generic prestige-material list, and the principal witnesses may not be independent attestations."
query_955d4034c97473ca,lead_05_d7348c2283dd6794,5,Prestige-material chain,commodity_material_chain,diagnostic,uruda nagga,2,2,0,2,P232301|P431882,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.,"Probably a generic prestige-material list, and the principal witnesses may not be independent attestations."
query_093fd14df34b9813,lead_05_d7348c2283dd6794,5,Prestige-material chain,commodity_material_chain,diagnostic,za-gin3-na,2,2,0,2,P232301|P431882,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.,"Probably a generic prestige-material list, and the principal witnesses may not be independent attestations."
query_ce556b88fe012138,lead_05_d7348c2283dd6794,5,Prestige-material chain,commodity_material_chain,diagnostic,ku3 NE gug gi-rin,2,2,0,2,P232301|P431882,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.,"Probably a generic prestige-material list, and the principal witnesses may not be independent attestations."
