bridge_test_id,query_text,lead_label,query_role,cuneiform_site,cuneiform_artifact_count,cuneiform_artifact_ps,cuneiform_periods,target_unit_count,target_duplicate_pattern,same_site_external_count,same_site_external_rows,same_site_strict_pattern_match_count,same_site_strict_pattern_match_rows,mesopotamia_gulf_external_count,mesopotamia_gulf_strict_pattern_match_count,mesopotamia_gulf_strict_pattern_match_rows,object_level_bridge_present,pattern_only_forger_ge_observed_share,decision,skeptic_note
bridge_67aba47febd6f3fc,a-li-a-hi dam-a-ni,Irisagrig Meluhha ration group,anchor,Irisagrig,3,P453801|P516138|P516366,Ur III,7,ABACDAE,0,,0,,38,0,,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_9d5fc5b1dbf1c4f3,dumu me-luh-ha,sons of Meluhha,diagnostic,Girsu/Tello,9,P102519|P108448|P123177|P124739|P135727|P136196|P202783|P207485|P318542,Ur III,4,ABCD,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_6a9b81ec5abb79ea,dumu me-luh-ha,sons of Meluhha,diagnostic,Ur,1,P467759,Old Akkadian,4,ABCD,5,3897.1:Ur:+093-340-924-220-528+|3898.1:Ur:+002-004-328-001-803-415+|3899.1:Ur:+000-000-004-090-350+|5225.1:Ur:]000-001-000-090-000[|5231.1:Ur:]405-090[,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,Ur/Susa/Failaka-style site proximity is explicitly insufficient: no accession/publication/title/person bridge connects this cuneiform phrase to a specific Indus object row.
bridge_ab6809297aa64f9a,e2-duru5 me-luh-ha,e2-duru5 Meluhha estate,matched_negative,Girsu/Tello,5,P115266|P218242|P235705|P374962|P378169,Ur III,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_f668651f6e68d9e0,e2-duru5 me-luh-ha-ta,e2-duru5 Meluhha estate,diagnostic,Girsu/Tello,4,P115266|P218242|P374962|P378169,Ur III,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_0cab2778b20fc1c9,gug gi-rin me-luh-ha-da,Carnelian from Meluhha,diagnostic,Girsu/Tello,2,P232301|P431882,Lagash II,6,ABCDEF,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,3,3881.1:Susa:+700-604-407-090-365-000+|3898.1:Ur:+002-004-328-001-803-415+|5229.1:Saar:+031-093-001-091-220-055+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_78204903e95d9ff5,gug gi-rin-e,Carnelian from Meluhha,anchor,Girsu/Tello,2,P232300|P431881,Lagash II,4,ABCD,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_592be07902189623,gug gi-rin-e me-luh-ha-ta,Carnelian from Meluhha,diagnostic,Girsu/Tello,2,P232300|P431881,Lagash II,7,ABCDEFG,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,0,,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_28e988bb944be51a,i3-ba lu2 me-luh-ha,Irisagrig Meluhha ration group,diagnostic,Irisagrig,3,P453801|P516138|P516366,Ur III,6,ABCDEF,0,,0,,38,3,3881.1:Susa:+700-604-407-090-365-000+|3898.1:Ur:+002-004-328-001-803-415+|5229.1:Saar:+031-093-001-091-220-055+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_0724e4699f2638ff,i3-dub me-luh-ha,i3-dub Meluhha formula,matched_negative,Girsu/Tello,8,P100892|P102031|P110574|P116633|P116995|P123010|P132876|P340534,Ur III,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
