target_id,iteration,synthetic_pattern,synthetic_units,focus_candidates
toponym_meluhha,0,ABC,pad2wt-pb2bfq-pc5907,2
toponym_meluhha,1,ABC,pa4cor-pbcthn-pc7oc9,2
toponym_meluhha,2,ABC,pad334-pbg98y-pcbo8k,2
toponym_meluhha,3,ABC,pafkhj-pbeyn0-pcizm4,2
toponym_meluhha,4,ABC,pabzbq-pbine8-pca4vl,2
toponym_meluhha,5,ABC,paeffs-pbcur5-pc9rzb,2
toponym_meluhha,6,ABC,pacpq5-pbcz1a-pci3sq,2
toponym_meluhha,7,ABC,paerhi-pbd7u3-pcfcma,2
toponym_meluhha,8,ABC,pag5hk-pb79c4-pc4p7m,2
toponym_meluhha,9,ABC,pa8oot-pb5wkg-pc3hzx,2
toponym_meluhha,10,ABC,pa44a-pb9b0z-pcjeo4,2
toponym_meluhha,11,ABC,paif9m-pbfs1c-pcintv,2
toponym_meluhha,12,ABC,pabmvr-pbk51c-pc17c8,2
toponym_meluhha,13,ABC,palanv-pb7lcn-pc3mv6,2
toponym_meluhha,14,ABC,paxr2-pb94lf-pc210x,2
toponym_meluhha,15,ABC,pa9x44-pb3jxo-pc85d,2
toponym_meluhha,16,ABC,pacmyn-pb7vr6-pc9xpf,2
toponym_meluhha,17,ABC,pa4713-pb7461-pcblik,2
toponym_meluhha,18,ABC,pa113h-pbk83a-pc8h61,2
toponym_meluhha,19,ABC,pai5ll-pb4zvu-pc97p2,2
toponym_meluhha,20,ABC,pa2k2c-pbkuts-pciyex,2
toponym_meluhha,21,ABC,pa11jw-pb5pa0-pcf2ae,2
toponym_meluhha,22,ABC,paheqz-pbah4c-pcczy4,2
toponym_meluhha,23,ABC,pa52xc-pb657y-pcj7vy,2
toponym_meluhha,24,ABC,pa2vkf-pb4cqh-pc1xk,2
toponym_meluhha,25,ABC,pa8evs-pb7shc-pc57lr,2
toponym_meluhha,26,ABC,pa1k48-pb9q2a-pc8uiu,2
toponym_meluhha,27,ABC,pa6wp2-pbitxp-pcjzie,2
toponym_meluhha,28,ABC,pahqwj-pb35rx-pciayy,2
toponym_meluhha,29,ABC,pafi4m-pb7geu-pc77lm,2
toponym_meluhha,30,ABC,pabf1y-pb7dzw-pc1e0w,2
toponym_meluhha,31,ABC,pa4wy5-pb9cmz-pckem3,2
toponym_meluhha,32,ABC,paeodz-pbabmz-pcdixh,2
toponym_meluhha,33,ABC,pabpru-pbhyu2-pchswh,2
toponym_meluhha,34,ABC,paovc-pb8i0c-pcdv3s,2
toponym_meluhha,35,ABC,paegn5-pbgs5f-pck1uy,2
toponym_meluhha,36,ABC,paldc2-pb7nzk-pc65ha,2
toponym_meluhha,37,ABC,pae0nw-pb4ugx-pc6ctb,2
toponym_meluhha,38,ABC,pafhm3-pbg2vl-pc3o6l,2
toponym_meluhha,39,ABC,pa7evr-pb2hnm-pcbvvg,2
toponym_meluhha,40,ABC,pagvbp-pbsva-pc6i03,2
toponym_meluhha,41,ABC,palbhd-pbgru3-pcckit,2
toponym_meluhha,42,ABC,pa7mma-pbd7fv-pcl27v,2
toponym_meluhha,43,ABC,pah9lt-pb6i75-pcjt75,2
toponym_meluhha,44,ABC,pa7ud7-pb6rw4-pc4ude,2
toponym_meluhha,45,ABC,pa1cfa-pbl25h-pceyhh,2
toponym_meluhha,46,ABC,pa1073-pb21az-pc4e3j,2
toponym_meluhha,47,ABC,paa1n1-pbcz0b-pc8njm,2
toponym_meluhha,48,ABC,pab7u-pbp9w-pchuz5,2
toponym_meluhha,49,ABC,pakvr0-pb5yvu-pcl7wg,2
toponym_meluhha,50,ABC,pa2k3w-pbcd69-pc4nzg,2
toponym_meluhha,51,ABC,pa9kac-pb3x8x-pc2gtx,2
toponym_meluhha,52,ABC,pab65g-pb4ljp-pcvwm,2
toponym_meluhha,53,ABC,pae06u-pbhbz0-pc12fd,2
toponym_meluhha,54,ABC,paj5ly-pbj4lz-pc8gux,2
toponym_meluhha,55,ABC,pa6jar-pb3bx-pc298f,2
toponym_meluhha,56,ABC,pac030-pbdyq0-pcjhio,2
toponym_meluhha,57,ABC,pah6ml-pbglsh-pcg5so,2
toponym_meluhha,58,ABC,pabam7-pbdmeu-pcco5z,2
toponym_meluhha,59,ABC,pau02-pbvs-pc6vce,2
toponym_meluhha,60,ABC,pa33cn-pbkccl-pc7j77,2
toponym_meluhha,61,ABC,pac8kx-pba4gs-pc6yhh,2
toponym_meluhha,62,ABC,pa5nc8-pb74cs-pc2ax6,2
toponym_meluhha,63,ABC,pah4oz-pbcq6q-pchibb,2
toponym_meluhha,64,ABC,padpu7-pb7lwx-pc8z8e,2
toponym_meluhha,65,ABC,pa2ems-pb4hp4-pc93de,2
toponym_meluhha,66,ABC,paf5al-pb818s-pc2p23,2
toponym_meluhha,67,ABC,pa3v5z-pbk3ke-pcistg,2
toponym_meluhha,68,ABC,pa1jvw-pbjfy2-pc5gr6,2
toponym_meluhha,69,ABC,pa929q-pbcsvv-pccm2p,2
toponym_meluhha,70,ABC,paksg0-pbj73h-pci1f6,2
toponym_meluhha,71,ABC,pa2ben-pbasjb-pckiyh,2
toponym_meluhha,72,ABC,paf97o-pbf09f-pc1wus,2
toponym_meluhha,73,ABC,pa3hjt-pbka6g-pcbm2j,2
toponym_meluhha,74,ABC,pahivd-pb64-pcgrdy,2
toponym_meluhha,75,ABC,padg7u-pbi7e3-pcdmi7,2
toponym_meluhha,76,ABC,pa3o5n-pb6sf1-pcirq7,2
toponym_meluhha,77,ABC,pa7ryo-pbg6f5-pc466z,2
toponym_meluhha,78,ABC,pa3amx-pbpoj-pcwcy,2
toponym_meluhha,79,ABC,pa2xtx-pbewen-pckzu6,2
toponym_meluhha,80,ABC,paarjb-pbfg4j-pc9cyy,2
toponym_meluhha,81,ABC,pa47tw-pbb6ec-pc7vim,2
toponym_meluhha,82,ABC,paa2gc-pbh49j-pc93un,2
toponym_meluhha,83,ABC,paik5t-pbe3lw-pcaq9,2
toponym_meluhha,84,ABC,pag0n-pb3eut-pc4pwf,2
toponym_meluhha,85,ABC,pa53fm-pb7vyo-pcbk90,2
toponym_meluhha,86,ABC,pa2btg-pbjegh-pcffsi,2
toponym_meluhha,87,ABC,padqeg-pb5ifl-pc4b7o,2
toponym_meluhha,88,ABC,pai7vq-pbinj5-pco9f,2
toponym_meluhha,89,ABC,paipfz-pb4egh-pc3m9g,2
toponym_meluhha,90,ABC,pa9sa0-pbe5j0-pccxns,2
toponym_meluhha,91,ABC,pa55jj-pb13mp-pc2e6y,2
toponym_meluhha,92,ABC,pa8uoh-pbdsd8-pc7g0u,2
toponym_meluhha,93,ABC,pah2dk-pb96sm-pc85or,2
toponym_meluhha,94,ABC,pa908g-pb3xt5-pcj48s,2
toponym_meluhha,95,ABC,paiy35-pb9cy-pcf3h4,2
toponym_meluhha,96,ABC,pa7pi1-pbbboi-pc1khu,2
toponym_meluhha,97,ABC,pag5qc-pb8188-pc1i4z,2
toponym_meluhha,98,ABC,pah55k-pbe74c-pc31xu,2
toponym_meluhha,99,ABC,padwnm-pbaoec-pcj1wv,2
toponym_meluhha,100,ABC,pae7ie-pb573h-pci8te,2
toponym_meluhha,101,ABC,pakl2o-pbkko-pcfe2y,2
toponym_meluhha,102,ABC,pa8xtd-pbjp16-pchncd,2
toponym_meluhha,103,ABC,pailaz-pb9d1m-pc6a9o,2
toponym_meluhha,104,ABC,paim1b-pb1gwm-pc607k,2
toponym_meluhha,105,ABC,paigbc-pbezig-pc9y8o,2
toponym_meluhha,106,ABC,pa2ank-pbfc66-pcbppl,2
toponym_meluhha,107,ABC,pah3c6-pbca13-pc8oz7,2
toponym_meluhha,108,ABC,pafo6x-pb6bb9-pce1y4,2
toponym_meluhha,109,ABC,pa3fb7-pbethm-pc537j,2
toponym_meluhha,110,ABC,pak116-pb9zbd-pc1zq0,2
toponym_meluhha,111,ABC,pa2g1o-pbj66w-pcb1wi,2
toponym_meluhha,112,ABC,pafjsg-pbahu6-pc1xjh,2
toponym_meluhha,113,ABC,pa65sh-pb2yjd-pcl5qg,2
toponym_meluhha,114,ABC,pa56g5-pb5utw-pc4njg,2
toponym_meluhha,115,ABC,paf8e-pbcr1i-pc2o5y,2
toponym_meluhha,116,ABC,pa3fdo-pb3igs-pc2m4g,2
toponym_meluhha,117,ABC,paflid-pbbpon-pc6rli,2
toponym_meluhha,118,ABC,pa8d92-pba695-pc9xvd,2
toponym_meluhha,119,ABC,paeul-pb3uta-pcg0j3,2
toponym_meluhha,120,ABC,paiy6m-pbd1sj-pc3q6f,2
toponym_meluhha,121,ABC,pait3b-pbg472-pc16oo,2
toponym_meluhha,122,ABC,pa6j3u-pb275n-pcabs2,2
toponym_meluhha,123,ABC,pae2vk-pbcfgs-pc5xqh,2
toponym_meluhha,124,ABC,pahl41-pbkp48-pca1i0,2
toponym_meluhha,125,ABC,pa7q1t-pb5x9p-pccn1o,2
toponym_meluhha,126,ABC,pa3qnq-pbk8wr-pcc7hf,2
toponym_meluhha,127,ABC,pagc5z-pb82mz-pc78dp,2
toponym_meluhha,128,ABC,pah9hw-pbhisz-pc5m15,2
toponym_meluhha,129,ABC,pakpf9-pb6yy4-pckojo,2
toponym_meluhha,130,ABC,pajy34-pb2jt8-pc9cgt,2
toponym_meluhha,131,ABC,pa15c-pbasaq-pc67gw,2
toponym_meluhha,132,ABC,paa63e-pbiag1-pcasel,2
toponym_meluhha,133,ABC,padohi-pbjetd-pc1v7i,2
toponym_meluhha,134,ABC,pa7h9m-pb78q8-pc8u66,2
toponym_meluhha,135,ABC,pagqyu-pbkzm-pchk87,2
toponym_meluhha,136,ABC,pa3rjy-pb8kgv-pc61u0,2
toponym_meluhha,137,ABC,pa3w2q-pbh6qe-pcbvsd,2
toponym_meluhha,138,ABC,paj601-pb61sb-pcct02,2
toponym_meluhha,139,ABC,pah7nd-pbis2o-pc5wjm,2
toponym_meluhha,140,ABC,pa34s4-pbilu6-pcecez,2
toponym_meluhha,141,ABC,pad2x0-pb8dkh-pcjpec,2
toponym_meluhha,142,ABC,pae72f-pbg8pc-pcefh9,2
toponym_meluhha,143,ABC,pahdsv-pbd6ne-pc3v8e,2
toponym_meluhha,144,ABC,pa9bqj-pb8uta-pchf9l,2
toponym_meluhha,145,ABC,pa6o1i-pbbfix-pc96v0,2
toponym_meluhha,146,ABC,pann8-pbbwrb-pc7zih,2
toponym_meluhha,147,ABC,pa77sf-pbdlrh-pcckf7,2
toponym_meluhha,148,ABC,pa6m4d-pb7iuk-pc8lc7,2
toponym_meluhha,149,ABC,pa9fmq-pbj19-pcbj6i,2
toponym_meluhha,150,ABC,pairpb-pb41wh-pchwm5,2
toponym_meluhha,151,ABC,paab11-pb7pzx-pc47w4,2
toponym_meluhha,152,ABC,pa2koy-pb2tzo-pci3ef,2
toponym_meluhha,153,ABC,pa4w8g-pb79oi-pcg0ar,2
toponym_meluhha,154,ABC,paa0xr-pbjvnz-pc77kr,2
toponym_meluhha,155,ABC,paq0g-pb7asw-pc96co,2
toponym_meluhha,156,ABC,paiw1x-pbjo13-pch1br,2
toponym_meluhha,157,ABC,pa2gyf-pbdzud-pcbunk,2
toponym_meluhha,158,ABC,pa8lo8-pbh5wc-pc2kbt,2
toponym_meluhha,159,ABC,paa94a-pb6zis-pchsbr,2
toponym_meluhha,160,ABC,padf2-pb15lt-pcica6,2
toponym_meluhha,161,ABC,paixz6-pb855u-pcc8h9,2
toponym_meluhha,162,ABC,pa3o5j-pbalwo-pc6xtz,2
toponym_meluhha,163,ABC,paegyl-pbew8o-pcbjj3,2
toponym_meluhha,164,ABC,pavpw-pblbqg-pccowi,2
toponym_meluhha,165,ABC,pa4oja-pbf355-pc2f3g,2
toponym_meluhha,166,ABC,pa5fux-pb6o55-pc4zb7,2
toponym_meluhha,167,ABC,pa5uy9-pbhzex-pceofx,2
toponym_meluhha,168,ABC,pa2stg-pba022-pc4e0x,2
toponym_meluhha,169,ABC,pa7nnt-pbi2ik-pcgomd,2
toponym_meluhha,170,ABC,pah6qw-pbd36m-pc75r1,2
toponym_meluhha,171,ABC,pa35w4-pb7tek-pcjvg4,2
toponym_meluhha,172,ABC,pai3u2-pbjr04-pca4xu,2
toponym_meluhha,173,ABC,pagbmn-pbmy8-pci7a0,2
toponym_meluhha,174,ABC,pa6q5y-pb8wuf-pcjup5,2
toponym_meluhha,175,ABC,pa8ok1-pb4ri3-pcbf4i,2
toponym_meluhha,176,ABC,pa9v0s-pbcfwk-pchqn9,2
toponym_meluhha,177,ABC,pakuwo-pb9fy9-pcbiks,2
toponym_meluhha,178,ABC,paiz8a-pb1yq6-pc5b3t,2
toponym_meluhha,179,ABC,pagbk3-pb2lba-pcejon,2
toponym_meluhha,180,ABC,pae942-pbd1mt-pce8jb,2
toponym_meluhha,181,ABC,pa1rmo-pbc10d-pc86k2,2
toponym_meluhha,182,ABC,pajdp6-pb5y0a-pc7zwr,2
toponym_meluhha,183,ABC,pa73v3-pbhzje-pcj613,2
toponym_meluhha,184,ABC,pacqel-pb4qh0-pc5fdt,2
toponym_meluhha,185,ABC,paa995-pbffdx-pc7ca3,2
toponym_meluhha,186,ABC,pa6btz-pbaisy-pc7mdw,2
toponym_meluhha,187,ABC,pa2ttv-pb67zu-pchiqg,2
toponym_meluhha,188,ABC,pa9e3e-pbgf3m-pcif83,2
toponym_meluhha,189,ABC,pah81v-pbglcg-pc8agn,2
toponym_meluhha,190,ABC,paejnu-pb1oqd-pc7hue,2
toponym_meluhha,191,ABC,pai1wc-pb9ojr-pcep78,2
toponym_meluhha,192,ABC,pa2fk0-pb1t9t-pcjwte,2
toponym_meluhha,193,ABC,pa62d4-pb3zr8-pcd772,2
toponym_meluhha,194,ABC,pa109d-pb98sg-pcf0x7,2
toponym_meluhha,195,ABC,padc8r-pbb44t-pc51tu,2
toponym_meluhha,196,ABC,pafjg9-pber2j-pc9obd,2
toponym_meluhha,197,ABC,paianq-pbkrsi-pc4w8c,2
toponym_meluhha,198,ABC,pahmzm-pbdobx-pc51qu,2
toponym_meluhha,199,ABC,paorr-pbj2kw-pcjwxw,2
toponym_meluhha,200,ABC,pahbr8-pbby8s-pcifmc,2
toponym_meluhha,201,ABC,pagblf-pb54wv-pcilsz,2
toponym_meluhha,202,ABC,pa8pdj-pb1iq-pc50c3,2
toponym_meluhha,203,ABC,pa7i2p-pbi5g0-pcenf4,2
toponym_meluhha,204,ABC,pacif9-pbcydm-pc1myl,2
toponym_meluhha,205,ABC,pabti4-pb7s0h-pc38tr,2
toponym_meluhha,206,ABC,pac6om-pb1uur-pchnfm,2
toponym_meluhha,207,ABC,pahzcf-pbqax-pcb72n,2
toponym_meluhha,208,ABC,paf5yr-pb22ez-pcc04d,2
toponym_meluhha,209,ABC,pada7g-pbjqsp-pc92pj,2
toponym_meluhha,210,ABC,pa6lls-pb4nu2-pcgncc,2
toponym_meluhha,211,ABC,pag64g-pb25dd-pchm8x,2
toponym_meluhha,212,ABC,pa5h01-pbcnlp-pca4jd,2
toponym_meluhha,213,ABC,pag4qt-pbla2p-pcsy3,2
toponym_meluhha,214,ABC,paehy-pbd1vs-pck7my,2
toponym_meluhha,215,ABC,pa32g3-pb2dey-pc1l99,2
toponym_meluhha,216,ABC,pajpzb-pb3o8c-pc6qxm,2
toponym_meluhha,217,ABC,pa6w7x-pba6cr-pcf5ds,2
toponym_meluhha,218,ABC,pa1xac-pbbk5c-pch9tq,2
toponym_meluhha,219,ABC,pafm1z-pbcmj2-pc78o8,2
toponym_meluhha,220,ABC,pae6lz-pbxo9-pcdwjv,2
toponym_meluhha,221,ABC,pa1933-pb9aou-pcfia4,2
toponym_meluhha,222,ABC,pa65xv-pb59he-pcj6vi,2
toponym_meluhha,223,ABC,pa97ee-pb6ehg-pch5if,2
toponym_meluhha,224,ABC,pa67o2-pbgjua-pcg9jf,2
toponym_meluhha,225,ABC,pacfh1-pbffei-pc203n,2
toponym_meluhha,226,ABC,pabhqf-pb9unp-pcvvz,2
toponym_meluhha,227,ABC,pa6o7q-pb2mf1-pc2lte,2
toponym_meluhha,228,ABC,pafcx9-pbffbh-pc7w30,2
toponym_meluhha,229,ABC,pa1va4-pb70gr-pciwri,2
toponym_meluhha,230,ABC,pakdkv-pbg922-pcf1n1,2
toponym_meluhha,231,ABC,pa9aj-pbdxl7-pcac5c,2
toponym_meluhha,232,ABC,paih62-pba7uo-pcgd68,2
toponym_meluhha,233,ABC,pajgwn-pb52kj-pc6vk4,2
toponym_meluhha,234,ABC,pa5278-pb366b-pci9ey,2
toponym_meluhha,235,ABC,pak91s-pb75xm-pcavpr,2
toponym_meluhha,236,ABC,pa9lm4-pb74hq-pck75o,2
toponym_meluhha,237,ABC,pahbt4-pbfi09-pc9zhl,2
toponym_meluhha,238,ABC,pahcax-pbbycl-pc3j4b,2
toponym_meluhha,239,ABC,pahljk-pb6wfs-pcahl2,2
toponym_meluhha,240,ABC,pa3hke-pb1qx3-pcdov3,2
toponym_meluhha,241,ABC,pa53a0-pb7tex-pc9xn8,2
toponym_meluhha,242,ABC,pa5f81-pb3fkp-pca4io,2
toponym_meluhha,243,ABC,pa68xj-pb6wxw-pccdb8,2
toponym_meluhha,244,ABC,pak0mk-pbfcar-pc79ln,2
toponym_meluhha,245,ABC,pak4t4-pb50z0-pcf98a,2
toponym_meluhha,246,ABC,pakowm-pbevjh-pcfug1,2
toponym_meluhha,247,ABC,pag4ts-pb2m1u-pcih4c,2
toponym_meluhha,248,ABC,pa685v-pbh1q5-pcduks,2
toponym_meluhha,249,ABC,pacox7-pba7r-pca2p8,2
toponym_meluhha,250,ABC,pa2amq-pb4hva-pcol1,2
toponym_meluhha,251,ABC,pad6v6-pbcv0h-pcb7h7,2
toponym_meluhha,252,ABC,pa13ci-pbbr9i-pccwap,2
toponym_meluhha,253,ABC,pa8nfs-pb2vf-pcf8ki,2
toponym_meluhha,254,ABC,pa4jyo-pbjhim-pc4q1d,2
toponym_meluhha,255,ABC,pacghn-pb7tj3-pc9typ,2
toponym_meluhha,256,ABC,pahlee-pblbss-pchp37,2
toponym_meluhha,257,ABC,pahtoo-pb6356-pc5mri,2
toponym_meluhha,258,ABC,pa1ibt-pb1pj-pc8hs7,2
toponym_meluhha,259,ABC,pafjy9-pb7o2g-pc1nuh,2
toponym_meluhha,260,ABC,paqcw-pbdqwb-pcchh9,2
toponym_meluhha,261,ABC,paia9c-pbabyn-pcbjor,2
toponym_meluhha,262,ABC,pafqvy-pbg4e3-pc554v,2
toponym_meluhha,263,ABC,pa9aca-pbxkl-pc3jay,2
toponym_meluhha,264,ABC,pab7jn-pbbnkf-pc2vdl,2
toponym_meluhha,265,ABC,pa9p4q-pbjfwo-pc8kgt,2
toponym_meluhha,266,ABC,pagld8-pb2t4f-pchmpx,2
toponym_meluhha,267,ABC,paac4d-pbw5o-pc2or,2
toponym_meluhha,268,ABC,pai81u-pbgutz-pcl5f9,2
toponym_meluhha,269,ABC,pa5e7j-pbgnv-pckbr1,2
toponym_meluhha,270,ABC,pa2lmv-pbg890-pccds2,2
toponym_meluhha,271,ABC,pahow2-pb6nil-pc3iz0,2
toponym_meluhha,272,ABC,paj1x3-pbeefm-pcj76a,2
toponym_meluhha,273,ABC,pa9q5w-pbah5e-pc6f4j,2
toponym_meluhha,274,ABC,pa2rct-pbsnk-pc947z,2
toponym_meluhha,275,ABC,paiiw1-pb55yi-pcdu6o,2
toponym_meluhha,276,ABC,pa87si-pb3mtc-pcfntd,2
toponym_meluhha,277,ABC,pab6o1-pb5zjl-pcdfj0,2
