context_id,query_term,query_class,artifact_p,artifact_id,designation,museum_no,provenience,period,dates_referenced,surface_context,line_number,line_index,line_raw,line_text,previous_line,following_line,has_meluhha_in_artifact,has_lu_sunzida_in_artifact,line_has_meluhha,line_has_lu_sunzida,min_distance_to_meluhha_line,source_url
6ae48274dca9260a,lu2-sun2-zi-da,lu_sunzida_name_test,P100284,100284,"AfO 24, pl. 15 S 213",AIR —,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.01.24,@obverse,6,5,6. 1(disz) sila4 lu2-sun2-zi#-da#,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur,false,true,false,true,,https://cdli.earth/P100284
160220508d421c86,me-luh-ha,meluhha_broad,P100892,100892,Amherst 054,Anonymous 100892,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.48.08.00, Šulgi.48.09.00 (us2-us2 year)",@reverse,14,31,14. i3-dub me-luh-ha-ta,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta,true,false,true,false,0,https://cdli.earth/P100892
046b7d8b698baaf9,me-luh-ha-ta,meluhha_ablative,P100892,100892,Amherst 054,Anonymous 100892,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.48.08.00, Šulgi.48.09.00 (us2-us2 year)",@reverse,14,31,14. i3-dub me-luh-ha-ta,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta,true,false,true,false,0,https://cdli.earth/P100892
de4c749b924b78be,lu2-sun2-zi-da,lu_sunzida_name_test,P101445,101445,"AnOr 07, 150",MM 0093,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.06.20 (us2 year),@obverse,3,2,3. 1(disz) sila4 lu2-sun2-zi-da,1(disz) sila4 lu2-sun2-zi-da,2. a-nigar?-nu-tuku sukkal,4. 1(disz) sila4 lu2-{d}nanna szagina,false,true,false,true,,https://cdli.earth/P101445
0ee4bbbc0076d665,me-luh-ha,meluhha_broad,P102031,102031,"ASJ 03, 152 107",BM 015254,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.06.07.00,@obverse,3,2,3. i3-dub me-luh-ha,i3-dub me-luh-ha,2. sze zi3 KA-sze3,4. ki ur-{d}nansze-ta,true,false,true,false,0,https://cdli.earth/P102031
4d9c97ece598a43c,me-luh-ha,meluhha_broad,P102519,102519,"ASJ 13, 230 74",BM 026950,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.43.00.00,@column 1 | @column 2,3,25,3. ki ur-{d}lamma dumu me-luh-ha-ta,ki ur-{d}lamma dumu me-luh-ha-ta,2. 3(u) gur,4. 3(asz) 3(barig) ziz2 gur,true,false,true,false,0,https://cdli.earth/P102519
c18114cf78cae25d,me-luh-ha-ta,meluhha_ablative,P102519,102519,"ASJ 13, 230 74",BM 026950,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.43.00.00,@column 1 | @column 2,3,25,3. ki ur-{d}lamma dumu me-luh-ha-ta,ki ur-{d}lamma dumu me-luh-ha-ta,2. 3(u) gur,4. 3(asz) 3(barig) ziz2 gur,true,false,true,false,0,https://cdli.earth/P102519
671b89c486c13787,me-luh-ha,meluhha_broad,P107404,107404,"Buffalo SNS.11-2, 125 02",BSNS C05173,Umma (mod. Tell Jokha),Ur III (ca. 2100-2000 BC),--.--.00.00,@reverse,4,45,4. 1(disz) {gesz}guzza {gesz}ab-ba me-luh-ha?,1(disz) {gesz}guzza {gesz}ab-ba me-luh-ha?,3. 1(disz) {gesz}guzza gesz,5. 4(disz) {gesz}guzza {gesz}sza3-kal,true,false,true,false,0,https://cdli.earth/P107404
63601511f46f6ce6,me-luh-ha,meluhha_broad,P108448,108448,"CT 03, pl. 17, BM 014594",BM 014594,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.39.00.00, Amar-Suen.01.00.00",@obverse,4,3,4. ur-{d}lamma dumu me-luh-ha,ur-{d}lamma dumu me-luh-ha,3. mu e2 puzur4-isz-da-gan ba-du3,1. su-su-dam,true,false,true,false,0,https://cdli.earth/P108448
c21193ba591cf493,me-luh-ha,meluhha_broad,P108448,108448,"CT 03, pl. 17, BM 014594",BM 014594,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.39.00.00, Amar-Suen.01.00.00",@reverse,3,6,3. mu ur-{d}lamma dumu me-luh-ha-sze3,mu ur-{d}lamma dumu me-luh-ha-sze3,2. kiszib3 ur-e2-ninnu dumu du-du,4. mu amar-{d}suen lugal,true,false,true,false,0,https://cdli.earth/P108448
cf791b0094d6c2ed,me-luh-ha,meluhha_broad,P108484,108484,"CT 05, pl. 36-37, BM 017751",BM 017751,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.48.00.00 (us2-us2 year),@obverse | @column 1 | @column 2,1,16,1. i3-dub e2-duru5-me-luh-ha{ki},i3-dub e2-duru5-me-luh-ha{ki},16. 9(gesz2) 2(u) 3(asz) 4(barig) 3(ban2) gur,2. 3(gesz'u) 1(gesz2) 6(asz) 1(barig) 2(ban2) gur,true,false,true,false,0,https://cdli.earth/P108484
da50efba71912be9,me-luh-ha{ki},meluhha_toponym,P108484,108484,"CT 05, pl. 36-37, BM 017751",BM 017751,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.48.00.00 (us2-us2 year),@obverse | @column 1 | @column 2,1,16,1. i3-dub e2-duru5-me-luh-ha{ki},i3-dub e2-duru5-me-luh-ha{ki},16. 9(gesz2) 2(u) 3(asz) 4(barig) 3(ban2) gur,2. 3(gesz'u) 1(gesz2) 6(asz) 1(barig) 2(ban2) gur,true,false,true,false,0,https://cdli.earth/P108484
ee0475f5679b056a,me-luh-ha,meluhha_broad,P110238,110238,HLC 368 (pl. 139),OIM A32023,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,@obverse | @column 1,6',5,6'. me-luh-ha-ta,me-luh-ha-ta,5'. 2(u) 2(asz) 4(barig) gur,7'. 3(u) 4(asz) 2(barig) gur,true,false,true,false,0,https://cdli.earth/P110238
